세부영역,공통단어수,상위어_중첩률,공통단어_순위상관
1-1. 고용여건,19,0.95,0.975438596491228
1-2. 주거안정성,18,0.9,0.933952528379773
1-3. 경제적 여건,18,0.9,0.9071207430340558
2-1. 돌봄 여건,18,0.9,0.8885448916408669
2-2. 여가 인프라,19,0.95,0.8807017543859648
2-3. 가사수행 격차,16,0.8,0.888235294117647
3-1. 의료서비스 여건,17,0.85,0.8480392156862745
3-2. 산후조리 여건,19,0.95,0.9859649122807018
3-3. 아동안전 수준,16,0.8,0.8911764705882352
4-1. 일·가정 양립 여건,17,0.85,0.7205882352941178
4-2. 사회적 가치관,16,0.8,0.9647058823529412
지표체계 외,16,0.8,0.7794117647058825
