연도,소비자물가지수,전년대비상승률_pct,기준연도,대상범위,주기,출처기관,출처통계,공표일,출처URL,조회일
2016,95.718,0.5,2020=100,전국,연평균,통계청,소비자물가조사,2024-12-31,https://www.kostat.go.kr/boardDownload.es?bid=5146&list_no=434618&seq=6,2026-07-27
2017,97.492,1.9,2020=100,전국,연평균,통계청,소비자물가조사,2024-12-31,https://www.kostat.go.kr/boardDownload.es?bid=5146&list_no=434618&seq=6,2026-07-27
2018,99.158,1.7,2020=100,전국,연평균,통계청,소비자물가조사,2024-12-31,https://www.kostat.go.kr/boardDownload.es?bid=5146&list_no=434618&seq=6,2026-07-27
2019,99.467,0.3,2020=100,전국,연평균,통계청,소비자물가조사,2024-12-31,https://www.kostat.go.kr/boardDownload.es?bid=5146&list_no=434618&seq=6,2026-07-27
2020,100.000,0.5,2020=100,전국,연평균,통계청,소비자물가조사,2024-12-31,https://www.kostat.go.kr/boardDownload.es?bid=5146&list_no=434618&seq=6,2026-07-27
2021,102.590,2.6,2020=100,전국,연평균,통계청,소비자물가조사,2024-12-31,https://www.kostat.go.kr/boardDownload.es?bid=5146&list_no=434618&seq=6,2026-07-27
2022,108.060,5.3,2020=100,전국,연평균,통계청,소비자물가조사,2024-12-31,https://www.kostat.go.kr/boardDownload.es?bid=5146&list_no=434618&seq=6,2026-07-27
2023,111.620,3.3,2020=100,전국,연평균,통계청,소비자물가조사,2024-12-31,https://www.kostat.go.kr/boardDownload.es?bid=5146&list_no=434618&seq=6,2026-07-27
2024,114.240,2.3,2020=100,전국,연평균,통계청,소비자물가조사,2024-12-31,https://www.kostat.go.kr/boardDownload.es?bid=5146&list_no=434618&seq=6,2026-07-27
