대영역,세부영역,세부지표,방향성,비교시작연도,비교기준연도,지역,시작값,기준값,변화량,방향성기준결과,기준연도순위,실측연도수,결측연도수,비교기간실측연도수,비교기간결측연도수,급등락후보연도,단위,출처,관측기간,자료기준
보건·안전,의료서비스 여건,(대체)분만실 병상수 보급도,높을수록 양호,2018,2024,경북,3.810475894817416,2.923302035566315,-0.8871738592511011,악화,16,7,2,7,0,2021,병상/인구 10만 명,2018-2025_시군구별_특수진료실_현황_20260716080246.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
보건·안전,의료서비스 여건,(대체)분만실 병상수 보급도,높을수록 양호,2018,2024,경남,4.030838283953589,3.717034549836141,-0.3138037341174478,악화,6,7,2,7,0,-,병상/인구 10만 명,2018-2025_시군구별_특수진료실_현황_20260716080246.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
보건·안전,의료서비스 여건,(대체)분만실 병상수 보급도,높을수록 양호,2018,2024,제주,3.5222297662888136,3.02072891307461,-0.5015008532142038,악화,14,7,2,7,0,-,병상/인구 10만 명,2018-2025_시군구별_특수진료실_현황_20260716080246.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
보건·안전,의료서비스 여건,(대체)소아청소년과 전문인력 보급도,높을수록 양호,2016,2024,서울,12.403560866717632,16.060626063832295,3.6570651971146635,개선,3,9,0,9,0,-,명/인구 10만 명,2016-2025_시군구별_전문과목별_전문의_인력현황_20260716081608.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
보건·안전,의료서비스 여건,(대체)소아청소년과 전문인력 보급도,높을수록 양호,2016,2024,부산,11.869274200671196,14.18142054822785,2.312146347556654,개선,6,9,0,9,0,-,명/인구 10만 명,2016-2025_시군구별_전문과목별_전문의_인력현황_20260716081608.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
보건·안전,의료서비스 여건,(대체)소아청소년과 전문인력 보급도,높을수록 양호,2016,2024,대구,12.970119019205436,15.262547548705824,2.2924285295003877,개선,4,9,0,9,0,-,명/인구 10만 명,2016-2025_시군구별_전문과목별_전문의_인력현황_20260716081608.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
보건·안전,의료서비스 여건,(대체)소아청소년과 전문인력 보급도,높을수록 양호,2016,2024,인천,9.301514847256383,11.635181611447829,2.3336667641914453,개선,9,9,0,9,0,-,명/인구 10만 명,2016-2025_시군구별_전문과목별_전문의_인력현황_20260716081608.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
보건·안전,의료서비스 여건,(대체)소아청소년과 전문인력 보급도,높을수록 양호,2016,2024,광주,14.582627173441036,16.632088961973043,2.049461788532007,개선,2,9,0,9,0,-,명/인구 10만 명,2016-2025_시군구별_전문과목별_전문의_인력현황_20260716081608.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
보건·안전,의료서비스 여건,(대체)소아청소년과 전문인력 보급도,높을수록 양호,2016,2024,대전,11.952164926669177,14.904558710411722,2.9523937837425454,개선,5,9,0,9,0,2018,명/인구 10만 명,2016-2025_시군구별_전문과목별_전문의_인력현황_20260716081608.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
보건·안전,의료서비스 여건,(대체)소아청소년과 전문인력 보급도,높을수록 양호,2016,2024,울산,9.873718762368808,10.928474048061608,1.0547552856927993,개선,11,9,0,9,0,-,명/인구 10만 명,2016-2025_시군구별_전문과목별_전문의_인력현황_20260716081608.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
보건·안전,의료서비스 여건,(대체)소아청소년과 전문인력 보급도,높을수록 양호,2016,2024,세종,8.948849609953589,20.220894070670745,11.272044460717156,개선,1,9,0,9,0,"2017, 2018, 2019, 2020, 2021, 2024",명/인구 10만 명,2016-2025_시군구별_전문과목별_전문의_인력현황_20260716081608.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
보건·안전,의료서비스 여건,(대체)소아청소년과 전문인력 보급도,높을수록 양호,2016,2024,경기,10.206986359754591,12.324124286173795,2.117137926419204,개선,7,9,0,9,0,2021,명/인구 10만 명,2016-2025_시군구별_전문과목별_전문의_인력현황_20260716081608.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
보건·안전,의료서비스 여건,(대체)소아청소년과 전문인력 보급도,높을수록 양호,2016,2024,강원,7.737911769750698,10.29473581566592,2.5568240459152216,개선,13,9,0,9,0,-,명/인구 10만 명,2016-2025_시군구별_전문과목별_전문의_인력현황_20260716081608.csv; 2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,2016–2024,검증 원자료 기준
