지역,대분류,중분류,원본_소계값,원본_소계출처,leaf_합계,차이,절대차이,오차율(%),절대오차율(%),QA_병합상태,결과,허용기준결과
강원,Ⅰ. 공통사업,1. 저출산 대책(공통사업),,중분류제목행,465621.0,,,,,양쪽존재,판정불가,판정불가
강원,Ⅰ. 공통사업,2. 고령화 대책(공통사업),,중분류제목행,603197.0,,,,,양쪽존재,판정불가,판정불가
강원,Ⅰ. 공통사업,3. 저출산 고령사회 대응기반 강화(공통사업),,중분류제목행,1891.0,,,,,양쪽존재,판정불가,판정불가
경기,Ⅰ. 공통사업,1. 저출산 대책(공통사업),,중분류제목행,3168160.0,,,,,양쪽존재,판정불가,판정불가
경기,Ⅰ. 공통사업,2. 고령화 대책(공통사업),,중분류제목행,2446211.0,,,,,양쪽존재,판정불가,판정불가
경기,Ⅰ. 공통사업,3. 대응기반 강화(공통사업),,중분류제목행,36.0,,,,,양쪽존재,판정불가,판정불가
경기,Ⅱ. 지자체 자체사업,1. 저출산 대책(자체사업),,중분류제목행,1027891.0,,,,,양쪽존재,판정불가,판정불가
경기,Ⅱ. 지자체 자체사업,2. 고령화 대책(자체사업),,중분류제목행,418635.0,,,,,양쪽존재,판정불가,판정불가
경기,Ⅱ. 지자체 자체사업,3. 대응기반 강화(자체사업),,중분류제목행,717.0,,,,,양쪽존재,판정불가,판정불가
경남,Ⅰ. 공통사업,고령화 대책,,중분류제목행,1225609.0,,,,,양쪽존재,판정불가,판정불가
경남,Ⅰ. 공통사업,대응기반 강화,,중분류제목행,3.0,,,,,양쪽존재,판정불가,판정불가
경남,Ⅰ. 공통사업,저출산 대책,,중분류제목행,773576.0,,,,,양쪽존재,판정불가,판정불가
경북,Ⅰ. 공통사업,1. 저출산 대책(공통사업),,중분류제목행,842462.0,,,,,양쪽존재,판정불가,판정불가
경북,Ⅰ. 공통사업,2. 고령화 대책(공통사업),,중분류제목행,1174538.0,,,,,양쪽존재,판정불가,판정불가
경북,Ⅰ. 공통사업,3. 대응기반 강화(공통사업),,중분류제목행,34.0,,,,,양쪽존재,판정불가,판정불가
경북,Ⅱ. 지자체 자체사업,1. 저출산 대책(자체사업),,중분류제목행,390581.0,,,,,양쪽존재,판정불가,판정불가
경북,Ⅱ. 지자체 자체사업,2. 고령화 대책(자체사업),,중분류제목행,74769.0,,,,,양쪽존재,판정불가,판정불가
경북,Ⅱ. 지자체 자체사업,3. 대응기반 강화(자체사업),,중분류제목행,4901.0,,,,,양쪽존재,판정불가,판정불가
광주,Ⅰ. 공통사업,고령화 대책,,중분류제목행,2734449.0,,,,,양쪽존재,판정불가,판정불가
광주,Ⅰ. 공통사업,저출산 고령사회 대응기반 강화,2485.0,중분류제목행,2485.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용
광주,Ⅰ. 공통사업,저출산대책,,중분류제목행,283640.0,,,,,양쪽존재,판정불가,판정불가
광주,Ⅱ. 지자체 자체사업,고령화 대책,61202.0,중분류제목행,61201.6,-0.4000000000014552,0.4000000000014552,-0.0,0.0,양쪽존재,불일치,허용
광주,Ⅱ. 지자체 자체사업,저출산·고령사회 대응기반 강화,,중분류제목행,129.8,,,,,양쪽존재,판정불가,판정불가
광주,Ⅱ. 지자체 자체사업,저출산분야,,중분류제목행,157391.96,,,,,양쪽존재,판정불가,판정불가
대구,Ⅰ. 공통사업,1. 저출산 대책(공통사업),,중분류제목행,403299.0,,,,,양쪽존재,판정불가,판정불가
대구,Ⅰ. 공통사업,2. 고령화 대책(공통사업),,중분류제목행,689289.0,,,,,양쪽존재,판정불가,판정불가
대구,Ⅰ. 공통사업,3. 대응기반 강화(공통사업),,중분류제목행,111.0,,,,,양쪽존재,판정불가,판정불가
대구,Ⅱ. 지자체 자체사업,1. 저출산 대책(자체사업),,중분류제목행,246301.0,,,,,양쪽존재,판정불가,판정불가
대구,Ⅱ. 지자체 자체사업,2. 고령화 대책(자체사업),,중분류제목행,107688.0,,,,,양쪽존재,판정불가,판정불가
대구,Ⅱ. 지자체 자체사업,3. 대응기반 강화(자체사업),,중분류제목행,148.0,,,,,양쪽존재,판정불가,판정불가
대전,Ⅰ. 공통사업,1. 저출산 대책(공통사업),,중분류제목행,382888.0,,,,,양쪽존재,판정불가,판정불가
대전,Ⅰ. 공통사업,2. 고령사회 대책(공통사업),,중분류제목행,370838.0,,,,,양쪽존재,판정불가,판정불가
대전,Ⅰ. 공통사업,3. 저출산·고령화 대응기반 강화(공통사업),,중분류제목행,34.0,,,,,양쪽존재,판정불가,판정불가
대전,Ⅱ. 지자체 자체사업,1. 저출산 대책(자체사업),,중분류제목행,173300.0,,,,,양쪽존재,판정불가,판정불가
대전,Ⅱ. 지자체 자체사업,2. 고령사회 대책(자체사업),,중분류제목행,64907.9,,,,,양쪽존재,판정불가,판정불가
대전,Ⅱ. 지자체 자체사업,3. 저출산·고령화 대응기반 강화(자체사업),,중분류제목행,5728.5,,,,,양쪽존재,판정불가,판정불가
부산,Ⅰ. 공통사업,1. 저출산 대책(공통사업),,중분류제목행,858197.0,,,,,양쪽존재,판정불가,판정불가
부산,Ⅰ. 공통사업,2. 고령화 대책(공통사업),,중분류제목행,1049969.0,,,,,양쪽존재,판정불가,판정불가
부산,Ⅰ. 공통사업,3. 대응기반 강화(공통사업),,중분류제목행,36151.0,,,,,양쪽존재,판정불가,판정불가
부산,Ⅱ. 지자체 자체사업,1. 저출산 대책(자체사업),,중분류제목행,311030.0,,,,,양쪽존재,판정불가,판정불가
부산,Ⅱ. 지자체 자체사업,2. 고령화 대책(자체사업),,중분류제목행,79051.0,,,,,양쪽존재,판정불가,판정불가
부산,Ⅱ. 지자체 자체사업,3. 대응기반 강화(자체사업),,중분류제목행,7228.0,,,,,양쪽존재,판정불가,판정불가
서울,Ⅰ. 공통사업,1. 저출산 대책(공통사업),,중분류제목행,3239539.0,,,,,양쪽존재,판정불가,판정불가
서울,Ⅰ. 공통사업,2. 고령화 대책(공통사업),,중분류제목행,1843174.0,,,,,양쪽존재,판정불가,판정불가
서울,Ⅱ. 지자체 자체사업,1. 저출산 대책(자체사업),,중분류제목행,402228.0,,,,,양쪽존재,판정불가,판정불가
서울,Ⅱ. 지자체 자체사업,2. 고령화 대책(자체사업),,중분류제목행,427470.0,,,,,양쪽존재,판정불가,판정불가
