지역,대분류,중분류,원본_소계값,leaf_합계,차이,오차율(%),QA_병합상태,결과,허용기준결과
광주,"Ⅱ. 지자체
자체사업","2. 건강하고 능동적인 고령사회
구축(자체)",113686.0,113686.0,0.0,0.0,양쪽존재,일치,허용
광주,"Ⅱ. 지자체
자체사업",3. 모두의 역량이 고루 발휘되는 사회(자체),50939.0,50939.0,0.0,0.0,양쪽존재,일치,허용
광주,"Ⅱ. 지자체
자체사업",4.인구구조 변화에 대한 적응(자체),776.0,776.0,0.0,0.0,양쪽존재,일치,허용
대구,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),812180.0,812180.0,0.0,0.0,양쪽존재,일치,허용
대구,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1288884.0,1288884.0,0.0,0.0,양쪽존재,일치,허용
대구,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),109270.0,109270.0,0.0,0.0,양쪽존재,일치,허용
대구,Ⅰ. 공통사업,"4.인구구조 변화에
대한 적응(공통)",37538.0,37538.0,0.0,0.0,양쪽존재,일치,허용
대구,"Ⅱ. 지자체
자체사업",1. 함께 일하고 함께 돌보는 사회(자체),348206.0,348206.0,0.0,0.0,양쪽존재,일치,허용
대구,"Ⅱ. 지자체
자체사업","2. 건강하고 능동적인 고령사회
구축(자체)",209573.0,209573.0,0.0,0.0,양쪽존재,일치,허용
대구,"Ⅱ. 지자체
자체사업",3. 모두의 역량이 고루 발휘되는 사회(자체),37885.0,37885.0,0.0,0.0,양쪽존재,일치,허용
대구,"Ⅱ. 지자체
자체사업","4.인구구조 변화에
대한 적응(자체)",4802.0,4802.0,0.0,0.0,양쪽존재,일치,허용
대전,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),573351.0,573351.0,0.0,0.0,양쪽존재,일치,허용
대전,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",730109.0,730109.0,0.0,0.0,양쪽존재,일치,허용
대전,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),77012.0,77012.0,0.0,0.0,양쪽존재,일치,허용
대전,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),30466.0,30466.0,0.0,0.0,양쪽존재,일치,허용
대전,"Ⅱ. 지자체
자체사업","1. 함께 일하고
함께 돌보는
사회(자체)",202725.0,202725.0,0.0,0.0,양쪽존재,일치,허용
대전,"Ⅱ. 지자체
자체사업","2. 건강하고 능동적인 고령사회
구축(자체)",33606.0,33606.0,0.0,0.0,양쪽존재,일치,허용
대전,"Ⅱ. 지자체
자체사업","3. 모두의 역량이 고루 발휘되는
사회(자체)",23251.0,23251.0,0.0,0.0,양쪽존재,일치,허용
대전,"Ⅱ. 지자체
자체사업",4.인구구조 변화에 대한 적응(자체),5830.0,5830.0,0.0,0.0,양쪽존재,일치,허용
부산,Ⅰ.  공통사업,1. 함께 일하고 함께 돌보는 사회(공통),1088810.0,1088810.0,0.0,0.0,양쪽존재,일치,허용
부산,Ⅰ.  공통사업,"2. 건강하고 능동적인
고령사회(공통)",2372781.0,2372781.0,0.0,0.0,양쪽존재,일치,허용
부산,Ⅰ.  공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),447211.0,447211.0,0.0,0.0,양쪽존재,일치,허용
부산,Ⅰ.  공통사업,4.인구구조 변화에 대한 적응(공통),65370.0,65370.0,0.0,0.0,양쪽존재,일치,허용
부산,"Ⅱ. 지자체
자체사업","1. 함께 일하고
함께 돌보는
사회(자체)",511612.0,511613.0,1.0,0.0,양쪽존재,불일치,허용
