연도,대영역,실질계획예산_2024년가격_백만원,예산결측_사업수,연도내_대영역비중_pct,예산누락주의
2016,가족·생활,13072753.33998156,10,88.66639906826025,True
2016,경제·고용·주거,735955.8517386368,10,4.991645872128984,True
2016,보건·안전,832964.9676771744,3,5.6496135368870215,True
2016,사회·문화,102077.11205940461,16,0.6923415227237399,True
2017,가족·생활,17606431.14296855,14,89.90027082122387,True
2017,경제·고용·주거,935589.2963968115,10,4.777216372842397,True
2017,보건·안전,894531.000811862,4,4.567568440074435,True
2017,사회·문화,147851.3454170346,15,0.7549443658592946,True
2018,가족·생활,18909625.938367292,26,86.57913363709118,True
2018,경제·고용·주거,2013429.9455785656,21,9.218639273740132,True
2018,보건·안전,743075.4514543999,10,3.4022264122833925,True
2018,사회·문화,174727.01463786556,45,0.8000006768853046,True
2019,가족·생활,16866785.457492687,0,78.31372954720827,False
2019,경제·고용·주거,3953512.346814206,0,18.35644957186654,False
2019,보건·안전,657102.5289389549,0,3.0509755321072105,False
2019,사회·문화,60056.195784898075,0,0.2788453488179869,False
2020,가족·생활,18415265.23317858,4,75.59995314997346,True
2020,경제·고용·주거,4972990.579518272,7,20.415554707812824,True
2020,보건·안전,870976.0416557424,4,3.5756068191344816,True
2020,사회·문화,99599.68704637437,2,0.40888532307922926,True
2021,가족·생활,17919590.52972116,0,73.85501991083336,False
2021,경제·고용·주거,5597637.923475146,0,23.07048588003232,False
2021,보건·안전,701274.850025619,0,2.890281891525716,False
2021,사회·문화,44695.80139660543,0,0.184212317608594,False
2022,가족·생활,14707953.886536572,3,59.66342933711382,True
2022,경제·고용·주거,8335076.006073179,7,33.811584000344176,True
2022,보건·안전,1566548.8279902083,4,6.354770760295166,True
2022,사회·문화,41960.840481632295,6,0.17021590224684227,True
2023,가족·생활,15111522.219541747,0,58.67337342792898,False
2023,경제·고용·주거,9056750.045183752,0,35.16456315415411,False
2023,보건·안전,1537704.9875953598,0,5.970433530680234,False
2023,사회·문화,49354.913987729975,0,0.19162988723668176,False
2024,가족·생활,16162523.0,8,57.45127081674744,True
2024,경제·고용·주거,10230879.0,3,36.36666132647571,True
2024,보건·안전,1691296.0,0,6.011877262434934,False
2024,사회·문화,47879.0,3,0.1701905943419261,True
