군집수,시차,군집,계수,군집표준오차,p값,95%신뢰구간_하한,95%신뢰구간_상한,관측치,지역수,연도수,FDR_q값,FDR_0.05_유의
2,t+1,1,0.026102163098315215,0.020982374925397146,0.23141531220794476,-0.018378484696281373,0.0705828108929118,102,17,6,0.43180130979971143,False
2,t+1,2,0.03252127919138091,0.040325893657724717,0.43180130979971143,-0.05296579646946249,0.11800835485222431,102,17,6,0.43180130979971143,False
2,t+2,1,0.039907913087245145,0.01600517500870821,0.02398872988156162,0.0059784577713210205,0.07383736840316926,85,17,5,0.09595491952624648,False
2,t+2,2,0.032662100225067076,0.03449889503560323,0.35784256739608117,-0.04047229017818604,0.1057964906283202,85,17,5,0.43180130979971143,False
3,t+1,1,0.020178690843183147,0.017650854656299095,0.26976782068733746,-0.01723944947848946,0.057596831164855755,102,17,6,0.4046517310310062,False
3,t+1,2,-0.14670631710029725,0.2850654772508913,0.6138397634233451,-0.7510181329494977,0.4576054987489032,102,17,6,0.6138397634233451,False
3,t+1,3,0.0521703948003794,0.020668015896776016,0.02254745302849226,0.00835615837641479,0.095984631224344,102,17,6,0.06546288262108554,False
3,t+2,1,0.03373581208675938,0.014432118882729047,0.03273144131054277,0.003141086788270943,0.06433053738524783,85,17,5,0.06546288262108554,False
3,t+2,2,-0.18023773537186136,0.20604233829450552,0.39464584501414207,-0.6170279801863221,0.25655250944259933,85,17,5,0.47357501401697044,False
3,t+2,3,0.05513858930454693,0.023150382743813983,0.029987386324307638,0.006061970246935382,0.10421520836215847,85,17,5,0.06546288262108554,False
