지역,연도,당해계획예산_백만원,세부사업수,예산금액_존재_사업수,예산결측_사업수,음수예산_사업수,합계출산율,예산_QA_그룹수,예산_QA_일치건수,예산_QA_불일치건수,예산_QA_판정불가건수,예산_QA_허용초과건수,예산_QA_최대절대오차율,원자료_누락주의,소비자물가지수,기준연도,20_39세_인구_명,실질계획예산_2020년가격_백만원,log1p_실질계획예산,20_39세_1인당_실질예산_원,log1p_20_39세_1인당_실질예산,총액기준_재정대응지수_z,재정대응지수_z,재정대응점수_0_100,실질예산_전년증감액_백만원,실질예산_전년증감률,log실질예산_전년변화,log1인당실질예산_전년변화,전년도_합계출산율,전전년도_합계출산율,직전1년_출산율하락도,세출예산순계액_백만원,세출예산순계액_원,예산단계,자치단체수,출처,포함회계,계획예산_총세출비율_pct,분모대안,분자분모_단위
경기,2017,5514545.0,123,118,5,0,1.069,6,0,0,6,0,,,97.492,2020=100,3656513,5656407.70524761,15.548299744423062,1546940.406132184,14.251790253034525,1.3366621833587051,-1.4775005309733755,34.826222567889886,626441.5546803186,0.1245419026546863,0.1173757330707925,0.113727034583535,1.194,,,38770100.561,38770100561000,당초예산,32,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,14.223705691254374,지역통합_3개회계_순계,백만원
경기,2018,7061650.0,943,879,64,0,1.002,6,0,0,6,0,,,99.158,2020=100,3698625,7121613.989794066,15.77864508207667,1925476.086327775,14.47068433205088,1.5905004729045946,-1.041110006181508,41.48866400608163,1465206.2845464563,0.2590347727564162,0.2303453376536079,0.2188940790163567,1.069,1.194,0.125,43263494.672,43263494672000,당초예산,32,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,16.32242160171651,지역통합_3개회계_순계,백만원
경기,2019,8641670.0,1023,1023,0,0,0.943,6,3,2,1,0,0.0,,99.467,2020=100,3696522,8687976.916967437,15.977450779367109,2350311.161942885,14.670058712167885,1.8095823899350605,-0.6436342463972018,47.556987725820335,1566362.9271733705,0.2199449351534799,0.198805697290437,0.1993743801170033,1.002,1.069,0.0669999999999999,46970041.034,46970041034000,당초예산,32,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,18.39825942188254,지역통합_3개회계_순계,백만원
경기,2020,10166623.0,1010,1003,7,0,0.878,6,3,3,0,0,0.03,,100.0,2020=100,3715307,10166623.0,16.134620756179412,2736415.3218024783,14.82215971055024,1.9827821537696455,-0.3404034107176165,52.18645965565365,1478646.083032563,0.1701945225182168,0.1571699768123053,0.1521009983823553,0.943,1.002,0.059,50838024.122,50838024122000,당초예산,32,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,19.998068720378186,지역통합_3개회계_순계,백만원
경기,2021,10065813.95,1149,1149,0,0,0.853,8,8,0,0,0,0.0,,102.59,2020=100,3698716,9811691.149234816,16.099085308943202,2652728.987366107,14.791099851598853,1.943622441502092,-0.4023248121948325,51.24109607034328,-354931.85076518357,-0.0349114795311268,-0.0355354472362101,-0.0310598589513872,0.878,0.943,0.0649999999999999,51454732.035,51454732035000,당초예산,32,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,19.562465009346734,지역통합_3개회계_순계,백만원
경기,2022,9215575.7,1310,1310,0,0,0.839,8,7,1,0,0,0.0,,108.06,2020=100,3619591,8528202.572644826,15.958889296191598,2356123.267143947,14.672528567330367,1.7891278186001234,-0.6387103060359133,47.632162282641616,-1283488.5765899904,-0.1308121665336037,-0.1401960127516037,-0.1185712842684854,0.853,0.878,0.025,56853640.643,56853640643000,당초예산,32,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,16.209297409584007,지역통합_3개회계_순계,백만원
경기,2023,12285412.0,1303,1303,0,0,0.766,8,5,3,0,0,0.0,,111.62,2020=100,3560872,11006461.207668876,16.21399313169213,3090945.478430249,14.943987905671635,2.0702497285101455,-0.0975248904653633,55.89452347887042,2478258.6350240503,0.2905956576328692,0.2551038355005328,0.2714593383412698,0.839,0.853,0.014,58197529.785,58197529785000,당초예산,32,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,21.10985130363124,지역통합_3개회계_순계,백만원
경기,2024,13821287.0,1315,1302,13,0,0.789,8,6,2,0,0,0.0,,114.24,2020=100,3534931,12098465.511204485,16.308589267924262,3422546.4404268377,15.045895697385951,2.174493737368372,0.1056400142521717,58.99627340944454,1092004.3035356067,0.0992148414401115,0.0945961362321305,0.101907791714316,0.766,0.839,0.0729999999999999,60548416.965,60548416965000,당초예산,32,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,22.82683461070401,지역통합_3개회계_순계,백만원
경남,2016,1481184.0,319,318,1,0,1.358,6,3,3,0,0,0.03,,95.718,2020=100,863615,1547445.6215131949,14.252116789578093,1791823.4647536168,14.398744912782515,-0.0917186449572728,-1.1845295133185552,39.29905627376291,,,,,,,,14026791.169,14026791169000,당초예산,19,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,10.559678134180112,지역통합_3개회계_순계,백만원
경남,2017,1707499.35,326,323,3,0,1.227,6,0,2,4,1,29.81,,97.492,2020=100,851333,1751425.0912895417,14.375940923349694,2057273.8179884271,14.536892761066808,0.0447343288309408,-0.9091158873193608,43.50383857368755,203979.4697763468,0.1318168903259309,0.1238241337716026,0.1381478482842908,1.358,,,14218184.687,14218184687000,당초예산,19,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,12.009264105010567,지역통합_3개회계_순계,백만원
