군집수,WCSS,실루엣점수,최소군집크기
1,68.0,,17
2,38.54995561957884,0.3697434843745079,7
3,24.40739862370555,0.4314359531181307,2
4,18.23078202937907,0.41719909556507057,1
5,13.963791930413143,0.40586767824598463,1
6,10.063679194837661,0.33894791341109454,1
