군집수,군집,가족·생활,경제·고용·주거,보건·안전,사회·문화
2,1,31.226791668240157,48.332171432429405,47.853319941864974,40.74002238019145
2,2,51.35544347214814,55.190223056575775,44.30466891202052,51.04108030366561
3,1,31.226791668240157,48.332171432429405,47.853319941864974,40.74002238019145
3,2,35.73588790998286,57.03682403896148,57.28682739941193,57.021821110867926
3,3,55.26033236268946,54.728572810979344,41.05912929017266,49.54589510186503
