군집수,실루엣점수,초기값_ARI_최소,초기값_ARI_평균,계층군집_ARI,시도제외_ARI_최소,시도제외_ARI_평균,최소군집크기,최대군집크기
2.0,0.3697434843745079,1.0,1.0,1.0,0.7491638795986622,0.9852449340940389,7.0,10.0
3.0,0.4314359531181307,1.0,1.0,1.0,0.7876732527278089,0.9875101913369297,2.0,8.0
