지역,연도,재정대응지수_z,총액기준_재정대응지수_z,log1인당실질예산_전년변화,계획예산_총세출비율_pct,log1p_계획예산_총세출비율,직전1년_출산율하락도,전년도_합계출산율,원자료_누락주의
강원,2018,-0.14694675435257754,-0.4870166669432641,-0.10121752797500605,10.543671073592122,2.446137327787053,0.1140000000000001,1.123,원자료에 자체사업 상세가 없어 세부사업 합계가 과소대표될 수 있음
강원,2019,0.6978091669504377,-0.04093261727424196,0.42377646792093415,14.445796273203754,2.737336880444897,0.05600000000000005,1.067,
강원,2020,0.5494332754060689,-0.13999927658900424,-0.07443358449184245,12.141637491539663,2.575785624130817,-0.015000000000000124,1.082,
강원,2021,1.1147307329057037,0.14627409461130253,0.2835845879533636,15.23756484977994,2.7873273758166066,0.04600000000000004,1.036,
강원,2022,0.2616212831829041,-0.3505154927604358,-0.42796706153400166,9.558898635191508,2.3569689769290236,0.05700000000000005,0.979,
강원,2023,1.5821046162614973,0.3510609444126718,0.6624277483339274,17.294469554801395,2.906598804052552,0.01100000000000001,0.968,
강원,2024,1.5521734199209993,0.3086771141547449,-0.015015149756226975,17.35656341432644,2.9099871898034504,0.07499999999999996,0.893,
경기,2018,-1.03902579072256,1.5911350201665284,0.21889409872650667,16.32242160171651,2.8520017087026353,0.125,1.069,
경기,2019,-0.6415929159316329,1.8101542228036342,0.19937439403179802,18.39825942188254,2.965183341522637,0.06699999999999995,1.002,
경기,2020,-0.3383948116823616,1.9833043993441002,0.15210100155425899,19.998068720378186,3.0444304677980423,0.05900000000000005,0.943,
경기,2021,-0.4003095338452078,1.9441558958194534,-0.03105986191846455,19.562465009346734,3.0234673268510357,0.06499999999999995,0.878,
경기,2022,-0.6366695128018928,1.7897055037965117,-0.1185712872963709,16.209297409584007,2.8454497848453046,0.025000000000000022,0.853,
경기,2023,-0.09554251055664348,2.0707469300764574,0.27145934574145336,21.10985130363124,3.096023269547384,0.014000000000000012,0.839,
경기,2024,0.10760047511486472,2.174961100492188,0.10190779937712335,22.82683461070401,3.170812450172871,0.07299999999999995,0.766,
경남,2018,-0.5888163060072957,0.2008906599975152,0.15964164224221555,13.01086493812268,2.639833095639733,0.131,1.227,
경남,2019,0.1595201886497556,0.5807620843074852,0.3754071306572637,16.637855950539088,2.870047498437463,0.10499999999999998,1.122,
경남,2020,-0.7668009803932365,0.024075462261567752,-0.46469412439503976,9.060603539025683,2.3086271568109633,0.07600000000000007,1.046,
경남,2021,0.5503084206298255,0.7006166301416747,0.6607351967063604,16.2961078717932,2.8504814976832087,0.10100000000000009,0.945,
경남,2022,0.5973468408265397,0.6668110575132361,0.023597082973738637,15.497074299555704,2.803183050005898,0.041999999999999926,0.903,
경남,2023,0.935518486244703,0.8049155561551948,0.16964567140916742,16.830728472800885,2.880923287619291,0.06500000000000006,0.838,
경남,2024,1.0278073562518464,0.8202508583151904,0.046297220740063594,17.47482757233154,2.916409133764003,0.038999999999999924,0.799,
경북,2018,0.4421959020321405,0.4415698326352925,0.320314229754052,15.01535494286101,2.7735479459663814,0.1399999999999999,1.256,
경북,2019,0.280111037072244,0.3189488032381472,-0.08131076662972347,12.700895642355198,2.617461206051598,0.08899999999999997,1.167,
경북,2020,0.6971642569148415,0.5005985863080251,0.2092170483603546,13.74528545320673,2.690923401402111,0.07800000000000007,1.089,
경북,2021,1.0943282900775502,0.681542083536181,0.19923952814596824,15.910646061190414,2.827943368046448,0.08600000000000008,1.003,
경북,2022,1.1810168785107458,0.677041260069672,0.043487808595180866,15.258294556175473,2.7886032127746927,0.03699999999999992,0.966,
경북,2023,1.2316864694179936,0.6577045774659421,0.025418679791615162,14.093926899323714,2.714292470822177,0.03599999999999992,0.93,
경북,2024,1.5995713268574663,0.826114163487385,0.18455146812918777,16.54597193220526,2.864824404035772,0.07000000000000006,0.86,
광주,2018,1.8108167116354548,0.7325755664099481,0.9469447893249843,68.46016309067046,4.240753395292879,0.11499999999999999,1.053,
광주,2019,-0.34163013019925,-0.4727661141573603,-1.0797868319328288,20.419502512771267,3.064301839389071,0.08099999999999996,0.972,
광주,2020,-3.7562440738570166,-2.3741475101944345,-1.712959921162609,3.249480566309421,1.4467967557749892,0.05899999999999994,0.913,
광주,2021,-0.8911246302244139,-0.8120456427249766,1.4373029740015184,12.5403228369562,2.605672110401967,0.10199999999999998,0.811,
광주,2022,-0.8253650122968518,-0.8092448297791518,0.032988675088761354,11.847243328373656,2.553129261352213,-0.08499999999999996,0.896,
광주,2023,-0.15241646006992024,-0.4702090210414464,0.3375883534682451,16.204589412627566,2.845176174543153,0.052000000000000046,0.844,
광주,2024,-0.12007887031391981,-0.4804165796307005,0.016222330287707365,16.913042032901675,2.8855290527328457,0.138,0.706,
대구,2018,-0.729537001505065,-0.15534886946298326,0.4049592990567934,17.518604073326863,2.9187758523668412,0.119,1.067,
대구,2019,-0.27862769428529083,0.06076526004119417,0.22620114135634317,19.63862901037566,3.027164514491288,0.07999999999999996,0.987,
대구,2020,-0.06858332759630165,0.15246426328154047,0.10536991523522055,19.457413731948797,3.018345346470452,0.05499999999999994,0.932,
대구,2021,0.18193965886556596,0.2507353305948722,0.12567623813995432,21.372877266254054,3.10784938887846,0.125,0.807,
대구,2022,0.4529293533445522,0.36281997320154885,0.1359434751189923,23.10212271417069,3.182299916044014,0.02200000000000002,0.785,
대구,2023,0.5602899303140628,0.4000762280535956,0.05385802567908016,23.18868465885204,3.185884947734364,0.028000000000000025,0.757,
대구,2024,0.6652070625698737,0.43489464203131534,0.052632258159469814,24.392011430417977,3.23443461394219,0.05500000000000005,0.702,
대전,2018,-0.6176789438099537,-0.5648249110622308,0.06242036506105464,21.70719909978517,3.122682015168492,0.11699999999999999,1.075,
대전,2019,-1.3260616266239174,-0.9823736103098725,-0.35536408054555224,13.583204549189777,2.6798704931838198,0.123,0.952,
대전,2020,-0.10979508366086804,-0.3277520519906358,0.6101468206724796,21.89532437778884,3.130932714071101,0.06899999999999995,0.883,
대전,2021,0.01559625266637652,-0.27899282885262133,0.06290325557550602,22.240810655910078,3.145909813299192,0.07799999999999996,0.805,
대전,2022,0.17691625145706877,-0.20986186615794264,0.08092706729664556,22.021687577156925,3.13643670977951,-0.0050000000000000044,0.81,
대전,2023,-0.27256583679471774,-0.47152320389228725,-0.22548516908796223,17.346924174749024,2.9094619405461075,-0.03199999999999992,0.842,
대전,2024,0.3251920549993053,-0.14912138808851846,0.29986854388141104,23.708837932703748,3.207160990675465,0.05499999999999994,0.787,
부산,2018,-0.42086878979041964,0.37507026738804394,-0.39052702912842996,19.983772723487906,3.043749411562718,0.119,0.976,
부산,2019,-0.21435026305342247,0.45488399225548487,0.10360115817341153,20.13382574794342,3.0508748728794925,0.07699999999999996,0.899,
부산,2020,0.47293301461865617,0.8067470357146926,0.34477944756367407,25.368014011756053,3.2721516851193675,0.07200000000000006,0.827,
부산,2021,0.73325844706514,0.9121721624707153,0.1305936892422075,27.364209473671025,3.3451281206094814,0.07999999999999996,0.747,
부산,2022,1.215929433378396,1.1392667452905028,0.24213456288325297,32.620269977316774,3.515129158207501,0.019000000000000017,0.728,
