연도,지역,분모대안,예산단계,행정범위,회계범위,금액기준,분모금액_원,분모금액_백만원,출처
2018,경북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2593593251000,2593593.251,행정안전부 지방재정365 기능별 회계별 세출예산
2018,광주,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2472277359000,2472277.359,행정안전부 지방재정365 기능별 회계별 세출예산
2018,대구,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,4373159278000,4373159.278,행정안전부 지방재정365 기능별 회계별 세출예산
2018,대전,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2331442036000,2331442.036,행정안전부 지방재정365 기능별 회계별 세출예산
2018,부산,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,6053753021000,6053753.021,행정안전부 지방재정365 기능별 회계별 세출예산
2018,서울,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,17252608464000,17252608.464,행정안전부 지방재정365 기능별 회계별 세출예산
2018,세종,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1423054846000,1423054.846,행정안전부 지방재정365 기능별 회계별 세출예산
2018,울산,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1953263992000,1953263.992,행정안전부 지방재정365 기능별 회계별 세출예산
2018,인천,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5210195125000,5210195.125,행정안전부 지방재정365 기능별 회계별 세출예산
2018,전남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2145008768000,2145008.768,행정안전부 지방재정365 기능별 회계별 세출예산
2018,전북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1798771544000,1798771.544,행정안전부 지방재정365 기능별 회계별 세출예산
2018,제주,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,4784074371000,4784074.371,행정안전부 지방재정365 기능별 회계별 세출예산
2018,충남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1779478406000,1779478.406,행정안전부 지방재정365 기능별 회계별 세출예산
2018,충북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1432447733000,1432447.733,행정안전부 지방재정365 기능별 회계별 세출예산
2019,강원,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1976435466000,1976435.466,행정안전부 지방재정365 기능별 회계별 세출예산
2019,경기,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,9094144829000,9094144.829,행정안전부 지방재정365 기능별 회계별 세출예산
2019,경남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2699225176000,2699225.176,행정안전부 지방재정365 기능별 회계별 세출예산
2019,경북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2730309440000,2730309.44,행정안전부 지방재정365 기능별 회계별 세출예산
2019,광주,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2771085018000,2771085.018,행정안전부 지방재정365 기능별 회계별 세출예산
2019,대구,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,4728675815000,4728675.815,행정안전부 지방재정365 기능별 회계별 세출예산
2019,대전,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2559077361000,2559077.361,행정안전부 지방재정365 기능별 회계별 세출예산
2019,부산,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,6248140867000,6248140.867,행정안전부 지방재정365 기능별 회계별 세출예산
2019,서울,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,19799819232000,19799819.232,행정안전부 지방재정365 기능별 회계별 세출예산
2019,세종,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1468577881000,1468577.881,행정안전부 지방재정365 기능별 회계별 세출예산
2019,울산,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2111371212000,2111371.212,행정안전부 지방재정365 기능별 회계별 세출예산
2019,인천,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5794671555000,5794671.555,행정안전부 지방재정365 기능별 회계별 세출예산
2019,전남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2278755881000,2278755.881,행정안전부 지방재정365 기능별 회계별 세출예산
2019,전북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1929357952000,1929357.952,행정안전부 지방재정365 기능별 회계별 세출예산
2019,제주,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5116992495000,5116992.495,행정안전부 지방재정365 기능별 회계별 세출예산
2019,충남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1976083419000,1976083.419,행정안전부 지방재정365 기능별 회계별 세출예산
2019,충북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1537805955000,1537805.955,행정안전부 지방재정365 기능별 회계별 세출예산
2020,강원,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2060572425000,2060572.425,행정안전부 지방재정365 기능별 회계별 세출예산
2020,경기,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,9552048255000,9552048.255,행정안전부 지방재정365 기능별 회계별 세출예산
2020,경남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2920548734000,2920548.734,행정안전부 지방재정365 기능별 회계별 세출예산
2020,경북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2946741739000,2946741.739,행정안전부 지방재정365 기능별 회계별 세출예산
2020,광주,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3087495945000,3087495.945,행정안전부 지방재정365 기능별 회계별 세출예산
2020,대구,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5251995842000,5251995.842,행정안전부 지방재정365 기능별 회계별 세출예산
