분모대안,비율중앙값_pct,주기준대비_배율중앙값,평균절대순위차,최대절대순위차,순위5칸이상,비율100pct초과,순위상관_최솟값,순위상관_중앙값,방향일치건수,방향비교건수,방향일치율,방향일치율_pct
광역본청_3개회계_순계,56.00487309208345,2.1913199688756975,5.751633986928105,10.0,109,23,0.031862745098039234,0.14950980392156862,128,136,0.9411764705882353,94.11764705882352
지역통합_3개회계_순계,15.945093566298524,1.0,0.0,0.0,0,0,1.0,1.0,136,136,1.0,100.0
지역통합_3개회계_총계,11.898455482760095,0.7266116183821139,1.0065359477124183,7.0,9,0,0.8676470588235295,0.9215686274509806,130,136,0.9558823529411765,95.58823529411765
지역통합_4개회계_총계,10.839990831694868,0.6730258624084594,0.9934640522875817,7.0,9,0,0.823529411764706,0.9362745098039216,130,136,0.9558823529411765,95.58823529411765
지역통합_일반회계_순계,19.19805779668987,1.2066960847349273,0.6013071895424836,3.0,0,0,0.963235294117647,0.9803921568627451,131,136,0.9632352941176471,96.32352941176471
