분모대안,지역,연도,주기준_비율_pct,계획예산_총세출비율_pct,주기준_순위,순위,순위차,절대순위차,100pct_초과
광역본청_3개회계_순계,충남,2016,12.804043330349554,57.72531673072644,11.0,5.0,-6.0,6.0,False
광역본청_3개회계_순계,충남,2017,12.693342968335758,76.98917665983174,10.0,4.0,-6.0,6.0,False
광역본청_3개회계_순계,전북,2018,15.17155109349188,90.57489848749798,9.0,3.0,-6.0,6.0,False
광역본청_3개회계_순계,서울,2019,16.21657296705661,29.83516632542153,7.0,13.0,6.0,6.0,False
광역본청_3개회계_순계,전북,2019,16.051914945120558,98.93436301031194,8.0,2.0,-6.0,6.0,False
광역본청_3개회계_순계,서울,2020,16.595958235432768,31.119749332933093,8.0,14.0,6.0,6.0,False
광역본청_3개회계_순계,전북,2020,15.515555446100803,98.69575241436786,9.0,3.0,-6.0,6.0,False
광역본청_3개회계_순계,강원,2021,15.23756484977994,91.6007998478711,12.0,6.0,-6.0,6.0,False
광역본청_3개회계_순계,경남,2021,16.2961078717932,102.91185813557152,9.0,3.0,-6.0,6.0,True
광역본청_3개회계_순계,전북,2021,15.726050461143132,101.62000868525274,11.0,5.0,-6.0,6.0,True
광역본청_3개회계_순계,부산,2022,32.620269977316774,68.62758802917214,1.0,7.0,6.0,6.0,False
광역본청_3개회계_순계,전북,2022,16.79338144298119,109.03859668081968,7.0,1.0,-6.0,6.0,True
광역본청_3개회계_순계,경남,2023,16.830728472800885,109.55830759070146,9.0,3.0,-6.0,6.0,True
광역본청_3개회계_순계,대전,2023,17.346924174749024,35.51124165199487,7.0,13.0,6.0,6.0,False
광역본청_3개회계_순계,세종,2023,16.820465597130287,16.820465597130287,10.0,16.0,6.0,6.0,False
광역본청_3개회계_순계,충북,2023,15.561159812557088,93.04477739943124,13.0,7.0,-6.0,6.0,False
광역본청_3개회계_순계,부산,2024,27.838864890067576,61.00386054443763,2.0,8.0,6.0,6.0,False
광역본청_3개회계_순계,울산,2024,22.02207765202548,49.37801157030471,6.0,12.0,6.0,6.0,False
지역통합_3개회계_총계,제주,2017,12.648528315205262,12.183850280101312,11.0,5.0,-6.0,6.0,False
지역통합_3개회계_총계,제주,2024,15.239632988447111,14.52420610254209,14.0,8.0,-6.0,6.0,False
지역통합_4개회계_총계,제주,2019,13.466601732821184,11.42319751665798,13.0,7.0,-6.0,6.0,False
지역통합_4개회계_총계,대전,2023,17.346924174749024,10.566442474684676,7.0,13.0,6.0,6.0,False
지역통합_4개회계_총계,서울,2023,17.390519355813776,10.620009332952195,6.0,12.0,6.0,6.0,False
지역통합_4개회계_총계,제주,2024,15.239632988447111,12.21465809913737,14.0,8.0,-6.0,6.0,False
광역본청_3개회계_순계,전북,2016,14.784975990029398,76.35276078886156,8.0,3.0,-5.0,5.0,False
광역본청_3개회계_순계,대구,2017,12.777911038454484,24.11155149879339,9.0,14.0,5.0,5.0,False
광역본청_3개회계_순계,전북,2017,15.332239676318247,90.0678711147598,7.0,2.0,-5.0,5.0,False
광역본청_3개회계_순계,제주,2017,12.648528315205262,12.648528315205262,11.0,16.0,5.0,5.0,False
광역본청_3개회계_순계,인천,2018,14.091770708549264,27.90150781541027,11.0,16.0,5.0,5.0,False
광역본청_3개회계_순계,충북,2018,13.56942575260343,75.93875678254852,12.0,7.0,-5.0,5.0,False
광역본청_3개회계_순계,경남,2019,16.637855950539088,104.88565478614224,6.0,1.0,-5.0,5.0,True
광역본청_3개회계_순계,충남,2019,14.798613221706011,91.5566611512568,9.0,4.0,-5.0,5.0,False
광역본청_3개회계_순계,세종,2020,13.765244612439623,13.765244612439623,11.0,16.0,5.0,5.0,False
광역본청_3개회계_순계,제주,2020,14.457120618329869,14.457120618329869,10.0,15.0,5.0,5.0,False
광역본청_3개회계_순계,충북,2020,18.005723156522187,103.3526031132308,7.0,2.0,-5.0,5.0,True
지역통합_3개회계_총계,세종,2022,13.056550195794742,12.039089917909974,13.0,8.0,-5.0,5.0,False
지역통합_3개회계_총계,서울,2023,17.390519355813776,11.991282753050742,6.0,11.0,5.0,5.0,False
지역통합_3개회계_총계,세종,2023,16.820465597130287,15.900333270092592,10.0,5.0,-5.0,5.0,False
지역통합_4개회계_총계,제주,2017,12.648528315205262,10.620419204888824,11.0,6.0,-5.0,5.0,False
지역통합_4개회계_총계,충북,2024,18.047272923635457,11.084997225735457,8.0,13.0,5.0,5.0,False
