지역,기준연도,세부영역,구조환경지수_t,구조환경지수_t1,구조환경_t1연도,구조환경지수_변화_t_t1,예산_t2연도,예산_t3연도,계획예산비중_t2_pct,계획예산비중_t3_pct,계획예산비중_변화_t2_t3_pp,예산누락주의_두연도
강원,2016,1-1. 고용여건,28.881160584701288,50.12156114581836,2017.0,21.240400561117074,2018,2019.0,0.0,3.8105630295208863,3.8105630295208863,False
강원,2017,1-1. 고용여건,50.12156114581836,50.90431493157741,2018.0,0.7827537857590485,2019,2020.0,3.8105630295208863,1.4145096560272616,-2.3960533734936247,False
강원,2018,1-1. 고용여건,50.90431493157741,50.733167507063655,2019.0,-0.1711474245137552,2020,2021.0,1.4145096560272616,2.3399908857255936,0.9254812296983319,False
강원,2019,1-1. 고용여건,50.733167507063655,17.85045562488118,2020.0,-32.88271188218248,2021,2022.0,2.3399908857255936,3.803994682398384,1.4640037966727903,False
강원,2020,1-1. 고용여건,17.85045562488118,27.212158718652397,2021.0,9.361703093771215,2022,2023.0,3.803994682398384,1.2033687811955598,-2.6006259012028243,False
강원,2021,1-1. 고용여건,27.212158718652397,27.41877930715674,2022.0,0.20662058850434306,2023,2024.0,1.2033687811955598,0.7961395381981231,-0.4072292429974367,False
경기,2016,1-1. 고용여건,55.37239738486059,61.85685981908782,2017.0,6.484462434227233,2018,2019.0,0.5126847124963713,0.2117299086866312,-0.30095480380974005,True
경기,2017,1-1. 고용여건,61.85685981908782,64.24411321518893,2018.0,2.3872533961011086,2019,2020.0,0.2117299086866312,0.4733135083301505,0.2615835996435193,True
경기,2018,1-1. 고용여건,64.24411321518893,60.98292079828625,2019.0,-3.2611924169026807,2020,2021.0,0.4733135083301505,0.7387579421731713,0.26544443384302074,True
경기,2019,1-1. 고용여건,60.98292079828625,36.4286269524752,2020.0,-24.554293845811053,2021,2022.0,0.7387579421731713,0.846190216852106,0.10743227467893479,False
경기,2020,1-1. 고용여건,36.4286269524752,52.49267219702812,2021.0,16.064045244552922,2022,2023.0,0.846190216852106,0.8262645159966959,-0.019925700855410122,False
경기,2021,1-1. 고용여건,52.49267219702812,54.33577944983982,2022.0,1.8431072528116985,2023,2024.0,0.8262645159966959,0.7009549834252049,-0.12530953257149102,False
경남,2016,1-1. 고용여건,56.58125152364736,63.31837975092025,2017.0,6.7371282272728905,2018,2019.0,6.057059166021405,2.0088658118752427,-4.0481933541461625,False
경남,2017,1-1. 고용여건,63.31837975092025,62.62292498277899,2018.0,-0.6954547681412606,2019,2020.0,2.0088658118752427,2.6411471698169464,0.6322813579417037,False
경남,2018,1-1. 고용여건,62.62292498277899,61.28970695891622,2019.0,-1.33321802386277,2020,2021.0,2.6411471698169464,2.793627327323027,0.1524801575060808,False
경남,2019,1-1. 고용여건,61.28970695891622,40.94228636433678,2020.0,-20.34742059457944,2021,2022.0,2.793627327323027,1.0644572000490626,-1.7291701272739646,False
경남,2020,1-1. 고용여건,40.94228636433678,49.6961236300129,2021.0,8.753837265676118,2022,2023.0,1.0644572000490626,2.5880619300188834,1.5236047299698208,False
경남,2021,1-1. 고용여건,49.6961236300129,53.19943112669535,2022.0,3.503307496682453,2023,2024.0,2.5880619300188834,2.12902742072103,-0.4590345092978536,False
경북,2016,1-1. 고용여건,59.240492990672905,66.35533187676613,2017.0,7.114838886093224,2018,2019.0,0.5209612736574433,0.510424184268775,-0.010537089388668264,False
경북,2017,1-1. 고용여건,66.35533187676613,59.13290707805685,2018.0,-7.222424798709277,2019,2020.0,0.510424184268775,0.3654614725694186,-0.14496271169935643,False
경북,2018,1-1. 고용여건,59.13290707805685,54.63965938969621,2019.0,-4.49324768836064,2020,2021.0,0.3654614725694186,0.4721996923716982,0.1067382198022796,False
경북,2019,1-1. 고용여건,54.63965938969621,42.018043356963815,2020.0,-12.621616032732398,2021,2022.0,0.4721996923716982,0.844076022017359,0.3718763296456608,False
경북,2020,1-1. 고용여건,42.018043356963815,53.52767616797878,2021.0,11.509632811014967,2022,2023.0,0.844076022017359,0.804238314489792,-0.03983770752756699,False
경북,2021,1-1. 고용여건,53.52767616797878,58.85469485332767,2022.0,5.3270186853488894,2023,2024.0,0.804238314489792,0.3395520128702397,-0.4646863016195523,False
광주,2016,1-1. 고용여건,45.139930320521344,43.30903830219649,2017.0,-1.8308920183248532,2018,2019.0,0.1545088160723843,3.4302394513381538,3.2757306352657696,False
광주,2017,1-1. 고용여건,43.30903830219649,44.137161393860424,2018.0,0.828123091663933,2019,2020.0,3.4302394513381538,28.5456039441249,25.115364492786746,False
광주,2018,1-1. 고용여건,44.137161393860424,50.35357623956299,2019.0,6.216414845702566,2020,2021.0,28.5456039441249,2.9648070420108503,-25.58079690211405,False
광주,2019,1-1. 고용여건,50.35357623956299,32.551209901850314,2020.0,-17.802366337712677,2021,2022.0,2.9648070420108503,1.443231497455299,-1.5215755445555512,False
광주,2020,1-1. 고용여건,32.551209901850314,41.966403114875035,2021.0,9.415193213024722,2022,2023.0,1.443231497455299,1.7305072793578704,0.2872757819025713,False
광주,2021,1-1. 고용여건,41.966403114875035,41.49283031064778,2022.0,-0.4735728042272527,2023,2024.0,1.7305072793578704,0.8945371267960647,-0.8359701525618057,False
대구,2016,1-1. 고용여건,40.87100996500598,43.8237068441426,2017.0,2.9526968791366173,2018,2019.0,1.0399243590842362,1.3324665411026004,0.29254218201836424,False
대구,2017,1-1. 고용여건,43.8237068441426,34.854586514359895,2018.0,-8.969120329782704,2019,2020.0,1.3324665411026004,1.2531491988168704,-0.07931734228573006,False
대구,2018,1-1. 고용여건,34.854586514359895,43.762554712648466,2019.0,8.907968198288572,2020,2021.0,1.2531491988168704,0.9158016094338796,-0.3373475893829908,False
