지역,세부영역,2016_비중_pct,2024_비중_pct,2016-2018_합계기준_비중_pct,2022-2024_합계기준_비중_pct,2016→2024_비중변화_pp,3개년구간_비중변화_pp,예산누락주의
강원,1-1. 고용여건,0.28385748139869404,0.7961395381981231,0.32621614376320046,1.5761107199181694,0.5122820567994291,1.249894576154969,False
강원,1-2. 주거안정성,0.0,0.9705091363921438,1.936191676002845,2.9117777944310403,0.9705091363921438,0.9755861184281953,False
강원,1-3. 경제적 여건,0.5307710616456076,18.784593900725472,1.7287348199938328,18.022599236770546,18.253822839079863,16.293864416776714,True
강원,2-1. 돌봄 여건,42.29755880496311,18.03687942592284,39.50395063679709,22.14489980489905,-24.26067937904027,-17.359050831898042,False
강원,2-2. 여가 인프라,0.3499839599308725,0.7562971283150007,0.26562783281345154,0.6269249490414817,0.40631316838412823,0.3612971162280301,False
강원,2-3. 가사수행 격차,0.0,0.00011810991072071849,0.0,4.658496636674126e-05,0.00011810991072071849,4.658496636674126e-05,False
강원,3-1. 의료서비스 여건,0.6616787225895916,0.5148804708018522,0.5515860656182254,1.4322874004219168,-0.14679825178773942,0.8807013348036914,False
강원,3-2. 산후조리 여건,0.1553299597446007,0.35771554960281604,0.14429625359694673,0.40189626900693803,0.20238558985821534,0.25760001540999133,False
강원,3-3. 아동안전 수준,0.2565376217234278,0.0005905495536035924,0.2522705120874455,0.05809145305932635,-0.2559470721698242,-0.19417905902811916,False
강원,4-1. 일·가정 양립 여건,0.0030010451916012127,0.012204690774474244,0.008119763411168395,0.029786427494894362,0.009203645582873031,0.021666664083725966,False
강원,4-2. 사회적 가치관,0.057744248859085405,0.41917207314782995,0.027365462183441568,0.19471584241970513,0.36142782428874454,0.16735038023626356,False
강원,지표체계 외,55.40353709395342,59.350899426655126,55.25564083373234,52.60086351757055,3.947362332701708,-2.654777316161791,False
경기,1-1. 고용여건,0.4257481904455692,0.7009549834252049,0.43519042103809275,0.7824306400063189,0.2752067929796357,0.34724021896822616,True
경기,1-2. 주거안정성,0.0,0.2433564978427841,0.06322316344904177,0.15720958084276493,0.2433564978427841,0.09398641739372315,True
경기,1-3. 경제적 여건,0.023678063084591125,20.185551461307476,1.5249519026693343,18.83547607425181,20.161873398222884,17.31052417158248,True
경기,2-1. 돌봄 여건,48.89468101391128,26.52745724764995,52.23046950515957,24.01001286590413,-22.367223766261333,-28.22045663925544,True
경기,2-2. 여가 인프라,0.014227608081530634,0.4118212725052305,0.11048959396756143,0.504429857684109,0.39759366442369987,0.39394026371654756,True
경기,2-3. 가사수행 격차,0.0,0.0045798918725875526,0.00012650382863837374,0.004644095019169307,0.0045798918725875526,0.004517591190530933,True
경기,3-1. 의료서비스 여건,4.268303194689966,0.7972991227227971,1.8810486799382984,0.5380287697043475,-3.471004071967169,-1.3430199102339508,True
