시차,세부영역,군집,계수,군집표준오차,p값,95%신뢰구간_하한,95%신뢰구간_상한,관측치,지역수,연도수,추정가능,추정불가사유,FDR_q값,FDR_0.05_유의
t+1,1-1. 고용여건,1,0.01648853509614464,0.010146692368822326,0.12369196271532322,-0.005021491826089672,0.03799856201837895,102,17,6,True,,0.6803057949342777,False
t+1,1-1. 고용여건,2,-0.09497604195492801,0.014367936351786393,5.995071684184905e-06,-0.1254347063659537,-0.06451737754390233,102,17,6,True,,1.3189157705206792e-05,True
t+1,1-1. 고용여건,3,0.0009069143806239646,0.010625659922935637,0.9330409785461998,-0.0216184783977302,0.02343230715897813,102,17,6,True,,0.98275758066678,False
t+1,1-2. 주거안정성,1,-0.0020450208285005527,0.00407034497409783,0.6222166807621067,-0.010673766708749144,0.0065837250517480385,102,17,6,True,,0.978646441292218,False
t+1,1-2. 주거안정성,2,0.035410496811012895,0.011314810078267155,0.006466451767116136,0.011424170966412295,0.059396822655613496,102,17,6,True,,0.008891371179784687,True
t+1,1-2. 주거안정성,3,-0.0023835629591687536,0.00540345586379012,0.6650300351165959,-0.01383837767892559,0.009071251760588083,102,17,6,True,,0.9144162982853193,False
t+1,1-3. 경제적 여건,1,0.000966555391150134,0.014694116827189112,0.9483691544302202,-0.030183580738184272,0.03211669152048454,102,17,6,True,,0.978646441292218,False
t+1,1-3. 경제적 여건,2,-0.038676810754192506,0.06809837192084048,0.5779495126072492,-0.1830389102575221,0.10568528874913712,102,17,6,True,,0.5779495126072492,False
t+1,1-3. 경제적 여건,3,-0.012363283936998419,0.016465303352646975,0.4636325787701826,-0.04726816776756023,0.022541599893563392,102,17,6,True,,0.7285654809245726,False
t+1,2-1. 돌봄 여건,1,0.007829499788647526,0.02191100140406457,0.7255129978840782,-0.0386197481990733,0.054278747776368354,102,17,6,True,,0.978646441292218,False
t+1,2-1. 돌봄 여건,2,0.4059752337476036,0.07031022566768494,2.8486490980527622e-05,0.256924213765236,0.5550262537299712,102,17,6,True,,5.222523346430064e-05,True
t+1,2-1. 돌봄 여건,3,0.033618117230164474,0.020594270320653644,0.12211700417300815,-0.010039785556184191,0.07727602001651314,102,17,6,True,,0.6716435229515448,False
t+1,2-2. 여가 인프라,1,0.02479593460912577,0.0038432556441535624,7.996124528660227e-06,0.016648596602822634,0.032943272615428905,102,17,6,True,,8.795736981526249e-05,True
