지역,연도,세부영역,합계출산율,세부영역_재정대응지수_z_전년도,세부영역_재정대응지수_z_전전년도
강원,2017,4-1. 일·가정 양립 여건,1.123,-1.499645008554316,
강원,2018,4-1. 일·가정 양립 여건,1.067,-0.8017400767197124,-1.499645008554316
강원,2019,4-1. 일·가정 양립 여건,1.082,-0.7765911851241258,-0.8017400767197124
강원,2020,4-1. 일·가정 양립 여건,1.036,-0.3001988503781415,-0.7765911851241258
강원,2021,4-1. 일·가정 양립 여건,0.979,-0.3463837470851198,-0.3001988503781415
강원,2022,4-1. 일·가정 양립 여건,0.968,-0.3227718313887821,-0.3463837470851198
강원,2023,4-1. 일·가정 양립 여건,0.893,0.4943656849744234,-0.3227718313887821
강원,2024,4-1. 일·가정 양립 여건,0.889,-0.6228119726907438,0.4943656849744234
강원,2016,4-2. 사회적 가치관,1.237,,
강원,2017,4-2. 사회적 가치관,1.123,0.5903908479890593,
강원,2018,4-2. 사회적 가치관,1.067,0.0921897182255609,0.5903908479890593
강원,2019,4-2. 사회적 가치관,1.082,-1.4957662717515765,0.0921897182255609
강원,2020,4-2. 사회적 가치관,1.036,0.972448053377824,-1.4957662717515765
강원,2021,4-2. 사회적 가치관,0.979,1.027420665951991,0.972448053377824
강원,2022,4-2. 사회적 가치관,0.968,0.4628600043732378,1.027420665951991
강원,2023,4-2. 사회적 가치관,0.893,1.0574494643419852,0.4628600043732378
강원,2024,4-2. 사회적 가치관,0.889,0.6821398517056979,1.0574494643419852
경기,2016,1-1. 고용여건,1.194,,
경기,2017,1-1. 고용여건,1.069,-0.661433354752062,
경기,2018,1-1. 고용여건,1.002,-0.7228445190398991,-0.661433354752062
경기,2019,1-1. 고용여건,0.943,-0.3726521424601697,-0.7228445190398991
경기,2020,1-1. 고용여건,0.878,-0.7712552203071242,-0.3726521424601697
경기,2021,1-1. 고용여건,0.853,-0.2300274382400128,-0.7712552203071242
경기,2022,1-1. 고용여건,0.839,-0.0018411822779359,-0.2300274382400128
경기,2023,1-1. 고용여건,0.766,-0.0053767601804593,-0.0018411822779359
경기,2024,1-1. 고용여건,0.789,0.125018953347296,-0.0053767601804593
경기,2016,1-2. 주거안정성,1.194,,
경기,2017,1-2. 주거안정성,1.069,-2.1430285928748103,
경기,2018,1-2. 주거안정성,1.002,-0.7735251188658716,-2.1430285928748103
경기,2019,1-2. 주거안정성,0.943,-0.0819066578182385,-0.7735251188658716
경기,2020,1-2. 주거안정성,0.878,0.1168774334167506,-0.0819066578182385
경기,2021,1-2. 주거안정성,0.853,0.0149772560252071,0.1168774334167506
경기,2022,1-2. 주거안정성,0.839,-0.2127942322225978,0.0149772560252071
경기,2023,1-2. 주거안정성,0.766,-0.0676539119313509,-0.2127942322225978
경기,2024,1-2. 주거안정성,0.789,-0.1302981077716738,-0.0676539119313509
경기,2016,1-3. 경제적 여건,1.194,,
경기,2017,1-3. 경제적 여건,1.069,-4.293228340527562,
