시차,세부영역,군집쌍,계수차이,군집표준오차,p값,95%신뢰구간_하한,95%신뢰구간_상한,FDR_q값,FDR_0.05_유의
t+1,1-1. 고용여건,2-1,-0.11146457705107266,0.017198571518253564,7.580424285009244e-06,-0.14792391995165413,-0.07500523415049118,2.084616678377542e-05,True
t+1,1-1. 고용여건,3-1,-0.015581620715520675,0.008051128970951098,0.07082633594832208,-0.03264925168575367,0.0014860102547123236,0.3895448477157714,False
t+1,1-1. 고용여건,3-2,0.09588295633555198,0.01763661655688624,5.486841960804743e-05,0.05849499943627552,0.13327091323482843,0.00012071052313770435,True
t+1,1-2. 주거안정성,2-1,0.03745551763951345,0.009745802473031345,0.0014356234242138,0.016795339331770694,0.058115695947256206,0.0022559796666216858,True
t+1,1-2. 주거안정성,3-1,-0.0003385421306682009,0.0048726902737980336,0.9454705084031921,-0.010668184063556518,0.009991099802220117,0.9979073982807948,False
t+1,1-2. 주거안정성,3-2,-0.03779405977018165,0.010255699142253036,0.002004137338182844,-0.05953517072906274,-0.016052948811300566,0.0027556888400014105,True
t+1,1-3. 경제적 여건,2-1,-0.03964336614534264,0.0731602569420478,0.5953742941820209,-0.19473618252917835,0.11544945023849307,0.5953742941820209,False
t+1,1-3. 경제적 여건,3-1,-0.013329839328148553,0.01198007366961672,0.2822896940219439,-0.03872646098543006,0.012066782329132955,0.7762966585603458,False
t+1,1-3. 경제적 여건,3-2,0.026313526817194087,0.07432615514308646,0.7279403671227883,-0.131250883341376,0.18387793697576418,0.7279403671227883,False
t+1,2-1. 돌봄 여건,2-1,0.398145733958956,0.06863573626509387,2.7059102279871008e-05,0.2526444729346311,0.543646994983281,5.953002501571622e-05,True
t+1,2-1. 돌봄 여건,3-1,0.025788617441516948,0.03300289212825247,0.44597365028453473,-0.044174388470792886,0.09575162335382678,0.8822594743520279,False
t+1,2-1. 돌봄 여건,3-2,-0.3723571165174391,0.0825426801709076,0.00035530343378465735,-0.5473397816236713,-0.19737445141120688,0.0006513896286052052,True
t+1,2-2. 여가 인프라,2-1,-0.08537940132520322,0.00492649643083739,8.603830781389285e-12,-0.09582310721553,-0.07493569543487644,9.464213859528213e-11,True
t+1,2-2. 여가 인프라,3-1,-0.020359926806045394,0.004429308286960256,0.00029781800597837,-0.029749640915457058,-0.01097021269663373,0.0032759980657620703,True
t+1,2-2. 여가 인프라,3-2,0.06501947451915782,0.006917575780675714,6.45912222508046e-08,0.05035486896393877,0.07968408007437687,7.105034447588506e-07,True
t+1,2-3. 가사수행 격차,2-1,0.06681678074403852,0.00474856141147718,1.985304947940029e-10,0.05675028024417048,0.07688328124390655,1.091917721367016e-09,True
t+1,2-3. 가사수행 격차,3-1,0.011581251366595498,0.007192226031448099,0.1268937088884897,-0.0036655867106683802,0.026828089443859376,0.4652769325911289,False
t+1,2-3. 가사수행 격차,3-2,-0.05523552937744302,0.006578742635441484,2.946199413079139e-07,-0.06918184075252823,-0.04128921800235781,1.3255941781660038e-06,True
t+1,3-1. 의료서비스 여건,2-1,-0.041410514539046844,0.026580946865008996,0.1388143785177197,-0.09775960465649801,0.01493857557840432,0.16966201818832405,False
t+1,3-1. 의료서비스 여건,3-1,0.002306477694723613,0.012409624144734226,0.8548888666005682,-0.0240007502910425,0.028613705680489727,0.9979073982807948,False
t+1,3-1. 의료서비스 여건,3-2,0.04371699223377046,0.029517190858931203,0.15801211657294387,-0.018856657086202974,0.10629064155374389,0.19312592025582026,False
t+1,3-2. 산후조리 여건,2-1,0.1509916875821928,0.03800308458388518,0.0010919920381441167,0.07042874718606104,0.23155462797832457,0.002001985403264214,True
t+1,3-2. 산후조리 여건,3-1,-0.013989633963170899,0.019399495788485488,0.48123244055565156,-0.055114727887401696,0.0271354599610599,0.8822594743520279,False
t+1,3-2. 산후조리 여건,3-2,-0.1649813215453637,0.043679371849941466,0.0016505977255933542,-0.25757745339671034,-0.07238518969401711,0.0025937964259324137,True
t+1,3-3. 아동안전 수준,2-1,0.05958880787294967,0.008919225045838567,5.278381850508569e-06,0.04068089543332956,0.07849672031256978,1.9354066785198087e-05,True
t+1,3-3. 아동안전 수준,3-1,-0.0024661151708058326,0.008987226610189079,0.7872868559668216,-0.021518184487047932,0.016585954145436267,0.9979073982807948,False
t+1,3-3. 아동안전 수준,3-2,-0.062054923043755504,0.007506739185459422,3.615256849543646e-07,-0.07796849922288278,-0.04614134686462823,1.3255941781660038e-06,True
t+1,4-1. 일·가정 양립 여건,2-1,-0.026490089908742104,0.00884608752765882,0.008576361110967759,-0.04524295773600108,-0.007737222081483124,0.011792496527580668,True
t+1,4-1. 일·가정 양립 여건,3-1,0.005175878792303856,0.01052486244744744,0.6295559186291376,-0.017135832883614754,0.027487590468222467,0.9893021578457877,False
t+1,4-1. 일·가정 양립 여건,3-2,0.03166596870104596,0.005548369767569344,3.2394923795519975e-05,0.019903950228736707,0.04342798717335521,8.908604043767993e-05,True
t+1,4-2. 사회적 가치관,2-1,-0.013453796606932647,0.012954698091247732,0.31446578973876166,-0.04091652974038019,0.014008936526514894,0.34591236871263786,False
t+1,4-2. 사회적 가치관,3-1,-6.889116643779558e-05,0.02586038714056118,0.9979073982807948,-0.05489046290562663,0.05475268057275104,0.9979073982807948,False
t+1,4-2. 사회적 가치관,3-2,0.013384905440494851,0.02342102626377157,0.5756078133537308,-0.03626545224927469,0.06303526313026439,0.6331685946891039,False
t+2,1-1. 고용여건,2-1,-0.08904202537938544,0.02154364940013988,0.0007804820688191126,-0.13471252190730676,-0.0433715288514641,0.0021463256892525597,True
t+2,1-1. 고용여건,3-1,-0.013865049496861875,0.005940987408106941,0.032975098859082036,-0.026459380185914524,-0.0012707188078092263,0.36272608744990237,False
t+2,1-1. 고용여건,3-2,0.07517697588252356,0.0214024260356156,0.002886056763269275,0.029805859513431107,0.12054809225161602,0.007936656098990507,True
t+2,1-2. 주거안정성,2-1,0.02843824790905909,0.013194243241694176,0.046708231278312806,0.0004677017417773835,0.0564087940763408,0.05708783822904898,False
t+2,1-2. 주거안정성,3-1,-0.001532777794026996,0.004229101279476396,0.721769303115106,-0.010498072007332396,0.007432516419278404,0.7938105264118702,False
t+2,1-2. 주거안정성,3-2,-0.029971025703086088,0.012978952791581972,0.03461322706306759,-0.05748517650430321,-0.0024568749018689696,0.05439221395624907,False
t+2,1-3. 경제적 여건,2-1,-0.043614918419358245,0.04793014422757378,0.37634396874249865,-0.14522228515983093,0.05799244832111444,0.37634396874249865,False
t+2,1-3. 경제적 여건,3-1,-0.016425155935662503,0.009435785144450889,0.10092317367900228,-0.03642812686569713,0.0035778149943721284,0.37005163682300835,False
t+2,1-3. 경제적 여건,3-2,0.027189762483695742,0.050253450686339025,0.5959246799633876,-0.07934279393042835,0.13372231889781983,0.5959246799633876,False
t+2,2-1. 돌봄 여건,2-1,0.31602883986670577,0.30021487897242277,0.30812870551150806,-0.3203982729720009,0.9524559527054124,0.3389415760626589,False
t+2,2-1. 돌봄 여건,3-1,0.024132619957596857,0.019421578541089134,0.23193068987620125,-0.0170392873108998,0.0653045272260935,0.5102475177276428,False
t+2,2-1. 돌봄 여건,3-2,-0.2918962199091089,0.3078124565102213,0.3570846810278185,-0.944429477631439,0.36063703781322126,0.43643683236733366,False
t+2,2-2. 여가 인프라,2-1,-0.07281138884000239,0.006892765089483959,1.2744310150730126e-08,-0.08742339807948671,-0.05819937960051808,1.4018741165803138e-07,True
t+2,2-2. 여가 인프라,3-1,-0.0068962718441225035,0.004937972323961624,0.1816133207681927,-0.017364305541096643,0.0035717618528516362,0.4994366321125299,False
t+2,2-2. 여가 인프라,3-2,0.06591511699587989,0.006352511751273131,1.639138812967908e-08,0.05244839367099068,0.07938184032076909,1.8030526942646986e-07,True
t+2,2-3. 가사수행 격차,2-1,0.042326611984059626,0.008215650735875503,9.645285025923398e-05,0.024910210452526147,0.05974301351559311,0.00035366045095052464,True
t+2,2-3. 가사수행 격차,3-1,0.03032897550291075,0.01552867608128819,0.06852625265761109,-0.002590347211702433,0.06324829821752392,0.37005163682300835,False
t+2,2-3. 가사수행 격차,3-2,-0.011997636481148877,0.015563024517710989,0.4519970282685001,-0.04498977462815471,0.02099450166585696,0.4971967310953501,False
t+2,3-1. 의료서비스 여건,2-1,-0.07718972114839731,0.020652755411295916,0.0017944871773920039,-0.12097160678832397,-0.03340783550847066,0.0028199084216160063,True
t+2,3-1. 의료서비스 여건,3-1,-0.004784464832520152,0.01800227950418729,0.7938105264118702,-0.04294759255150896,0.03337866288646866,0.7938105264118702,False
t+2,3-1. 의료서비스 여건,3-2,0.07240525631587716,0.02160414752414551,0.0040548586489215265,0.02660650949428335,0.11820400313747097,0.008920689027627358,True
