시차,세부영역,군집1_계수,군집1_군집표준오차,군집1_p값,군집1_95%신뢰구간_하한,군집1_95%신뢰구간_상한,군집2_계수,군집2_군집표준오차,군집2_p값,군집2_95%신뢰구간_하한,군집2_95%신뢰구간_상한,군집간_계수차,군집간_차이_표준오차,군집간_차이_p값,관측치,지역수,연도수,추정가능,추정불가사유,FDR_q값,FDR_0.05_유의
t+1,1-1. 고용여건,0.01924275306609445,0.01062136662710354,0.08884363900775501,-0.003273538331674125,0.041759044463863026,-0.007185707744276265,0.01338391971176847,0.5987300470829363,-0.03555835006560605,0.02118693457705352,-0.026428460810370716,0.014700468008524755,0.09110478054756109,102,17,6,True,,0.33405086200772405,False
t+1,1-2. 주거안정성,0.001350637859441747,0.005854150396997555,0.820460740064137,-0.011059606589591582,0.013760882308475076,0.0062533421428084355,0.0099064682241836,0.5367990382120317,-0.01474743234220535,0.02725411662782222,0.0049027042833666885,0.007022324570922726,0.49509985093131736,102,17,6,True,,0.6807622950305614,False
t+1,1-3. 경제적 여건,0.0010440925595464196,0.01472225504262124,0.9443408408161166,-0.030165693921793184,0.03225387904088602,-0.01726166449714456,0.015256757541182534,0.2745556774075521,-0.049604545657631255,0.01508121666334213,-0.01830575705669098,0.01752945183376687,0.3118750453420138,102,17,6,True,,0.6659647383845201,False
t+1,2-1. 돌봄 여건,0.007973282795636971,0.02260602325302875,0.7289122049837384,-0.03994934569277758,0.055895911284051525,0.0412921530839967,0.02114757720196317,0.06859306095648592,-0.0035387078921356174,0.08612301406012901,0.033318870288359725,0.034060435444597484,0.34252182742467374,102,17,6,True,,0.6659647383845201,False
t+1,2-2. 여가 인프라,0.02568329656170693,0.004815564068802554,6.724181906589378e-05,0.015474756773512928,0.03589183634990093,-0.005983024831064398,0.011952425200239074,0.6234891874417462,-0.031321034351596874,0.019354984689468082,-0.03166632139277133,0.014032040043009997,0.038366826022944944,102,17,6,True,,0.2515957184947875,False
t+1,2-3. 가사수행 격차,0.001734892348328014,0.004338713515617224,0.6945447516876713,-0.0074627694252318195,0.010932554121887848,0.028649307302127405,0.011840553114112213,0.027812172170107414,0.0035484560098101962,0.05375015859444461,0.02691441495379939,0.012424919061383988,0.04574467608996137,102,17,6,True,,0.2515957184947875,False
t+1,3-1. 의료서비스 여건,0.0029652552346275673,0.0071850687189563,0.685305976435377,-0.012266410017956765,0.0181969204872119,-0.0020157050808338878,0.010800329098726899,0.8542937652971091,-0.024911379970558558,0.020879969808890782,-0.004980960315461455,0.014218780294343775,0.7306763429523512,102,17,6,True,,0.8897606373038973,False
t+1,3-2. 산후조리 여건,0.024269636785833174,0.02673790420170138,0.37751249027794526,-0.032412188021423836,0.08095146159309019,0.025074488925107774,0.020119330527265465,0.230597833479629,-0.017576586476426244,0.06772556432664179,0.0008048521392746005,0.022581920847911347,0.9720091462167737,102,17,6,True,,0.9720091462167737,False
t+1,3-3. 아동안전 수준,0.0008593012789200397,0.005882745341687805,0.885689477930182,-0.011611561744893088,0.013330164302733167,0.013943512190063095,0.015862128676880558,0.3923880852624633,-0.01968269844898543,0.04756972282911162,0.013084210911143056,0.01678361178579134,0.44701554065452925,102,17,6,True,,0.6807622950305614,False
t+1,4-1. 일·가정 양립 여건,0.005922505965215069,0.012283963284147558,0.6362404667560956,-0.020118332896288664,0.0319633448267188,-0.010539631586073489,0.009230692755471571,0.27033664992534284,-0.030107826073880916,0.009028562901733938,-0.016462137551288558,0.017590264305451707,0.36325349366428367,102,17,6,True,,0.6659647383845201,False
