지역,연도,세부영역,당해계획예산_백만원_provisional,사업수,예산결측_사업수,지역연도_전체계획예산_백만원,계획예산비중_pct,예산누락주의
인천,2019,1-2. 주거안정성,12624.0,3,0,2137311.0,0.5906487170093636,False
인천,2020,1-2. 주거안정성,83636.0,2,0,2761790.0,3.028325832159578,False
인천,2021,1-2. 주거안정성,377208.0,4,0,3305518.2,11.411463412907542,False
인천,2022,1-2. 주거안정성,666604.0,4,0,4451688.0,14.974185073167751,False
인천,2023,1-2. 주거안정성,6748.0,6,0,4389696.0,0.15372362915336277,False
인천,2024,1-2. 주거안정성,45571.0,5,0,4721370.0,0.9652071326754734,False
인천,2016,1-3. 경제적 여건,2988.0,9,0,1094772.2,0.27293349246537313,False
인천,2017,1-3. 경제적 여건,2859.0,9,0,1161639.0,0.24611776980628233,False
인천,2018,1-3. 경제적 여건,41457.0,16,0,1453723.0,2.851781254062844,False
인천,2019,1-3. 경제적 여건,237120.0,22,0,2137311.0,11.094314304282344,False
인천,2020,1-3. 경제적 여건,241731.0,28,0,2761790.0,8.75269299982982,False
인천,2021,1-3. 경제적 여건,228599.0,32,0,3305518.2,6.915678152974622,False
인천,2022,1-3. 경제적 여건,309175.0,34,2,4451688.0,6.945118346119495,True
인천,2023,1-3. 경제적 여건,431707.0,22,0,4389696.0,9.834553463383342,False
인천,2024,1-3. 경제적 여건,568484.0,26,0,4721370.0,12.04065769045849,False
인천,2016,2-1. 돌봄 여건,494060.2,51,0,1094772.2,45.12904145720909,False
인천,2017,2-1. 돌봄 여건,524692.0,39,0,1161639.0,45.1682493442455,False
인천,2018,2-1. 돌봄 여건,689330.0,76,0,1453723.0,47.418249556483595,False
인천,2019,2-1. 돌봄 여건,943795.0,82,0,2137311.0,44.158056548625815,False
인천,2020,2-1. 돌봄 여건,1275456.0,90,0,2761790.0,46.18222239924108,False
인천,2021,2-1. 돌봄 여건,1203811.0,91,0,3305518.2,36.41822332123296,False
인천,2022,2-1. 돌봄 여건,1086093.5,106,0,4451688.0,24.397340963697367,False
인천,2023,2-1. 돌봄 여건,1334732.0,94,0,4389696.0,30.406023560629254,False
인천,2024,2-1. 돌봄 여건,1279411.0,88,0,4721370.0,27.09829985788023,False
인천,2016,2-2. 여가 인프라,5075.0,7,0,1094772.2,0.46356675845440726,False
인천,2017,2-2. 여가 인프라,5935.0,7,0,1161639.0,0.5109160419028631,False
인천,2018,2-2. 여가 인프라,4439.0,10,0,1453723.0,0.30535390855066613,False
인천,2019,2-2. 여가 인프라,7725.0,9,0,2137311.0,0.3614354672764048,False
인천,2020,2-2. 여가 인프라,4910.0,7,0,2761790.0,0.1777832492694955,False
인천,2021,2-2. 여가 인프라,9802.0,8,0,3305518.2,0.2965344435253752,False
인천,2022,2-2. 여가 인프라,11488.0,8,0,4451688.0,0.2580594147658147,False
인천,2023,2-2. 여가 인프라,11759.0,7,0,4389696.0,0.2678773199784222,False
인천,2024,2-2. 여가 인프라,13184.0,7,0,4721370.0,0.2792409830197591,False
인천,2016,2-3. 가사수행 격차,0.0,0,0,1094772.2,0.0,False
인천,2017,2-3. 가사수행 격차,0.0,0,0,1161639.0,0.0,False
인천,2018,2-3. 가사수행 격차,5.0,1,0,1453723.0,0.0003439444791064047,False
인천,2019,2-3. 가사수행 격차,15.0,2,0,2137311.0,0.0007018164413134073,False
인천,2020,2-3. 가사수행 격차,47.0,2,0,2761790.0,0.0017017948504411992,False
인천,2021,2-3. 가사수행 격차,232.0,2,0,3305518.2,0.007018566710659768,False
인천,2022,2-3. 가사수행 격차,232.0,2,0,4451688.0,0.0052115062870533605,False
인천,2023,2-3. 가사수행 격차,198.0,2,0,4389696.0,0.0045105629182521974,False
인천,2024,2-3. 가사수행 격차,197.0,3,0,4721370.0,0.0041725177226101745,False
인천,2016,3-1. 의료서비스 여건,6818.0,16,0,1094772.2,0.6227779623925416,False
인천,2017,3-1. 의료서비스 여건,17677.0,17,0,1161639.0,1.5217292119152337,False
인천,2018,3-1. 의료서비스 여건,9401.0,27,0,1453723.0,0.6466844096158622,False
인천,2019,3-1. 의료서비스 여건,4148.0,30,0,2137311.0,0.19407563990453425,False
인천,2020,3-1. 의료서비스 여건,8261.0,35,0,2761790.0,0.2991176012658457,False
인천,2021,3-1. 의료서비스 여건,11803.0,36,0,3305518.2,0.3570695814048157,False
인천,2022,3-1. 의료서비스 여건,707913.0,38,2,4451688.0,15.902125216322439,True
인천,2023,3-1. 의료서비스 여건,797657.0,37,0,4389696.0,18.17112164487017,False
인천,2024,3-1. 의료서비스 여건,792974.0,36,0,4721370.0,16.79542166786335,False
인천,2016,3-2. 산후조리 여건,3258.0,3,0,1094772.2,0.297596157447184,False
인천,2017,3-2. 산후조리 여건,406.0,3,0,1161639.0,0.03495061718830032,False
인천,2018,3-2. 산후조리 여건,1380.0,5,0,1453723.0,0.0949286762333677,False
인천,2019,3-2. 산후조리 여건,7582.0,6,0,2137311.0,0.3547448172025503,False
인천,2020,3-2. 산후조리 여건,11298.0,6,0,2761790.0,0.4090825153252058,False
인천,2021,3-2. 산후조리 여건,12159.0,7,0,3305518.2,0.3678394510125523,False
인천,2022,3-2. 산후조리 여건,11570.0,6,0,4451688.0,0.259901412677618,False
인천,2023,3-2. 산후조리 여건,11359.0,5,0,4389696.0,0.2587650716587208,False
인천,2024,3-2. 산후조리 여건,10399.0,5,0,4721370.0,0.22025386699199598,False
