연도,지역,예산단계,포함회계,자치단체수,포함회계수,세출예산총계액_원,세출예산순계액_원,세출예산총계액_백만원,세출예산순계액_백만원,총계순계차액_백만원,원자료단위,출처
2017,충북,당초예산,일반회계+기타특별회계+공기업특별회계,12,3,10030984729000,7426389159000,10030984.729,7426389.159,2604595.5700000003,원,행정안전부 지방재정365 기능별 회계별 세출예산
2018,강원,당초예산,일반회계+기타특별회계+공기업특별회계,19,3,13336680004000,10154992436000,13336680.004,10154992.436,3181687.568,원,행정안전부 지방재정365 기능별 회계별 세출예산
2018,경기,당초예산,일반회계+기타특별회계+공기업특별회계,32,3,56924137377000,43263494672000,56924137.377,43263494.672,13660642.704999998,원,행정안전부 지방재정365 기능별 회계별 세출예산
2018,경남,당초예산,일반회계+기타특별회계+공기업특별회계,19,3,20617389867000,15365527269000,20617389.867,15365527.269,5251862.597999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2018,경북,당초예산,일반회계+기타특별회계+공기업특별회계,24,3,22314302608000,16565209477000,22314302.608,16565209.477,5749093.130999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2018,광주,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,6604674342000,4731652999000,6604674.342,4731652.999,1873021.3430000003,원,행정안전부 지방재정365 기능별 회계별 세출예산
2018,대구,당초예산,일반회계+기타특별회계+공기업특별회계,9,3,11520519000000,8258854381000,11520519.0,8258854.381,3261664.619,원,행정안전부 지방재정365 기능별 회계별 세출예산
2018,대전,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,6513779981000,4596154462000,6513779.981,4596154.462,1917625.5189999994,원,행정안전부 지방재정365 기능별 회계별 세출예산
2018,부산,당초예산,일반회계+기타특별회계+공기업특별회계,17,3,16014651967000,11717637267000,16014651.967,11717637.267,4297014.699999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2018,서울,당초예산,일반회계+기타특별회계+공기업특별회계,26,3,45777692409000,31985643433000,45777692.409,31985643.433,13792048.976000004,원,행정안전부 지방재정365 기능별 회계별 세출예산
2018,세종,당초예산,일반회계+기타특별회계+공기업특별회계,1,3,1503339125000,1423054846000,1503339.125,1423054.846,80284.2790000001,원,행정안전부 지방재정365 기능별 회계별 세출예산
2018,울산,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,5861825604000,4361542030000,5861825.604,4361542.03,1500283.574,원,행정안전부 지방재정365 기능별 회계별 세출예산
2018,인천,당초예산,일반회계+기타특별회계+공기업특별회계,11,3,13910508147000,10316113071000,13910508.147,10316113.071,3594395.0759999994,원,행정안전부 지방재정365 기능별 회계별 세출예산
2018,전남,당초예산,일반회계+기타특별회계+공기업특별회계,23,3,17876403936000,13185409095000,17876403.936,13185409.095,4690994.841,원,행정안전부 지방재정365 기능별 회계별 세출예산
2018,전북,당초예산,일반회계+기타특별회계+공기업특별회계,15,3,14690433415000,10738753671000,14690433.415,10738753.671,3951679.743999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2018,제주,당초예산,일반회계+기타특별회계+공기업특별회계,1,3,5029742949000,4784074371000,5029742.949,4784074.371,245668.57799999975,원,행정안전부 지방재정365 기능별 회계별 세출예산
2018,충남,당초예산,일반회계+기타특별회계+공기업특별회계,16,3,15043327767000,11213848862000,15043327.767,11213848.862,3829478.905000001,원,행정안전부 지방재정365 기능별 회계별 세출예산
