군집수,시차,군집쌍,계수차이,군집표준오차,p값,95%신뢰구간_하한,95%신뢰구간_상한,관측치,지역수,연도수,FDR_q값,FDR_0.05_유의
2,t+1,2-1,0.0064191160930656965,0.05521629942069168,0.908897895490058,-0.11063420965224609,0.12347244183837748,102,17,6,0.908897895490058,False
2,t+2,2-1,-0.007245812862178069,0.04507524997327435,0.8743030081454188,-0.10280107414424508,0.08830944841988894,85,17,5,0.908897895490058,False
3,t+1,2-1,-0.16688500794348038,0.2903437291421682,0.5734312737841684,-0.7823862179476234,0.44861620206066266,102,17,6,0.5734312737841684,False
3,t+1,3-1,0.03199170395719625,0.02820925800031861,0.27346528433357103,-0.027809251564778745,0.09179265947917124,102,17,6,0.5734312737841684,False
3,t+1,3-2,0.19887671190067663,0.28326225102702524,0.49270862596809334,-0.4016124351208555,0.7993658589222088,102,17,6,0.5734312737841684,False
3,t+2,2-1,-0.21397354745862074,0.21048335553840164,0.3244791839362097,-0.6601783282623498,0.2322312333451083,85,17,5,0.5734312737841684,False
3,t+2,3-1,0.02140277721778755,0.030499310901749763,0.4929196805112614,-0.043252873585428356,0.08605842802100346,85,17,5,0.5734312737841684,False
3,t+2,3-2,0.2353763246764083,0.20473416077455692,0.26717594164563285,-0.19864070768119124,0.6693933570340078,85,17,5,0.5734312737841684,False
