지역,연도,당해계획예산_백만원,분모대안,예산단계,행정범위,회계범위,금액기준,분모금액_원,분모금액_백만원,출처,계획예산_총세출비율_pct,100pct_초과
경북,2020,2646517.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2946741739000,2946741.739,행정안전부 지방재정365 기능별 회계별 세출예산,89.81163720503434,False
경북,2021,3199705.6,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3042329485000,3042329.485,행정안전부 지방재정365 기능별 회계별 세출예산,105.17288202267152,True
경북,2022,3356569.7,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3409579457000,3409579.457,행정안전부 지방재정365 기능별 회계별 세출예산,98.44526993230298,False
경북,2023,3406826.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3562627405000,3562627.405,행정안전부 지방재정365 기능별 회계별 세출예산,95.6267836265634,False
경북,2024,4062706.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3655350114000,3655350.114,행정안전부 지방재정365 기능별 회계별 세출예산,111.14410038151546,True
광주,2016,1102184.9,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2188594131000,2188594.131,행정안전부 지방재정365 기능별 회계별 세출예산,50.36040645400048,False
광주,2017,1244520.8,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2255831670000,2255831.67,행정안전부 지방재정365 기능별 회계별 세출예산,55.16904548112848,False
광주,2018,3239297.3600000003,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2472277359000,2472277.359,행정안전부 지방재정365 기능별 회계별 세출예산,131.02483619840487,True
광주,2019,1088029.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2771085018000,2771085.018,행정안전부 지방재정365 기능별 회계별 세출예산,39.26364557321568,False
광주,2020,194720.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3087495945000,3087495.945,행정안전부 지방재정365 기능별 회계별 세출예산,6.306728930780831,False
광주,2021,824741.7,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3430320115000,3430320.115,행정안전부 지방재정365 기능별 회계별 세출예산,24.042703664698646,False
광주,2022,870927.5,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3693495210000,3693495.21,행정안전부 지방재정365 기능별 회계별 세출예산,23.580035995227405,False
광주,2023,1223803.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3853982250000,3853982.25,행정안전부 지방재정365 기능별 회계별 세출예산,31.754245884240905,False
광주,2024,1240977.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3546330256000,3546330.256,행정안전부 지방재정365 기능별 회계별 세출예산,34.99327221147561,False
대구,2016,774602.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3842209086000,3842209.086,행정안전부 지방재정365 기능별 회계별 세출예산,20.160329192454572,False
대구,2017,959658.5,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3980077765000,3980077.765,행정안전부 지방재정365 기능별 회계별 세출예산,24.11155149879339,False
대구,2018,1446836.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,4373159278000,4373159.278,행정안전부 지방재정365 기능별 회계별 세출예산,33.08445698007343,False
대구,2019,1765898.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,4728675815000,4728675.815,행정안전부 지방재정365 기능별 회계별 세출예산,37.344450520340864,False
대구,2020,1929459.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5251995842000,5251995.842,행정안전부 지방재정365 기능별 회계별 세출예산,36.73763380713659,False
대구,2021,2164115.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5119959513000,5119959.513,행정안전부 지방재정365 기능별 회계별 세출예산,42.26820533453699,False
대구,2022,2523629.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5419966849000,5419966.849,행정안전부 지방재정365 기능별 회계별 세출예산,46.56170545518405,False
대구,2023,2696432.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5618576659000,5618576.659,행정안전부 지방재정365 기능별 회계별 세출예산,47.99137154568812,False
대구,2024,2848338.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5201207931000,5201207.931,행정안전부 지방재정365 기능별 회계별 세출예산,54.763009627503386,False
대전,2016,709547.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2177126449000,2177126.449,행정안전부 지방재정365 기능별 회계별 세출예산,32.590987093373,False
대전,2017,935218.2,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2033613199000,2033613.199,행정안전부 지방재정365 기능별 회계별 세출예산,45.9880079682744,False
대전,2018,997696.4,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2331442036000,2331442.036,행정안전부 지방재정365 기능별 회계별 세출예산,42.793103349535734,False
대전,2019,685088.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2559077361000,2559077.361,행정안전부 지방재정365 기능별 회계별 세출예산,26.770898388639996,False
대전,2020,1247751.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2948766277000,2948766.277,행정안전부 지방재정365 기능별 회계별 세출예산,42.314340398298036,False
대전,2021,1337995.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3073652815000,3073652.815,행정안전부 지방재정365 기능별 회계별 세출예산,43.53110388624032,False
대전,2022,1500606.3,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3400234314000,3400234.314,행정안전부 지방재정365 기능별 회계별 세출예산,44.13243798586053,False
대전,2023,1222344.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3442132528000,3442132.528,행정안전부 지방재정365 기능별 회계별 세출예산,35.51124165199487,False
대전,2024,1676350.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3331125425000,3331125.425,행정안전부 지방재정365 기능별 회계별 세출예산,50.32383312315537,False
부산,2016,1757736.53,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5644047813000,5644047.813,행정안전부 지방재정365 기능별 회계별 세출예산,31.143189927473426,False
부산,2017,3477747.6,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5654456887000,5654456.887,행정안전부 지방재정365 기능별 회계별 세출예산,61.50453826954787,False
부산,2018,2341626.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,6053753021000,6053753.021,행정안전부 지방재정365 기능별 회계별 세출예산,38.680567110635025,False
부산,2019,2525413.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,6248140867000,6248140.867,행정안전부 지방재정365 기능별 회계별 세출예산,40.41863097770648,False
부산,2020,3494318.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,6678934971000,6678934.971,행정안전부 지방재정365 기능별 회계별 세출예산,52.318491124293956,False
부산,2021,3944822.1,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,6980091697000,6980091.697,행정안전부 지방재정365 기능별 회계별 세출예산,56.51533348330453,False
부산,2022,5106355.100000001,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,7440674001000,7440674.001,행정안전부 지방재정365 기능별 회계별 세출예산,68.62758802917214,False
부산,2023,4317819.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,7928919575000,7928919.575,행정안전부 지방재정365 기능별 회계별 세출예산,54.45658717001175,False
부산,2024,4796613.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,7862802382000,7862802.382,행정안전부 지방재정365 기능별 회계별 세출예산,61.00386054443763,False
서울,2016,4173074.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,15015285791000,15015285.791,행정안전부 지방재정365 기능별 회계별 세출예산,27.792171644853376,False
서울,2017,4761473.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,16555125401000,16555125.401,행정안전부 지방재정365 기능별 회계별 세출예산,28.76132245855647,False
서울,2018,5912413.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,17252608464000,17252608.464,행정안전부 지방재정365 기능별 회계별 세출예산,34.26967587154767,False
서울,2019,5907309.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,19799819232000,19799819.232,행정안전부 지방재정365 기능별 회계별 세출예산,29.83516632542153,False
서울,2020,6677517.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,21457489675000,21457489.675,행정안전부 지방재정365 기능별 회계별 세출예산,31.119749332933093,False
서울,2021,7529092.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,21103202922000,21103202.922,행정안전부 지방재정365 기능별 회계별 세출예산,35.67748472982248,False
서울,2022,7957659.899999999,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,23411790156000,23411790.156,행정안전부 지방재정365 기능별 회계별 세출예산,33.989967648674664,False
서울,2023,8314712.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,24604056704000,24604056.704,행정안전부 지방재정365 기능별 회계별 세출예산,33.79406940908341,False
서울,2024,4872683.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,23747969655000,23747969.655,행정안전부 지방재정365 기능별 회계별 세출예산,20.5183140739532,False
세종,2016,97707.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1048827518000,1048827.518,행정안전부 지방재정365 기능별 회계별 세출예산,9.315831089778865,False
세종,2017,89445.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1195710363000,1195710.363,행정안전부 지방재정365 기능별 회계별 세출예산,7.480490490655721,False
세종,2018,104743.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1423054846000,1423054.846,행정안전부 지방재정365 기능별 회계별 세출예산,7.360433105893096,False
세종,2019,129545.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1468577881000,1468577.881,행정안전부 지방재정365 기능별 회계별 세출예산,8.82111883040134,False
세종,2020,209363.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1520953720000,1520953.72,행정안전부 지방재정365 기능별 회계별 세출예산,13.765244612439623,False
세종,2021,175466.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1665746650000,1665746.65,행정안전부 지방재정365 기능별 회계별 세출예산,10.533774748999196,False
세종,2022,231310.4,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1771604264000,1771604.264,행정안전부 지방재정365 기능별 회계별 세출예산,13.056550195794742,False
세종,2023,318453.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1893247236000,1893247.236,행정안전부 지방재정365 기능별 회계별 세출예산,16.820465597130287,False
세종,2024,329034.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1792182760000,1792182.76,행정안전부 지방재정365 기능별 회계별 세출예산,18.35939990852272,False
울산,2016,577145.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1872538137000,1872538.137,행정안전부 지방재정365 기능별 회계별 세출예산,30.821535145054295,False
울산,2017,2222729.4,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1980778581000,1980778.581,행정안전부 지방재정365 기능별 회계별 세출예산,112.21493514322285,True
울산,2018,948045.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1953263992000,1953263.992,행정안전부 지방재정365 기능별 회계별 세출예산,48.53644995673478,False
울산,2019,356752.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2111371212000,2111371.212,행정안전부 지방재정365 기능별 회계별 세출예산,16.896697178231683,False
울산,2020,1240133.6,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2255521411000,2255521.411,행정안전부 지방재정365 기능별 회계별 세출예산,54.98212492916124,False
울산,2021,977844.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2307167711000,2307167.711,행정안전부 지방재정365 기능별 회계별 세출예산,42.3828746968798,False
울산,2022,938106.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2525314548000,2525314.548,행정안전부 지방재정365 기능별 회계별 세출예산,37.148085205582085,False
울산,2023,3219772.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2537876127000,2537876.127,행정안전부 지방재정365 기능별 회계별 세출예산,126.8687610772423,True
울산,2024,1273043.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2578157685000,2578157.685,행정안전부 지방재정365 기능별 회계별 세출예산,49.37801157030471,False
인천,2016,1094772.2,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,4873432227000,4873432.227,행정안전부 지방재정365 기능별 회계별 세출예산,22.464089967942833,False
인천,2017,1161639.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,4992425590000,4992425.59,행정안전부 지방재정365 기능별 회계별 세출예산,23.26802831727333,False
인천,2018,1453723.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5210195125000,5210195.125,행정안전부 지방재정365 기능별 회계별 세출예산,27.90150781541027,False
인천,2019,2137311.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5794671555000,5794671.555,행정안전부 지방재정365 기능별 회계별 세출예산,36.88407495944781,False
인천,2020,2761790.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,6262650593000,6262650.593,행정안전부 지방재정365 기능별 회계별 세출예산,44.099378673415956,False
인천,2021,3305518.2,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,6790107477000,6790107.477,행정안전부 지방재정365 기능별 회계별 세출예산,48.68138260250988,False
인천,2022,4451688.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,7440498623000,7440498.623,행정안전부 지방재정365 기능별 회계별 세출예산,59.830506335139745,False
인천,2023,4389696.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,7838060793000,7838060.793,행정안전부 지방재정365 기능별 회계별 세출예산,56.00487309208345,False
인천,2024,4721370.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,8387722142000,8387722.142,행정안전부 지방재정365 기능별 회계별 세출예산,56.289060606318785,False
전남,2016,1883686.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2359273925000,2359273.925,행정안전부 지방재정365 기능별 회계별 세출예산,79.84176742003369,False
전남,2017,1392937.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2091033506000,2091033.506,행정안전부 지방재정365 기능별 회계별 세출예산,66.61476231744324,False
전남,2018,1647546.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2145008768000,2145008.768,행정안전부 지방재정365 기능별 회계별 세출예산,76.80835736332057,False
전남,2019,1540331.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2278755881000,2278755.881,행정안전부 지방재정365 기능별 회계별 세출예산,67.5952616444394,False
전남,2020,1840688.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2363657601000,2363657.601,행정안전부 지방재정365 기능별 회계별 세출예산,77.8745618325283,False
전남,2021,1966392.42,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2588722601000,2588722.601,행정안전부 지방재정365 기능별 회계별 세출예산,75.95995102914466,False
전남,2022,2258897.4,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2932912152000,2932912.152,행정안전부 지방재정365 기능별 회계별 세출예산,77.01892463637623,False
전남,2023,2712169.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2970912082000,2970912.082,행정안전부 지방재정365 기능별 회계별 세출예산,91.29078630203638,False
전남,2024,2621833.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2919897442000,2919897.442,행정안전부 지방재정365 기능별 회계별 세출예산,89.79195509703112,False
전북,2016,1401390.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1835414968000,1835414.968,행정안전부 지방재정365 기능별 회계별 세출예산,76.35276078886156,False
전북,2017,1500137.7,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1665563626000,1665563.626,행정안전부 지방재정365 기능별 회계별 세출예산,90.0678711147598,False
전북,2018,1629235.5,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1798771544000,1798771.544,행정안전부 지방재정365 기능별 회계별 세출예산,90.57489848749798,False
전북,2019,1908798.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1929357952000,1929357.952,행정안전부 지방재정365 기능별 회계별 세출예산,98.93436301031194,False
전북,2020,2018401.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2045073826000,2045073.826,행정안전부 지방재정365 기능별 회계별 세출예산,98.69575241436786,False
전북,2021,2200038.999,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2164966356000,2164966.356,행정안전부 지방재정365 기능별 회계별 세출예산,101.62000868525274,True
전북,2022,2540795.1,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2330179567000,2330179.567,행정안전부 지방재정365 기능별 회계별 세출예산,109.03859668081968,True
전북,2023,2695319.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2468040097000,2468040.097,행정안전부 지방재정365 기능별 회계별 세출예산,109.2088821116102,True
전북,2024,2862745.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2415338392000,2415338.392,행정안전부 지방재정365 기능별 회계별 세출예산,118.5235580025509,True
제주,2016,542630.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3890498595000,3890498.595,행정안전부 지방재정365 기능별 회계별 세출예산,13.947569617359031,False
제주,2017,542097.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,4285850389000,4285850.389,행정안전부 지방재정365 기능별 회계별 세출예산,12.648528315205262,False
제주,2018,2211904.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,4784074371000,4784074.371,행정안전부 지방재정365 기능별 회계별 세출예산,46.23473275014437,False
제주,2019,689085.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5116992495000,5116992.495,행정안전부 지방재정365 기능별 회계별 세출예산,13.466601732821184,False
제주,2020,816440.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5647320940000,5647320.94,행정안전부 지방재정365 기능별 회계별 세출예산,14.457120618329867,False
제주,2021,704514.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5559803500000,5559803.5,행정안전부 지방재정365 기능별 회계별 세출예산,12.671562942827025,False
제주,2022,913167.7,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,6094351579000,6094351.579,행정안전부 지방재정365 기능별 회계별 세출예산,14.98383688835094,False
제주,2023,1002935.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,6701520126000,6701520.126,행정안전부 지방재정365 기능별 회계별 세출예산,14.965783600483363,False
제주,2024,1047248.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,6871871526000,6871871.526,행정안전부 지방재정365 기능별 회계별 세출예산,15.239632988447113,False
충남,2016,1317305.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2282022992000,2282022.992,행정안전부 지방재정365 기능별 회계별 세출예산,57.72531673072644,False
충남,2017,1301513.7999999998,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1690515286000,1690515.286,행정안전부 지방재정365 기능별 회계별 세출예산,76.98917665983174,False
충남,2018,1308334.9,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1779478406000,1779478.406,행정안전부 지방재정365 기능별 회계별 세출예산,73.52350529169614,False
충남,2019,1809236.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1976083419000,1976083.419,행정안전부 지방재정365 기능별 회계별 세출예산,91.55666115125679,False
