지역,연도,세부영역,당해계획예산_백만원_provisional,사업수,예산결측_사업수,CPI_지수,CPI_기준연도,당해계획예산_실질_백만원_provisional,전년대비_실질증감률_pct_provisional,전체인구_명,인구1인당_실질예산_원,직전1년_출산율하락도,합계출산율,구조환경지수_전년도,인구1인당_실질예산_전년도,인구1인당_실질예산_전전년도
강원,2016,1-1. 고용여건,2743.0,2,0,83.786765,2024,3273.7867370819245,,1550806,2111.022743709996,,1.237,,,
강원,2017,1-1. 고용여건,7783.0,7,0,85.339636,2024,9120.029525319278,178.5773863036777,1550142,5883.351025466879,,1.123,28.881160584701288,2111.022743709996,
강원,2018,1-1. 고용여건,0.0,0,0,86.797969,2024,0.0,-100.0,1543052,0.0,0.1140000000000001,1.067,50.12156114581836,5883.351025466879,2111.022743709996
강원,2019,1-1. 고용여건,61357.0,23,0,87.068452,2024,70469.84136113962,inf,1541502,45715.05023096929,0.05600000000000005,1.082,50.90431493157741,0.0,5883.351025466879
강원,2020,1-1. 고용여건,20929.0,43,0,87.535014,2024,23909.289601530196,-66.07160007782436,1542840,15496.93396692476,-0.015000000000000124,1.036,50.733167507063655,45715.05023096929,0.0
강원,2021,1-1. 고용여건,46059.0,38,0,89.802171,2024,51289.40590979699,114.51664505546192,1538492,33337.4537597836,0.04600000000000004,0.979,17.85045562488118,15496.93396692476,45715.05023096929
강원,2022,1-1. 고용여건,50241.100000000006,43,0,94.590336,2024,53114.411180440264,3.5582499704771786,1536498,34568.48702727909,0.05700000000000005,0.968,27.212158718652397,33337.4537597836,15496.93396692476
강원,2023,1-1. 고용여건,31036.0,42,0,97.706583,2024,31764.49226558255,-40.196094506870786,1527807,20790.90635504521,0.01100000000000001,0.893,27.41877930715674,34568.48702727909,33337.4537597836
강원,2024,1-1. 고용여건,20222.0,30,0,100.0,2024,20222.0,-36.33772002107229,1517766,13323.52945052136,0.07499999999999996,0.889,60.259237696833715,20790.90635504521,34568.48702727909
강원,2016,1-2. 주거안정성,0.0,0,0,83.786765,2024,0.0,,1550806,0.0,,1.237,,,
강원,2017,1-2. 주거안정성,15785.0,4,0,85.339636,2024,18496.68072172232,inf,1550142,11932.249253115082,,1.123,88.02802305891036,0.0,
강원,2018,1-2. 주거안정성,46690.0,1,0,86.797969,2024,53791.58122927969,190.8174825448946,1543052,34860.51100629123,0.1140000000000001,1.067,87.62740200113974,11932.249253115082,0.0
강원,2019,1-2. 주거안정성,89476.0,3,0,87.068452,2024,102765.1209418539,91.04313090152677,1541502,66665.57743152711,0.05600000000000005,1.082,86.35916719518048,34860.51100629123,11932.249253115082
