연도,세부영역,실질계획예산_2024년가격_백만원,예산결측_사업수,대영역,연도내_세부영역비중_pct,예산누락주의
2016,1-1. 고용여건,211772.46788320327,1,경제·고용·주거,1.4363540457521486,True
2016,1-2. 주거안정성,85160.82462427091,0,경제·고용·주거,0.5776062214854258,False
2016,1-3. 경제적 여건,439022.5592311626,9,경제·고용·주거,2.9776856048914095,True
2016,2-1. 돌봄 여건,12971982.054683696,6,가족·생활,87.98291436045083,True
2016,2-2. 여가 인프라,98752.47003509445,4,가족·생활,0.6697920238675938,True
2016,2-3. 가사수행 격차,2018.815262768529,0,가족·생활,0.01369268394181922,False
2016,3-1. 의료서비스 여건,681982.4109452132,3,보건·안전,4.625569153933705,True
2016,3-2. 산후조리 여건,73780.14892924915,0,보건·안전,0.5004163972304939,False
2016,3-3. 아동안전 수준,77202.40780271204,0,보건·안전,0.5236279857228218,False
2016,4-1. 일·가정 양립 여건,44400.44916401773,14,사회·문화,0.30114757327719544,True
2016,4-2. 사회적 가치관,57676.66289538688,2,사회·문화,0.3911939494465445,True
2017,1-1. 고용여건,288335.30529706035,4,경제·고용·주거,1.472270093980868,True
2017,1-2. 주거안정성,246933.79287439192,1,경제·고용·주거,1.2608696602994172,True
2017,1-3. 경제적 여건,400320.1982253592,5,경제·고용·주거,2.044076618562112,True
2017,2-1. 돌봄 여건,17492583.86806337,9,가족·생활,89.31895478033381,True
2017,2-2. 여가 인프라,112320.43455165428,5,가족·생활,0.5735198350509522,True
2017,2-3. 가사수행 격차,1526.8403535257637,0,가족·생활,0.007796205839112259,False
2017,3-1. 의료서비스 여건,675853.4803218519,4,보건·안전,3.4509782489716305,True
2017,3-2. 산후조리 여건,101521.40794226027,0,보건·안전,0.5183788806515796,False
2017,3-3. 아동안전 수준,117156.1125477498,0,보건·안전,0.5982113104512259,False
2017,4-1. 일·가정 양립 여건,132184.5338079483,13,사회·문화,0.674947994355894,True
2017,4-2. 사회적 가치관,15666.81160908631,2,사회·문화,0.07999637150340055,True
2018,1-1. 고용여건,517305.5374141301,2,경제·고용·주거,2.3685220110098246,True
2018,1-2. 주거안정성,375211.544408372,2,경제·고용·주거,1.7179340591608072,True
2018,1-3. 경제적 여건,1120912.8637560634,17,경제·고용·주거,5.132183203569501,True
2018,2-1. 돌봄 여건,18685793.604225926,19,가족·생활,85.55430058999174,True
2018,2-2. 여가 인프라,223482.32595165912,6,가족·생활,1.023230508480767,True
2018,2-3. 가사수행 격차,350.0081897077569,1,가족·생활,0.0016025386186671823,True
2018,3-1. 의료서비스 여건,561996.560080801,8,보건·안전,2.5731431937052056,True
2018,3-2. 산후조리 여건,80933.46055136382,0,보건·안전,0.3705598894249619,False
2018,3-3. 아동안전 수준,100145.43082223504,2,보건·안전,0.4585233291532255,True
2018,4-1. 일·가정 양립 여건,127560.24279784705,38,사회·문화,0.5840440918276657,True
2018,4-2. 사회적 가치관,47166.77184001852,7,사회·문화,0.21595658505763898,True
2019,1-1. 고용여건,456719.9609796669,0,경제·고용·주거,2.120584482035033,False
2019,1-2. 주거안정성,316492.3616650495,0,경제·고용·주거,1.4694973904576127,False
2019,1-3. 경제적 여건,3180300.0241694893,0,경제·고용·주거,14.766367699373891,False
2019,2-1. 돌봄 여건,16744670.044208435,0,가족·생활,77.74673867194105,False
2019,2-2. 여가 인프라,121848.95626719079,0,가족·생활,0.5657536956740843,False
2019,2-3. 가사수행 격차,266.45701706055365,0,가족·생활,0.0012371795931492245,False
2019,3-1. 의료서비스 여건,344515.14079979283,0,보건·안전,1.599609221894026,False
2019,3-2. 산후조리 여건,240465.9726808971,0,보건·안전,1.116501256110574,False
2019,3-3. 아동안전 수준,72121.41545826495,0,보건·안전,0.3348650541026102,False
2019,4-1. 일·가정 양립 여건,49348.5286725897,0,사회·문화,0.2291288602536325,False
2019,4-2. 사회적 가치관,10707.667112308372,0,사회·문화,0.04971648856435441,False
