시차,군집,모형,종속변수,설명변수,누락주의관측치_제외,계수,군집표준오차,t값,p값,95%신뢰구간_하한,95%신뢰구간_상한,관측치,지역수,연도수,잔차자유도,추론자유도,지역고정효과,연도고정효과,지역군집표준오차,추정가능,추정불가사유,FDR_q값,FDR_0.05_유의
t+1,1,1-1. 고용여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.014715093640336237,0.010867529936331048,1.3540421536951526,0.22449669654223753,-0.011876794153545044,0.041306981434217516,42,7,6,29.0,6.0,True,True,True,True,,0.8231545539882044,False
t+1,1,1-2. 주거안정성,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.005124622906978637,0.0024854816256139082,-2.0618228894421486,0.0848421241682596,-0.011206377352496397,0.000957131538539123,42,7,6,29.0,6.0,True,True,True,True,,0.46663168292542784,False
t+1,1,1-3. 경제적 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.0015734771450144555,0.03339456536260544,-0.047117760867054236,0.9639485392593213,-0.08328703489460934,0.08014008060458042,42,7,6,29.0,6.0,True,True,True,True,,0.9639485392593213,False
t+1,1,2-1. 돌봄 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.00631823325781497,0.030708956283696957,0.20574562024985688,0.8437929052150497,-0.06882387580905619,0.08146034232468613,42,7,6,29.0,6.0,True,True,True,True,,0.9639485392593213,False
t+1,1,2-2. 여가 인프라,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.022181425390636576,0.004740889380551701,4.678747722237574,0.00340035296638322,0.01058088698039724,0.03378196380087591,42,7,6,29.0,6.0,True,True,True,True,,0.03740388263021542,True
t+1,1,2-3. 가사수행 격차,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0007876695122237785,0.0025109844289759476,0.313689524767389,0.7643762178006487,-0.005356488045077976,0.006931827069525533,42,7,6,29.0,6.0,True,True,True,True,,0.9639485392593213,False
t+1,1,3-1. 의료서비스 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.002140926872003991,0.0070492346402948715,-0.30371054181769097,0.7716048777529868,-0.019389782654843226,0.015107928910835244,42,7,6,29.0,6.0,True,True,True,True,,0.9639485392593213,False
t+1,1,3-2. 산후조리 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.01836457994117599,0.03383633987533076,-0.5427472359256313,0.6068604943294329,-0.10115912098149224,0.06442996109914026,42,7,6,29.0,6.0,True,True,True,True,,0.9639485392593213,False
t+1,1,3-3. 아동안전 수준,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0006831800167481084,0.008257889011579237,0.08273058838525818,0.9367567345400298,-0.019523146471125023,0.02088950650462124,42,7,6,29.0,6.0,True,True,True,True,,0.9639485392593213,False
t+1,1,4-1. 일·가정 양립 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.002231688803314716,0.009720151096663035,-0.22959404448773055,0.8260339180888611,-0.02601604171665936,0.02155266411002993,42,7,6,29.0,6.0,True,True,True,True,,0.9639485392593213,False
t+1,1,4-2. 사회적 가치관,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0017935635757385538,0.008331286763421852,0.21528049947975814,0.8366798948978138,-0.018592360740965673,0.022179487892442777,42,7,6,29.0,6.0,True,True,True,True,,0.9639485392593213,False
t+1,2,1-1. 고용여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.0050433781970516635,0.01584187503919779,-0.31835740305820853,0.7574773235089006,-0.04088018928912703,0.030793432895023707,60,10,6,44.0,9.0,True,True,True,True,,0.8332250558597907,False
t+1,2,1-2. 주거안정성,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.008155059197040623,0.010454964446747952,0.7800178794082153,0.4554034551184421,-0.015495713512970827,0.03180583190705207,60,10,6,44.0,9.0,True,True,True,True,,0.7557384425728528,False
t+1,2,1-3. 경제적 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.007974746430338506,0.010846751070091355,-0.7352198256239082,0.4809244634554518,-0.03251180205663476,0.016562309195957747,60,10,6,44.0,9.0,True,True,True,True,,0.7557384425728528,False
t+1,2,2-1. 돌봄 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.036329838765119554,0.02811636421418014,1.292124347528442,0.228504077866892,-0.02727379593383117,0.09993347346407028,60,10,6,44.0,9.0,True,True,True,True,,0.7557384425728528,False
t+1,2,2-2. 여가 인프라,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.004456579804649214,0.01211020466503906,-0.3680020220892642,0.7213778824065322,-0.03185176603061956,0.02293860642132113,60,10,6,44.0,9.0,True,True,True,True,,0.8332250558597907,False
t+1,2,2-3. 가사수행 격차,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.028063531494236873,0.013276798279537701,2.1137273387280873,0.06368314754503589,-0.0019706728328462222,0.05809773582131997,60,10,6,44.0,9.0,True,True,True,True,,0.7005146229953947,False
t+1,2,3-1. 의료서비스 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.00801377262721984,0.013011759140888283,-0.6158869481404154,0.5532240625801664,-0.037448416768385284,0.02142087151394561,60,10,6,44.0,9.0,True,True,True,True,,0.7606830860477288,False
t+1,2,3-2. 산후조리 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.027551015533486527,0.024055092996126053,1.1453298284036346,0.28161446322218703,-0.026865385389476953,0.08196741645645,60,10,6,44.0,9.0,True,True,True,True,,0.7557384425728528,False
t+1,2,3-3. 아동안전 수준,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.012786951209530648,0.016209043568126736,0.7888775889698237,0.45046370324862345,-0.023880452800215418,0.04945435521927671,60,10,6,44.0,9.0,True,True,True,True,,0.7557384425728528,False
t+1,2,4-1. 일·가정 양립 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.01119254313878553,0.008188252301046486,-1.366902573013668,0.20482396270164993,-0.02971565673239672,0.007330570454825663,60,10,6,44.0,9.0,True,True,True,True,,0.7557384425728528,False
t+1,2,4-2. 사회적 가치관,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.0030802414201974906,0.017026705606511105,-0.18090648252117483,0.8604492854222022,-0.04159732546682294,0.035436842626427954,60,10,6,44.0,9.0,True,True,True,True,,0.8604492854222022,False
t+2,1,1-1. 고용여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.00503686584558131,0.0056859187709064766,0.8858490682902085,0.4097946137335968,-0.008876076179597441,0.01894980787076006,35,7,5,23.0,6.0,True,True,True,True,,0.8072221658393164,False
t+2,1,1-2. 주거안정성,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.003928299589403869,0.0019716950178699337,-1.992346460178055,0.09341178644163728,-0.008752863495473322,0.0008962643166655826,35,7,5,23.0,6.0,True,True,True,True,,0.8072221658393164,False
t+2,1,1-3. 경제적 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0024364385768669283,0.02620473338213663,0.09297704125956922,0.9289486784931268,-0.06168423409197764,0.0665571112457115,35,7,5,23.0,6.0,True,True,True,True,,0.9628133856870068,False
t+2,1,2-1. 돌봄 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.024273807011226417,0.02073437468107457,1.1707035965440753,0.286105323816185,-0.026461380121975346,0.07500899414442819,35,7,5,23.0,6.0,True,True,True,True,,0.8072221658393164,False
t+2,1,2-2. 여가 인프라,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.005039700866460859,0.00609989725126807,0.8261943863748176,0.440302999548718,-0.009886210008433663,0.01996561174135538,35,7,5,23.0,6.0,True,True,True,True,,0.8072221658393164,False
t+2,1,2-3. 가사수행 격차,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.0025068662346489183,0.0019175601262715527,-1.307320798082715,0.2389642389409985,-0.007198966832905843,0.002185234363608006,35,7,5,23.0,6.0,True,True,True,True,,0.8072221658393164,False
t+2,1,3-1. 의료서비스 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0009916336052464142,0.012479152637529953,0.07946321629756843,0.9392482225310046,-0.02954375287577275,0.03152702008626558,35,7,5,23.0,6.0,True,True,True,True,,0.9628133856870068,False
t+2,1,3-2. 산후조리 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.023550279165168442,0.027535073023958887,-0.8552829747237937,0.42522430690810853,-0.09092617566963586,0.043825617339298975,35,7,5,23.0,6.0,True,True,True,True,,0.8072221658393164,False
t+2,1,3-3. 아동안전 수준,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0003500379473481974,0.007202026506880928,0.04860270189421903,0.9628133856870068,-0.017272686064599023,0.017972761959295418,35,7,5,23.0,6.0,True,True,True,True,,0.9628133856870068,False
t+2,1,4-1. 일·가정 양립 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.0033079414149631003,0.008408579136996493,-0.3934007590424703,0.7076220939798041,-0.02388299335657024,0.01726711052664404,35,7,5,23.0,6.0,True,True,True,True,,0.9628133856870068,False
t+2,1,4-2. 사회적 가치관,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0019646360514035677,0.003885209965834595,0.505670496235726,0.6311233194129447,-0.007542130258183682,0.011471402360990817,35,7,5,23.0,6.0,True,True,True,True,,0.9628133856870068,False
t+2,2,1-1. 고용여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0009036319242194113,0.013765469527612009,0.06564483125016736,0.9490956472675122,-0.030236023566948517,0.03204328741538734,50,10,5,35.0,9.0,True,True,True,True,,0.9490956472675122,False
t+2,2,1-2. 주거안정성,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.007269246658114702,0.009150155692834571,0.7944396688033628,0.4473808136892475,-0.013429843583149793,0.027968336899379196,50,10,5,35.0,9.0,True,True,True,True,,0.6151486188227153,False
t+2,2,1-3. 경제적 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.010765192092667908,0.020051784240694117,-0.5368695355708285,0.6043738508653396,-0.05612547943963827,0.03459509525430245,50,10,5,35.0,9.0,True,True,True,True,,0.6648112359518735,False
t+2,2,2-1. 돌봄 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.05159128756841136,0.015174448568676979,3.3998789039956177,0.007874838987048945,0.017264300047265764,0.08591827508955696,50,10,5,35.0,9.0,True,True,True,True,,0.04331161442876919,True
t+2,2,2-2. 여가 인프라,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.009326383031708452,0.01442680180483075,-0.6464622691763572,0.5341162840550772,-0.0419620760707764,0.023309310007359498,50,10,5,35.0,9.0,True,True,True,True,,0.6528087916228721,False
t+2,2,2-3. 가사수행 격차,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.03966062459210444,0.008086281733077056,4.904680037287355,0.0008421944082663194,0.021368184449219896,0.057953064734988985,50,10,5,35.0,9.0,True,True,True,True,,0.009264138490929514,True
t+2,2,3-1. 의료서비스 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.016171575100684843,0.019185341239005428,-0.8429130813585247,0.42111291761989106,-0.059571832205228756,0.02722868200385907,50,10,5,35.0,9.0,True,True,True,True,,0.6151486188227153,False
t+2,2,3-2. 산후조리 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.03725578769462681,0.01983252697025262,1.87851945193408,0.09302584258795095,-0.007608505247518736,0.08212008063677237,50,10,5,35.0,9.0,True,True,True,True,,0.2046568536934921,False
t+2,2,3-3. 아동안전 수준,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.016761583589381186,0.013908642122331425,1.2051200571527496,0.25888691360386934,-0.01470195081244767,0.04822511799121004,50,10,5,35.0,9.0,True,True,True,True,,0.4746260082737605,False
t+2,2,4-1. 일·가정 양립 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.009557230755666148,0.005016956405014136,-1.9049858089486864,0.08917418031663979,-0.020906374622715208,0.0017919131113829125,50,10,5,35.0,9.0,True,True,True,True,,0.2046568536934921,False
t+2,2,4-2. 사회적 가치관,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.01792150908157443,0.008993088200346975,-1.9928092199610559,0.0774452574013396,-0.03826528796966536,0.002422269806516497,50,10,5,35.0,9.0,True,True,True,True,,0.2046568536934921,False
