모형,계수_전체인구,p값_전체인구,계수_20_39세인구,p값_20_39세인구,부호_일치,유의성_5%_일치
1-1. 고용여건,-4.265621374311088,0.1814355402316767,-4.382017554333425,0.17684976331132957,True,True
1-2. 주거안정성,-0.04429571876338123,0.9921251599615283,-0.09785053083467066,0.9828633564343284,True,True
1-3. 경제적 여건,0.3486637061646096,0.8188961006309954,0.3823939459257364,0.7995399802337737,True,True
2-1. 돌봄 여건,1.587453490211562,0.05047276858984604,1.6212034015831782,0.045309251827316155,True,False
2-2. 여가 인프라,1.0198531292838773,0.5539710870634263,0.9115292834154793,0.6011493041741819,True,True
2-3. 가사수행 격차,0.6573425965686481,0.8057385327007861,1.2104044232284936,0.7577552337855344,True,True
3-1. 의료서비스 여건,4.095723141838953,0.20515473691465602,4.130710362742187,0.20336033521589497,True,True
3-2. 산후조리 여건,0.9659120603297449,0.6414834143349243,0.8528859940335014,0.6926346316291129,True,True
3-3. 아동안전 수준,0.6895501928862393,0.93205481400774,0.21482654652824706,0.9810184520848535,True,True
4-1. 일·가정 양립 여건,6.532050471391585,0.3466736086340257,7.454225329578352,0.3368465012133918,True,True
4-2. 사회적 가치관,1.31350785829266,0.5133977943425797,1.3471022969024857,0.49515283574474867,True,True
