세부영역,2016_비중_pct,2024_비중_pct,2016-2018_합계기준_비중_pct,2022-2024_합계기준_비중_pct,2016→2024_비중변화_pp,3개년구간_비중변화_pp,증감폭절대값_순위
1-3. 경제적 여건,1.4396041671594346,15.076264999812587,1.803090147213995,12.568654667833407,13.636660832653153,10.765564520619412,2
1-2. 주거안정성,0.279251886788081,1.7674156681665734,0.6513592237478112,2.311327228326424,1.4881637813784923,1.6599680045786127,4
1-1. 고용여건,0.6944256527231707,1.4173656018577188,0.9351012862741435,1.5699052671930658,0.7229399491345481,0.6348039809189223,5
3-2. 산후조리 여건,0.2419333759025919,0.5591665967582734,0.2343932031377346,0.527148854303985,0.3172332208556815,0.29275565116625035,6
2-2. 여가 인프라,0.32382041512576126,0.5915017572292716,0.3992997359792189,0.630350479930636,0.2676813421035103,0.23105074395141706,7
3-1. 의료서비스 여건,2.236296746220776,2.3217059313850608,1.7533394946676113,2.15646597949284,0.08540918516428464,0.4031264848252287,11
2-3. 가사수행 격차,0.006619921468491932,0.0018741399036513598,0.0035349009664597366,0.0017365537904872653,-0.004745781564840572,-0.0017983471759724712,12
4-1. 일·가정 양립 여건,0.14559404817877403,0.04494008999441328,0.2794302614262926,0.05070529645672747,-0.10065395818436074,-0.22872496496956515,10
3-3. 아동안전 수준,0.2531553462358782,0.13791349327183774,0.26963782588963964,0.16877393335942953,-0.11524185296404046,-0.10086389253021011,9
4-2. 사회적 가치관,0.189128240693275,0.0405189047169424,0.10999766638019523,0.032137378834422414,-0.14860933597633258,-0.07786028754577282,8
지표체계 외,51.65358744406685,49.78629985881479,48.531044836740016,53.259642873030735,-1.8672875852520576,4.72859803629072,3
2-1. 돌봄 여건,42.53658275543692,28.255032958088876,45.02977141757688,26.72315148744785,-14.281549797348042,-18.30661993012903,1
