지역,중분류,유사도,세부사업명_A,예산_A,세부사업명_B,예산_B,예산일치_신뢰도높음
대전,2. 건강하고 능동적인 고령사회 구축(자체),90.9,효문화 정착을 위한 효행장려여건 마련,21.4,동구 효문화 정착을 위한 효행 장려여건 마련,140.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),90.9,유모차 살균소독기 설치 및 운영,0.0,"유모차 살균소독기 설치, 운영",0.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),90.9,사립유치원 난방비 지원,4.0,유치원 난방비 지원,27.0,False
부산,1. 함께 일하고 함께 돌보는 사회(자체),90.9,어린이집 냉방비 지원,44.0,어린이집 난방비 지원,74.0,False
부산,2. 건강하고 능동적인 고령사회 구축(자체),90.9,저소득 노인세대 건강보험료 지원,12.0,저소득층 노인 건강보험료 지원,65.0,False
부산,2. 건강하고 능동적인 고령사회 구축(자체),90.9,저소득 노인세대 건강보험료 지원,32.0,저소득층 노인 건강보험료 지원,65.0,False
부산,3. 모두의 역량이 고루 발휘되는 사회(자체),90.9,다행복교육지구 운영,300.0,연제다행복교육지구 운영,872.0,False
부산,3. 모두의 역량이 고루 발휘되는 사회(자체),90.9,다행복교육지구 운영,448.9,연제다행복교육지구 운영,872.0,False
전남,1. 함께 일하고 함께 돌보는 사회(자체),90.9,신생아 양육비 지원,1422.0,신생아 양육비 추가지원,243.0,False
전남,1. 함께 일하고 함께 돌보는 사회(자체),90.9,신생아 양육비 추가지원,243.0,신생아 양육비 지원,2235.0,False
전남,2. 건강하고 능동적인 고령사회 구축(자체),90.9,경로당 활성화 지원사업,283.0,경로당 활성화 사업,70.0,False
전남,2. 건강하고 능동적인 고령사회 구축(자체),90.9,경로당 부식비 지원사업,1305.0,경로당 부식비 지원,1500.0,False
전남,2. 건강하고 능동적인 고령사회 구축(자체),90.9,경로당 부식비 지원사업,1305.0,경로당 부식비 지원,960.0,False
전남,2. 건강하고 능동적인 고령사회 구축(자체),90.9,경로당 부식비 지원,1500.0,경로당 공동부식비 지원,546.0,False
전남,2. 건강하고 능동적인 고령사회 구축(자체),90.9,경로당 공동부식비 지원,546.0,경로당 부식비 지원,960.0,False
충남,1. 함께 일하고 함께 돌보는 사회(자체),90.9,서천군 북스타트 프로그램 운영,21.0,서천군 드림스타트 프로그램 운영,315.0,False
충남,4.인구구조 변화에 대한 적응(자체),90.9,다문화가정자녀 보조학습비 지원,30.0,다문화가족 자녀 보조학습비 지원,72.0,False
경남,1. 함께 일하고 함께 돌보는 사회(공통),90.6,다함께 돌봄사업 (학교-지자체 협업모델 인건비),248.0,다함께 돌봄 사업 (학교-지자체 협업모델 운영비),120.0,False
경남,1. 함께 일하고 함께 돌보는 사회(자체),90.5,산모신생아 건강관리 서비스 본인부담금 지원,710.0,산모신생아 건강관리 본인부담금 지원,85.0,False
경북,1. 함께 일하고 함께 돌보는 사회(자체),90.5,산모신생아 건강관리 본인부담금 지원,12762.0,산모신생아 건강관리지원사업 본인부담금 지원,1700.0,False
전남,1. 함께 일하고 함께 돌보는 사회(자체),90.5,산모신생아 건강관리 본인부담금 추가지원,20.0,산모신생아 건강관리사업 본인부담금 지원,40.0,False
강원,2. 건강하고 능동적인 고령사회 구축(자체),90.3,저소득 노인 건강보험료 지원,78.0,저소득 노인가구 건강보험료지원,60.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),90.3,장애인 가정 출산지원금 지원사업,42.0,장애인가정 출산지원금 지원,20.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),90.3,장애인 가정 출산지원금 지원사업,42.0,장애인가정 출산지원금 지원,7.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),90.3,장애인 가정 출산지원금 지원사업,42.0,장애인가정 출산지원금 지원,2.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),90.3,장애인 가정 출산지원금 지원사업,42.0,장애인가정 출산지원금 지원,7.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),90.3,산모･신생아 건강관리 지원,1700.0,산모･신생아 건강관리 지원 사업,30.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),90.3,육아종합지원센터 운영 지원,1249.0,육아종합지원센터 운영 지원/자체,1153.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),90.3,유니세프 아동친화도시 추진,59.0,유니세프 인증 아동친화도시 추진,21.0,False
부산,2. 건강하고 능동적인 고령사회 구축(자체),90.3,저소득 노인세대 건강보험료지원,15.0,저소득 노인 건강보험료 지원,40.0,False
부산,2. 건강하고 능동적인 고령사회 구축(자체),90.3,저소득세대 건강보험료 지원,14.0,저소득 노인세대 건강보험료 지원,12.0,False
부산,2. 건강하고 능동적인 고령사회 구축(자체),90.3,저소득세대 건강보험료 지원,14.0,저소득 노인세대 건강보험료 지원,32.0,False
인천,1. 함께 일하고 함께 돌보는 사회(자체),90.3,보육교사 장기근속수당(중구),86.0,보육교사 장기근속수당(부평구),141.0,False
전남,1. 함께 일하고 함께 돌보는 사회(자체),90.3,난임부부 시술비 확대 지원,27.0,난임부부 치료 시술비 확대 지원,9.0,False
전남,1. 함께 일하고 함께 돌보는 사회(자체),90.3,산모･신생아 건강관리 지원 확대,400.0,산모･신생아 건강관리 지원,36.0,False
전남,2. 건강하고 능동적인 고령사회 구축(자체),90.3,노인 목욕 및 이미용비 지원,2700.0,노인목욕 및 이미용비 지원사업,729.0,False
전남,4.인구구조 변화에 대한 적응(자체),90.3,귀농인 농가주택 수리비 지원,17.5,귀농인 농가주택수리비 지원사업,35.0,False
충남,1. 함께 일하고 함께 돌보는 사회(자체),90.3,둘째이후 영유아 양육비 지원,1850.0,셋째 이후 영유아 양육비 지원,120.0,False
충남,2. 건강하고 능동적인 고령사회(공통),90.3,노인일자리 및 사회활동지원 사업,9064.0,노인일자리 및 사회활동지원,6947.0,False
경남,1. 함께 일하고 함께 돌보는 사회(자체),90.2,산모신생아 건강관리 서비스 본인부담금 지원,710.0,1-1.산모 신생아 건강관리 서비스 본인부담금 지원,25.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),90.0,장난감 도서관 운영,114.0,장남감 도서관 운영,53.0,False
경기,1. 함께 일하고 함께 돌보는 사회(자체),90.0,어린이집 행사 지원,23.0,어린이날 행사 지원,40.0,False
경남,1. 함께 일하고 함께 돌보는 사회(자체),90.0,산모신생아 건강관리 본인부담금 지원,85.0,산모신생아건강관리 본인부담금 지원 사업,10.0,False
경남,2. 건강하고 능동적인 고령사회 구축(자체),90.0,홀로사는 어르신 공동생활가정 지원,34.0,홀로 사는 어르신 공동생활가정 지원 사업,21.0,False
경북,1. 함께 일하고 함께 돌보는 사회(자체),90.0,모자보건사업(남구),53.0,모자보건사업(북구),48.0,False
경북,1. 함께 일하고 함께 돌보는 사회(자체),90.0,출산육아지원금 지원,2562.0,출산육아지원금 지급,1020.0,False
경북,1. 함께 일하고 함께 돌보는 사회(자체),90.0,출생아건강보험료지원,569.0,출생아 건강보험지원,270.0,False
경북,1. 함께 일하고 함께 돌보는 사회(자체),90.0,출생아 건강보험지원,270.0,출생아건강보험료지원,564.0,False
광주,3. 모두의 역량이 고루 발휘되는 사회(자체),90.0,북구 청년센터 운영,99.0,남구 청년센터 운영,54.0,False
전남,1. 함께 일하고 함께 돌보는 사회(자체),90.0,임산부 영양제 지원,4.5,출산부 영양제 지원,6.0,False
전남,1. 함께 일하고 함께 돌보는 사회(자체),90.0,임산부 영양제 지원,7.0,출산부 영양제 지원,6.0,False
전북,1. 함께 일하고 함께 돌보는 사회(자체),90.0,출생축하용품 지원,34.0,임신출생축하용품 지원,95.0,False
전북,1. 함께 일하고 함께 돌보는 사회(자체),90.0,출산축하용품 지원,135.0,출산축하용품 지원사업,30.0,False
전북,1. 함께 일하고 함께 돌보는 사회(자체),90.0,출산축하용품 지원사업,30.0,출산축하용품 지원,22.0,False
전북,4.인구구조 변화에 대한 적응(자체),90.0,노인대학 운영비 지원,25.0,노인대학 운영지원,10.0,False
전북,4.인구구조 변화에 대한 적응(자체),90.0,노인대학 운영비 지원,48.0,노인대학 운영지원,10.0,False
충남,2. 건강하고 능동적인 고령사회(공통),90.0,치매치료관리비지원사업,230.0,치매치료관리비지원,273.0,False
충남,4.인구구조 변화에 대한 적응(공통),90.0,한부모가족생활지원,3539.0,한부모가족생활안정지원,35.0,False
