region,year,category,category_contribution,category_weight_total,category_score
강원,2016,가족·생활,12.406953953245525,0.2515030060120239,49.33123524039457
강원,2017,가족·생활,12.866775583947073,0.2515030060120239,51.15953001107244
강원,2018,가족·생활,13.063217805732744,0.2515030060120239,51.94060306821227
강원,2019,가족·생활,13.450408095275726,0.2515030060120239,53.48010868161426
강원,2020,가족·생활,13.96134335183859,0.2515030060120239,55.511636116075366
강원,2021,가족·생활,14.924259529260482,0.2515030060120239,59.34028290917118
강원,2022,가족·생활,15.911866409421838,0.2515030060120239,63.267102297223104
강원,2023,가족·생활,16.7571702725462,0.2515030060120239,66.62811128287296
강원,2024,가족·생활,17.40790717213691,0.2515030060120239,69.21550341750056
경기,2016,가족·생활,7.275097889396403,0.2515030060120239,28.92648483512993
경기,2017,가족·생활,7.67634135924976,0.2515030060120239,30.521867237176345
경기,2018,가족·생활,7.786262604931513,0.2515030060120239,30.95892462040499
경기,2019,가족·생활,8.072037879316191,0.2515030060120239,32.095194436484306
경기,2020,가족·생활,9.070508179000049,0.2515030060120239,36.06520781929103
경기,2021,가족·생활,9.026886400482503,0.2515030060120239,35.89176345689858
경기,2022,가족·생활,9.279165329402634,0.2515030060120239,36.894848600573035
경기,2023,가족·생활,9.910617974991585,0.2515030060120239,39.4055646973769
경기,2024,가족·생활,9.826115838860238,0.2515030060120239,39.06957612423315
경남,2016,가족·생활,8.450948457358443,0.2515030060120239,33.60177912527382
경남,2017,가족·생활,8.858596596199328,0.2515030060120239,35.22262710361328
경남,2018,가족·생활,9.384274843227008,0.2515030060120239,37.312774077850825
경남,2019,가족·생활,9.688647407599074,0.2515030060120239,38.522988497146926
경남,2020,가족·생활,10.516851159227256,0.2515030060120239,41.81600580441755
경남,2021,가족·생활,10.974423848201306,0.2515030060120239,43.63535856774863
경남,2022,가족·생활,11.25440866109724,0.2515030060120239,44.748604955279085
경남,2023,가족·생활,11.627208046423071,0.2515030060120239,46.23089095749095
경남,2024,가족·생활,11.406139271705426,0.2515030060120239,45.351900371163424
경북,2016,가족·생활,9.725277899283954,0.2515030060120239,38.66863483460315
경북,2017,가족·생활,10.24016702074432,0.2515030060120239,40.715883213955514
경북,2018,가족·생활,10.564836457547855,0.2515030060120239,42.00679993877595
경북,2019,가족·생활,10.960215039024524,0.2515030060120239,43.57886298385051
경북,2020,가족·생활,12.021146397031607,0.2515030060120239,47.7972275069225
경북,2021,가족·생활,12.53641534181262,0.2515030060120239,49.84598610011554
경북,2022,가족·생활,13.451307131305546,0.2515030060120239,53.48368333483243
경북,2023,가족·생활,14.17122159126254,0.2515030060120239,56.346132064063816
경북,2024,가족·생활,14.289693814261502,0.2515030060120239,56.81718895072902
광주,2016,가족·생활,12.490351892017284,0.2515030060120239,49.662833419256
광주,2017,가족·생활,13.32858462165686,0.2515030060120239,52.995726902046016
광주,2018,가족·생활,13.511235343401548,0.2515030060120239,53.721963636313745
광주,2019,가족·생활,13.742174580502438,0.2515030060120239,54.64020012486628
광주,2020,가족·생활,14.31021625710144,0.2515030060120239,56.8987881457659
광주,2021,가족·생활,14.664631854873347,0.2515030060120239,58.307978450851024
광주,2022,가족·생활,15.55823031680836,0.2515030060120239,61.861011379182266
광주,2023,가족·생활,16.76179850129473,0.2515030060120239,66.64651356291692
광주,2024,가족·생활,17.471103519973795,0.2515030060120239,69.4667781391787
대구,2016,가족·생활,5.397818702258721,0.2515030060120239,21.462243286271736
대구,2017,가족·생활,5.551588690253372,0.2515030060120239,22.07364746164489
대구,2018,가족·생활,5.888968363092665,0.2515030060120239,23.415101300264865
대구,2019,가족·생활,6.073892465047241,0.2515030060120239,24.150377211622104
대구,2020,가족·생활,7.289120032586111,0.2515030060120239,28.982238217214903
대구,2021,가족·생활,7.429769835055223,0.2515030060120239,29.541475280418783
대구,2022,가족·생활,8.300572934297936,0.2515030060120239,33.003871667049175
대구,2023,가족·생활,9.163610111378103,0.2515030060120239,36.43539000460299
대구,2024,가족·생활,9.201414687784183,0.2515030060120239,36.58570461517378
대전,2016,가족·생활,7.018601256615029,0.2515030060120239,27.90662969761674
대전,2017,가족·생활,7.4964017765684305,0.2515030060120239,29.806410251056956
대전,2018,가족·생활,7.83563746767802,0.2515030060120239,31.155243795787516
대전,2019,가족·생활,7.869397003984737,0.2515030060120239,31.289474940146498
대전,2020,가족·생활,8.721463764441841,0.2515030060120239,34.67737385224287
대전,2021,가족·생활,10.113411406321092,0.2515030060120239,40.21189077095002
대전,2022,가족·생활,11.62353052315995,0.2515030060120239,46.21626877336109
대전,2023,가족·생활,13.1020973400694,0.2515030060120239,52.09519181429987
대전,2024,가족·생활,13.048699748444053,0.2515030060120239,51.88287788425167
부산,2016,가족·생활,5.279676526175919,0.2515030060120239,20.99249869770346
부산,2017,가족·생활,5.642118320408051,0.2515030060120239,22.43360192735951
부산,2018,가족·생활,6.045951103606629,0.2515030060120239,24.039279686850268
부산,2019,가족·생활,6.296362798949404,0.2515030060120239,25.034940531280903
부산,2020,가족·생활,7.513821733442208,0.2515030060120239,29.875673665240345
부산,2021,가족·생활,7.547682238573755,0.2515030060120239,30.010306271301236
부산,2022,가족·생활,8.061521829680036,0.2515030060120239,32.05338161761227
부산,2023,가족·생활,8.410143248185296,0.2515030060120239,33.43953371190808
부산,2024,가족·생활,8.063813647547377,0.2515030060120239,32.062494104590776
서울,2016,가족·생활,5.148056437807272,0.2515030060120239,20.46916464116199
서울,2017,가족·생활,5.5163249513129795,0.2515030060120239,21.933435463786275
서울,2018,가족·생활,6.007383892021128,0.2515030060120239,23.88593276588481
서울,2019,가족·생활,6.308406104501995,0.2515030060120239,25.082825865709136
서울,2020,가족·생활,7.283202917093831,0.2515030060120239,28.958711200237634
서울,2021,가족·생활,7.56479011283348,0.2515030060120239,30.07832881517058
서울,2022,가족·생활,7.678167236965866,0.2515030060120239,30.5291271015615
서울,2023,가족·생활,7.948471140819915,0.2515030060120239,31.6038812690768
서울,2024,가족·생활,7.878759398135069,0.2515030060120239,31.326700714497218
세종,2016,가족·생활,6.966141062381759,0.2515030060120239,27.698042949231063
세종,2017,가족·생활,6.8003513137127465,0.2515030060120239,27.038847056116825
세종,2018,가족·생활,7.675432867493614,0.2515030060120239,30.51825498708617
세종,2019,가족·생활,7.798142760660729,0.2515030060120239,31.0061612555355
세종,2020,가족·생활,8.579483160382553,0.2515030060120239,34.11284539466849
세종,2021,가족·생활,8.386960896924247,0.2515030060120239,33.34735846665499
세종,2022,가족·생활,8.647093900698227,0.2515030060120239,34.381672162935594
세종,2023,가족·생활,9.744615526314377,0.2515030060120239,38.74552308869224
세종,2024,가족·생활,10.350836397798991,0.2515030060120239,41.15591523905736
울산,2016,가족·생활,4.256906772770223,0.2515030060120239,16.925868363444955
울산,2017,가족·생활,4.8243448409687675,0.2515030060120239,19.18205637962881
울산,2018,가족·생활,5.270241621853003,0.2515030060120239,20.954984615973306
울산,2019,가족·생활,6.151238241872844,0.2515030060120239,24.45791141589283
울산,2020,가족·생활,7.23035806553232,0.2515030060120239,28.74859501753489
울산,2021,가족·생활,8.4969036354255,0.2515030060120239,33.78450130738905
울산,2022,가족·생활,9.265347767472337,0.2515030060120239,36.83990865313703
울산,2023,가족·생활,10.755253925889038,0.2515030060120239,42.76391800014846
울산,2024,가족·생활,10.656224604978288,0.2515030060120239,42.370167951268265
인천,2016,가족·생활,6.169058938731576,0.2515030060120239,24.52876821057416
인천,2017,가족·생활,6.555918995733254,0.2515030060120239,26.066960787815898
인천,2018,가족·생활,6.94793816253102,0.2515030060120239,27.625666478908208
인천,2019,가족·생활,7.227696262563607,0.2515030060120239,28.738011434416265
인천,2020,가족·생활,8.19453602685125,0.2515030060120239,32.582258784053984
인천,2021,가족·생활,8.574244495883375,0.2515030060120239,34.0920159637116
인천,2022,가족·생활,8.477143469079197,0.2515030060120239,33.70593299657785
인천,2023,가족·생활,8.64846831789669,0.2515030060120239,34.38713697713506
인천,2024,가족·생활,8.501048925923232,0.2515030060120239,33.800983378770475
전남,2016,가족·생활,12.959986248253914,0.2515030060120239,51.53014452492992
전남,2017,가족·생활,13.671658696726848,0.2515030060120239,54.359822228419915
전남,2018,가족·생활,13.936284442973534,0.2515030060120239,55.41199949835694
전남,2019,가족·생활,14.605756566547612,0.2515030060120239,58.07388467495825
전남,2020,가족·생활,15.360759634825266,0.2515030060120239,61.07584906595865
전남,2021,가족·생활,16.563019921759487,0.2515030060120239,65.85615092396802
전남,2022,가족·생활,17.238704061750045,0.2515030060120239,68.54273567181893
전남,2023,가족·생활,17.81507448948456,0.2515030060120239,70.83443960360795
전남,2024,가족·생활,18.253082277384305,0.2515030060120239,72.5760004495201
전북,2016,가족·생활,11.767846547446736,0.2515030060120239,46.79008308506712
전북,2017,가족·생활,12.228623809560649,0.2515030060120239,48.622177537615656
전북,2018,가족·생활,12.501399661456324,0.2515030060120239,49.70676040690604
전북,2019,가족·생활,12.929778850271244,0.2515030060120239,51.41003702219405
전북,2020,가족·생활,14.225094153967545,0.2515030060120239,56.56033452454029
전북,2021,가족·생활,15.645681756881936,0.2515030060120239,62.20872666680549
전북,2022,가족·생활,17.399814770721186,0.2515030060120239,69.18332725569621
전북,2023,가족·생활,18.730551216544686,0.2515030060120239,74.47446260602233
전북,2024,가족·생활,18.92631190910427,0.2515030060120239,75.2528258377931
제주,2016,가족·생활,12.599215119911715,0.2515030060120239,50.0956840225972
제주,2017,가족·생활,12.724541514728417,0.2515030060120239,50.593993751788695
제주,2018,가족·생활,12.66440308922384,0.2515030060120239,50.35487762169481
제주,2019,가족·생활,12.837579468527784,0.2515030060120239,51.04344346450492
제주,2020,가족·생활,13.639845452462552,0.2515030060120239,54.23332972732124
제주,2021,가족·생활,14.169644634649956,0.2515030060120239,56.339861933787496
제주,2022,가족·생활,14.88507875703525,0.2515030060120239,59.184496412435
제주,2023,가족·생활,15.452432872263678,0.2515030060120239,61.4403506235823
제주,2024,가족·생활,16.10265508295793,0.2515030060120239,64.02569630594431
충남,2016,가족·생활,10.340668516054278,0.2515030060120239,41.11548676901264
충남,2017,가족·생활,10.832684823777354,0.2515030060120239,43.0717906539036
충남,2018,가족·생활,11.283603776639715,0.2515030060120239,44.86468752624079
충남,2019,가족·생활,11.323901264027544,0.2515030060120239,45.02491418924101
충남,2020,가족·생활,12.649187437820128,0.2515030060120239,50.294378736830645
충남,2021,가족·생활,13.255396831326893,0.2515030060120239,52.70472524965833
충남,2022,가족·생활,14.153875593624422,0.2515030060120239,56.277162718873214
충남,2023,가족·생활,14.94799296753561,0.2515030060120239,59.43464932908583
충남,2024,가족·생활,15.225003445812307,0.2515030060120239,60.53606947777166
충북,2016,가족·생활,10.221645486303627,0.2515030060120239,40.64223982203595
충북,2017,가족·생활,10.876713681637185,0.2515030060120239,43.246853602684915
충북,2018,가족·생활,10.677201345664288,0.2515030060120239,42.45357347797993
충북,2019,가족·생활,11.41357456261492,0.2515030060120239,45.38146379876372
충북,2020,가족·생활,12.457385879728957,0.2515030060120239,49.53175740226894
충북,2021,가족·생활,13.547940735005517,0.2515030060120239,53.86790778300999
충북,2022,가족·생활,14.774473785715832,0.2515030060120239,58.74472047069485
충북,2023,가족·생활,16.13936524458218,0.2515030060120239,64.17165941869729
충북,2024,가족·생활,16.162108437073613,0.2515030060120239,64.26208852669112
강원,2016,보건·안전,4.657778706074734,0.1523046092184368,30.58199439909596
강원,2017,보건·안전,5.659985690522161,0.1523046092184368,37.16227446803367
강원,2018,보건·안전,6.624388059569322,0.1523046092184368,43.49433739111963
강원,2019,보건·안전,6.6986165184320345,0.1523046092184368,43.98170582496824
강원,2020,보건·안전,6.924228017368142,0.1523046092184368,45.46302342982505
강원,2021,보건·안전,7.480092775123203,0.1523046092184368,49.112714405085256
강원,2022,보건·안전,7.730107460021426,0.1523046092184368,50.75425819145648
강원,2023,보건·안전,8.08359491219365,0.1523046092184368,53.07518238400832
강원,2024,보건·안전,8.023758627161737,0.1523046092184368,52.68230993360142
경기,2016,보건·안전,4.883390054779783,0.1523046092184368,32.063311017567266
경기,2017,보건·안전,5.525953683398656,0.1523046092184368,36.2822485265254
경기,2018,보건·안전,6.078640373644273,0.1523046092184368,39.911072979585434
경기,2019,보건·안전,6.488603432377829,0.1523046092184368,42.6028041152176
경기,2020,보건·안전,7.292312385943903,0.1523046092184368,47.87978790244748
경기,2021,보건·안전,7.163928174171115,0.1523046092184368,47.036844196202466
경기,2022,보건·안전,7.266474077046168,0.1523046092184368,47.71013900586893
경기,2023,보건·안전,6.985314032256012,0.1523046092184368,45.86410134336514
경기,2024,보건·안전,6.849926689388781,0.1523046092184368,44.9751765526974
경남,2016,보건·안전,5.699300054218631,0.1523046092184368,37.42040430335655
경남,2017,보건·안전,6.231582569397478,0.1523046092184368,40.91525923854398
경남,2018,보건·안전,6.813588613096719,0.1523046092184368,44.73658839388505
경남,2019,보건·안전,6.86816897029735,0.1523046092184368,45.094951528662875
경남,2020,보건·안전,7.335802979013057,0.1523046092184368,48.16533798062521
경남,2021,보건·안전,7.718128546324557,0.1523046092184368,50.67560716599941
경남,2022,보건·안전,8.079943392187518,0.1523046092184368,53.051207272389114
경남,2023,보건·안전,7.804789320466018,0.1523046092184368,51.24460356463874
경남,2024,보건·안전,7.663519981962183,0.1523046092184368,50.31705882893592
경북,2016,보건·안전,4.717200697704086,0.1523046092184368,30.97214668624131
경북,2017,보건·안전,4.9361861570532,0.1523046092184368,32.40995911012563
경북,2018,보건·안전,5.328256547103851,0.1523046092184368,34.984210750063454
경북,2019,보건·안전,5.353385304095858,0.1523046092184368,35.14920087820834
경북,2020,보건·안전,6.01380056444154,0.1523046092184368,39.48534844284645
경북,2021,보건·안전,5.903480173210651,0.1523046092184368,38.76100797936994
경북,2022,보건·안전,5.794122818114442,0.1523046092184368,38.042990608409305
경북,2023,보건·안전,5.533202752928024,0.1523046092184368,36.32984439093533
경북,2024,보건·안전,5.608510869954039,0.1523046092184368,36.82430163298772
광주,2016,보건·안전,4.784829756553334,0.1523046092184368,31.416184848948873
광주,2017,보건·안전,5.429919247744128,0.1523046092184368,35.651706639793694
광주,2018,보건·안전,5.966695263576832,0.1523046092184368,39.17606495427421
광주,2019,보건·안전,6.645852983255745,0.1523046092184368,43.63527156111339
광주,2020,보건·안전,7.510233399532789,0.1523046092184368,49.31061139956399
광주,2021,보건·안전,7.392184154060627,0.1523046092184368,48.535524906266495
광주,2022,보건·안전,7.252154727689464,0.1523046092184368,47.61612117259268
광주,2023,보건·안전,7.013379119372118,0.1523046092184368,46.0483707969301
광주,2024,보건·안전,6.704491479449298,0.1523046092184368,44.02027958217369
대구,2016,보건·안전,6.038883597604665,0.1523046092184368,39.65003835795695
대구,2017,보건·안전,6.199861749831696,0.1523046092184368,40.70698701534233
대구,2018,보건·안전,6.316204637218829,0.1523046092184368,41.470869920686795
대구,2019,보건·안전,6.3421675935664865,0.1523046092184368,41.64133722617997
대구,2020,보건·안전,7.335341408997724,0.1523046092184368,48.16230740907718
대구,2021,보건·안전,7.80559739268698,0.1523046092184368,51.249909196721106
대구,2022,보건·안전,8.279066398577292,0.1523046092184368,54.35860701171145
대구,2023,보건·안전,7.927140328425988,0.1523046092184368,52.047934524796965
대구,2024,보건·안전,7.659859598827884,0.1523046092184368,50.293025523883095
대전,2016,보건·안전,7.453305888833731,0.1523046092184368,48.936837349053064
대전,2017,보건·안전,8.153812394204216,0.1523046092184368,53.53621558826191
대전,2018,보건·안전,9.155164936296128,0.1523046092184368,60.11088556857591
대전,2019,보건·안전,9.328580050566652,0.1523046092184368,61.24949270043106
대전,2020,보건·안전,9.938555190237745,0.1523046092184368,65.25446105169257
대전,2021,보건·안전,10.131014791219528,0.1523046092184368,66.51811027392823
대전,2022,보건·안전,10.247344320254186,0.1523046092184368,67.28190547114264
대전,2023,보건·안전,9.272294106473526,0.1523046092184368,60.87993104118804
