region,year,pooled_index,missing_indicator_count,indicator_count,has_missing_indicators,pooled_rank,yearly_index,yearly_rank,score_diff_yearly_minus_pooled,abs_score_diff,rank_diff_yearly_minus_pooled,abs_rank_diff
강원,2016,38.41866415679611,0,28,False,7,48.15982350845322,7,9.74115935165711,9.74115935165711,0,0
강원,2017,44.45248243017998,0,28,False,2,55.83149471188891,3,11.379012281708931,11.379012281708931,1,1
강원,2018,45.87434147015653,0,28,False,2,54.77323406166807,3,8.89889259151154,8.89889259151154,1,1
강원,2019,48.576653000494126,0,28,False,2,56.56070673623316,2,7.984053735739032,7.984053735739032,0,0
강원,2020,51.56027831742332,0,28,False,5,56.08222581641533,4,4.521947498992013,4.521947498992013,-1,1
강원,2021,54.154904258808486,0,28,False,4,57.54613292637653,4,3.3912286675680434,3.3912286675680434,0,0
강원,2022,58.64855348807177,0,28,False,5,58.61722600508557,2,-0.0313274829861995,0.0313274829861995,-3,3
강원,2023,66.09689914787245,0,28,False,2,60.83342302512104,2,-5.263476122751413,5.263476122751413,0,0
강원,2024,69.86012362194658,0,28,False,1,65.16331567153605,1,-4.6968079504105305,4.6968079504105305,0,0
경기,2016,31.780101492002277,0,28,False,14,39.722127513841485,13,7.942026021839208,7.942026021839208,-1,1
경기,2017,34.93836833173038,0,28,False,14,41.01403286954903,14,6.075664537818646,6.075664537818646,0,0
경기,2018,35.80105985585614,0,28,False,14,38.849160261921995,14,3.0481004060658563,3.0481004060658563,0,0
경기,2019,37.89397905375499,0,28,False,15,39.400626061784344,13,1.506647008029354,1.506647008029354,-2,2
경기,2020,41.072622245350914,0,28,False,15,39.09402499964837,14,-1.9785972457025451,1.9785972457025451,-1,1
경기,2021,40.7826541326768,0,28,False,16,36.42311719718797,16,-4.359536935488833,4.359536935488833,0,0
경기,2022,44.54057368982277,0,28,False,16,35.225129295831664,15,-9.315444393991108,9.315444393991108,-1,1
경기,2023,49.86573156397579,0,28,False,16,36.37049523531117,15,-13.495236328664625,13.495236328664625,-1,1
경기,2024,51.38877422246496,0,28,False,16,36.3977334999701,16,-14.99104072249486,14.99104072249486,0,0
경남,2016,34.178948052988574,0,28,False,12,39.38942228825681,14,5.2104742352682365,5.2104742352682365,2,2
경남,2017,37.70931219357267,0,28,False,11,42.19819038235532,13,4.48887818878265,4.48887818878265,2,2
경남,2018,39.46689067900385,0,28,False,11,42.059208785403406,11,2.592318106399553,2.592318106399553,0,0
경남,2019,41.74468944906145,0,28,False,10,42.84204368684756,11,1.0973542377861136,1.0973542377861136,1,1
경남,2020,45.498452190614074,0,28,False,10,43.50327847294552,11,-1.995173717668557,1.995173717668557,1,1
경남,2021,45.721635392327485,0,28,False,11,40.654594958342415,12,-5.0670404339850705,5.0670404339850705,1,1
경남,2022,49.022463492338915,0,28,False,11,39.92360093789628,12,-9.098862554442633,9.098862554442633,1,1
경남,2023,53.18748420575762,0,28,False,12,38.41958688519189,14,-14.76789732056573,14.76789732056573,2,2
경남,2024,55.20930446637162,0,28,False,11,40.713395453054034,13,-14.495909013317586,14.495909013317586,2,2
경북,2016,37.45420526482211,0,28,False,9,45.40033806439321,11,7.946132799571103,7.946132799571103,2,2
경북,2017,39.79046238734757,0,28,False,10,44.273796347868455,11,4.483333960520888,4.483333960520888,1,1
경북,2018,39.85422253540105,0,28,False,10,41.91318927566277,12,2.058966740261724,2.058966740261724,2,2
경북,2019,40.15786681846764,0,28,False,12,39.12198816451576,14,-1.0358786539518832,1.0358786539518832,2,2
경북,2020,44.41933019934254,0,28,False,11,41.91041190699059,12,-2.508918292351943,2.508918292351943,1,1
경북,2021,46.65689058651253,0,28,False,10,41.28890731279852,10,-5.36798327371401,5.36798327371401,0,0
경북,2022,51.5176943157914,0,28,False,10,41.74329743466822,10,-9.77439688112318,9.77439688112318,0,0
경북,2023,56.018882615250696,0,28,False,10,40.485956997360795,11,-15.532925617889902,15.532925617889902,1,1
경북,2024,58.18566309540597,0,28,False,10,43.09108581400072,10,-15.09457728140525,15.09457728140525,0,0
광주,2016,39.64917346293837,0,28,False,5,51.56760744468734,4,11.918433981748976,11.918433981748976,-1,1
광주,2017,42.63889644944493,0,28,False,5,52.713704187106586,4,10.074807737661658,10.074807737661658,-1,1
광주,2018,43.90264110261483,0,28,False,8,52.701326515362766,4,8.798685412747936,8.798685412747936,-4,4
