region,year,category,subcategory,subcategory_contribution,subcategory_weight_total,subcategory_score
강원,2016,가족·생활,돌봄여건,8.787773213317763,0.1693386773547093,51.894660750835094
강원,2017,가족·생활,돌봄여건,9.214207399309844,0.1693386773547093,54.41289339947472
강원,2018,가족·생활,돌봄여건,9.403572180264554,0.1693386773547093,55.53115405860372
강원,2019,가족·생활,돌봄여건,9.7000281038021,0.1693386773547093,57.28182276683136
강원,2020,가족·생활,돌봄여건,10.197692126126483,0.1693386773547093,60.22069078032092
강원,2021,가족·생활,돌봄여건,10.46172610354862,0.1693386773547093,61.77989734521613
강원,2022,가족·생활,돌봄여건,10.59055424457926,0.1693386773547093,62.54066944432015
강원,2023,가족·생활,돌봄여건,10.583878170476924,0.1693386773547093,62.50124505405902
강원,2024,가족·생활,돌봄여건,11.21846525041424,0.1693386773547093,66.24868828351134
경기,2016,가족·생활,돌봄여건,4.407729600377538,0.1693386773547093,26.029077758442508
경기,2017,가족·생활,돌봄여건,4.802174252890891,0.1693386773547093,28.358401801095333
경기,2018,가족·생활,돌봄여건,4.809590300633703,0.1693386773547093,28.402195976523295
경기,2019,가족·생활,돌봄여건,4.982902704382976,0.1693386773547093,29.425662124107763
경기,2020,가족·생활,돌봄여건,6.056309649440314,0.1693386773547093,35.764479468292514
경기,2021,가족·생활,돌봄여건,6.074907236999522,0.1693386773547093,35.87430427529896
경기,2022,가족·생활,돌봄여건,6.094064115052566,0.1693386773547093,35.98743187468913
경기,2023,가족·생활,돌봄여건,6.49724797929263,0.1693386773547093,38.368363806710335
경기,2024,가족·생활,돌봄여건,6.411532532332105,0.1693386773547093,37.862186196848775
경남,2016,가족·생활,돌봄여건,6.16576097397236,0.1693386773547093,36.410825159907795
경남,2017,가족·생활,돌봄여건,6.563576982352668,0.1693386773547093,38.7600581561418
경남,2018,가족·생활,돌봄여건,7.0695415582402905,0.1693386773547093,41.74794363978587
경남,2019,가족·생활,돌봄여건,7.346669428573356,0.1693386773547093,43.384473903646224
경남,2020,가족·생활,돌봄여건,8.179763771103072,0.1693386773547093,48.30416712166195
경남,2021,가족·생활,돌봄여건,8.706212098797435,0.1693386773547093,51.413015826034574
