모형,계수_t+1,p값_t+1,FDR_q값_t+1,FDR_0.05_유의_t+1,계수_t+2,p값_t+2,FDR_q값_t+2,FDR_0.05_유의_t+2,계수_부호일치
1-1. 고용여건,0.0179564409057588,0.4821242047771917,0.95449324002395,False,0.0208898477263004,0.5594594435460576,0.7203522251116327,False,True
1-2. 주거안정성,0.0426002505554738,0.4804055197816304,0.95449324002395,False,-0.0566466939736812,0.1830442621832566,0.4026973768031645,False,False
1-3. 경제적 여건,0.0167111322545618,0.2238692757642729,0.8208540111356675,False,0.0189727940994047,0.1386138755846987,0.4026973768031645,False,True
2-1. 돌봄 여건,0.0025145857203134,0.9372957210093183,0.95449324002395,False,0.0296256060509171,0.1723715637171364,0.4026973768031645,False,True
2-2. 여가 인프라,-0.0029907341720909,0.9378037863891876,0.95449324002395,False,-0.0190987832072817,0.5951692808715947,0.7203522251116327,False,True
2-3. 가사수행 격차,-0.0065128504336598,0.6542112886245108,0.95449324002395,False,-0.012866071013572,0.4532466701595415,0.7122447673935652,False,True
3-1. 의료서비스 여건,-0.0007022496413134,0.9478538842863352,0.95449324002395,False,-0.0229777422840787,0.0952681787213382,0.4026973768031645,False,True
3-2. 산후조리 여건,0.0123733044036733,0.9410404204055226,0.95449324002395,False,-0.0771740949006436,0.7175209177077647,0.7203522251116327,False,False
3-3. 아동안전 수준,-0.0700114458110076,0.1946069895684337,0.8208540111356675,False,-0.0999027264624702,0.0365175811466721,0.4016933926133931,False,True
4-1. 일·가정 양립 여건,-0.0875710311203167,0.0210436100643574,0.2314797107079318,False,0.0514902411817603,0.3361895761595764,0.6163475562925568,False,False
4-2. 사회적 가치관,0.0015213479967388,0.95449324002395,0.95449324002395,False,0.0101236899485033,0.7203522251116327,0.7203522251116327,False,True
