지역,지표_id,연도,공식_분자,사업체수_분모,계산_비율,분자_출처,분모_출처,QA_상태
대구,family_friendly_certification_rate,2021,155,87153,0.177848152100329,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
인천,family_friendly_certification_rate,2021,187,99121,0.188658306514260,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
광주,family_friendly_certification_rate,2021,112,55991,0.200032148023790,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
대전,family_friendly_certification_rate,2021,310,52068,0.595375278481985,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
울산,family_friendly_certification_rate,2021,66,35947,0.183603638690294,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
세종,family_friendly_certification_rate,2021,83,11327,0.732762426061623,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
경기,family_friendly_certification_rate,2021,848,521991,0.162454908226387,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
강원,family_friendly_certification_rate,2021,131,58927,0.222308958541925,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
충북,family_friendly_certification_rate,2021,282,61330,0.459807598239035,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
충남,family_friendly_certification_rate,2021,240,78985,0.303855162372602,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
전북,family_friendly_certification_rate,2021,147,65608,0.224058041702231,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
전남,family_friendly_certification_rate,2021,179,67238,0.266218507391654,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
경북,family_friendly_certification_rate,2021,214,94158,0.227277554748402,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
경남,family_friendly_certification_rate,2021,203,120511,0.168449353171080,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
제주,family_friendly_certification_rate,2021,92,28406,0.323875237625854,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
