지역,연도,원본행,세부사업명,예산액,세부사업명_감사wide,예산액_감사wide,_merge,불일치유형,키
전남,2017,9505,,,소 계,195657.0,right_only,감사wide에만 존재(알려진 소계 행),"('전남', 2017, np.int64(9505))"
경북,2018,8200,여성지도자 육성,20.0,여성지도자 육성,-20.0,both,예산 불일치(알려진 보정),"('경북', 2018, np.int64(8200))"
