지역,대분류,중분류,원본_소계값,leaf_합계,결과,차이
광주,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),235373.0,235373.0,일치,0.0
광주,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",761177.0,761177.0,일치,0.0
광주,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),5367.0,5367.0,일치,0.0
광주,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),0.0,,불일치,
광주,"Ⅱ. 지자체
자체사업",1. 함께 일하고 함께 돌보는 사회(자체),73659.0,73659.0,일치,0.0
광주,"Ⅱ. 지자체
자체사업","2. 건강하고 능동적인 고령사회
구축(자체)",113686.0,113686.0,일치,0.0
광주,"Ⅱ. 지자체
자체사업",3. 모두의 역량이 고루 발휘되는 사회(자체),50939.0,50939.0,일치,0.0
광주,"Ⅱ. 지자체
자체사업",4.인구구조 변화에 대한 적응(자체),776.0,776.0,일치,0.0
대전,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),573351.0,573351.0,일치,0.0
대전,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",730109.0,730109.0,일치,0.0
대전,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),77012.0,77012.0,일치,0.0
대전,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),30466.0,30466.0,일치,0.0
대전,"Ⅱ. 지자체
자체사업","1. 함께 일하고
함께 돌보는
사회(자체)",202725.0,202725.0,일치,0.0
대전,"Ⅱ. 지자체
자체사업","2. 건강하고 능동적인 고령사회
구축(자체)",33606.0,33606.0,일치,0.0
대전,"Ⅱ. 지자체
자체사업","3. 모두의 역량이 고루 발휘되는
사회(자체)",23251.0,23251.0,일치,0.0
대전,"Ⅱ. 지자체
자체사업",4.인구구조 변화에 대한 적응(자체),5830.0,5830.0,일치,0.0
울산,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),565558.0,565558.0,일치,0.0
울산,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",523228.0,523228.0,일치,0.0
울산,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),7983.0,7983.0,일치,0.0
울산,Ⅰ. 공통사업,"4.인구구조 변화에
대한 적응(공통)",3502.0,3502.0,일치,0.0
울산,"Ⅱ. 지자체
자체사업","1. 함께 일하고 함께 돌보는
사회(자체)",47251.0,47251.0,일치,0.0
울산,"Ⅱ. 지자체
자체사업",2. 건강하고 능동적인 고령사회 구축(자체),90222.0,90222.0,일치,0.0
울산,"Ⅱ. 지자체
자체사업","3. 모두의 역량이
고루 발휘되는 사회(자체)",34674.0,34674.0,일치,0.0
울산,"Ⅱ. 지자체
자체사업","4.인구구조 변화에
대한 적응(자체)",625.0,625.0,일치,0.0
세종,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",147036.0,147036.0,일치,0.0
세종,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",104743.0,104743.0,일치,0.0
세종,Ⅰ. 공통사업,"3. 모두의 역량이
고루 발휘되는 사회(공통)",2104.0,2104.0,일치,0.0
세종,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),5690.0,5690.0,일치,0.0
세종,"Ⅱ. 지자체
자체사업",1. 함께 일하고 함께 돌보는 사회(자체),21321.0,21321.0,일치,0.0
세종,"Ⅱ. 지자체
자체사업",2. 건강하고 능동적인 고령사회 구축(자체),7331.0,7331.0,일치,0.0
세종,"Ⅱ. 지자체
자체사업",3. 모두의 역량이 고루 발휘되는 사회(자체),39863.0,39863.0,일치,0.0
세종,"Ⅱ. 지자체
자체사업",4.인구구조 변화에 대한 적응(자체),946.0,946.0,일치,0.0
경기,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),5033020.0,5033020.0,일치,0.0
경기,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",5501601.0,5501601.0,일치,0.0
경기,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),689468.0,689468.0,일치,0.0
경기,Ⅰ. 공통사업,"4.인구구조
변화에 대한
적응(공통)",150946.0,150946.0,일치,0.0
경기,"Ⅱ. 지자체
자체사업",1. 함께 일하고 함께 돌보는 사회(자체),1019222.0,1019224.0,불일치,2.0
경기,"Ⅱ. 지자체
자체사업",2. 건강하고 능동적인 고령사회 구축(자체),918224.0,918224.0,일치,0.0
경기,"Ⅱ. 지자체
자체사업",3. 모두의 역량이 고루 발휘되는 사회(자체),425962.0,425965.0,불일치,3.0
경기,"Ⅱ. 지자체
자체사업",4.인구구조 변화에 대한 적응(자체),82839.0,82839.0,일치,0.0
강원,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),510333.0,510333.0,일치,0.0
강원,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1276386.0,1276386.0,일치,0.0
