지역,지표_id,연도,원본파일,원본행번호,입력값,최종값,절대차,허용오차,결과
광주,after_school_care_supply,2022,구조환경지표_21개_검증본.csv,78,3.3291380780317485,3.3291380780317485,0.0,1e-12,PASS
광주,after_school_care_supply,2023,구조환경지표_21개_검증본.csv,78,3.521648089003574,3.521648089003574,0.0,1e-12,PASS
광주,after_school_care_supply,2024,구조환경지표_21개_검증본.csv,78,3.876227286863033,3.876227286863033,0.0,1e-12,PASS
대구,after_school_care_supply,2016,구조환경지표_21개_검증본.csv,76,1.316782022947739,1.316782022947739,0.0,1e-12,PASS
대구,after_school_care_supply,2017,구조환경지표_21개_검증본.csv,76,1.3171987573094552,1.3171987573094552,0.0,1e-12,PASS
대구,after_school_care_supply,2018,구조환경지표_21개_검증본.csv,76,1.3274160954154617,1.3274160954154617,0.0,1e-12,PASS
대구,after_school_care_supply,2019,구조환경지표_21개_검증본.csv,76,1.3325515697457493,1.3325515697457493,0.0,1e-12,PASS
대구,after_school_care_supply,2020,구조환경지표_21개_검증본.csv,76,1.3698536778185932,1.3698536778185932,0.0,1e-12,PASS
대구,after_school_care_supply,2021,구조환경지표_21개_검증본.csv,76,1.409060603352877,1.409060603352877,0.0,1e-12,PASS
대구,after_school_care_supply,2022,구조환경지표_21개_검증본.csv,76,1.4323589160899357,1.4323589160899357,0.0,1e-12,PASS
대구,after_school_care_supply,2023,구조환경지표_21개_검증본.csv,76,1.5688536815297378,1.5688536815297378,0.0,1e-12,PASS
대구,after_school_care_supply,2024,구조환경지표_21개_검증본.csv,76,1.6093871161245956,1.6093871161245956,0.0,1e-12,PASS
대전,after_school_care_supply,2016,구조환경지표_21개_검증본.csv,79,1.4114394735817468,1.4114394735817468,0.0,1e-12,PASS
대전,after_school_care_supply,2017,구조환경지표_21개_검증본.csv,79,1.4415381709366022,1.4415381709366022,0.0,1e-12,PASS
대전,after_school_care_supply,2018,구조환경지표_21개_검증본.csv,79,1.4391077531930203,1.4391077531930203,0.0,1e-12,PASS
대전,after_school_care_supply,2019,구조환경지표_21개_검증본.csv,79,1.4764280623154464,1.4764280623154464,0.0,1e-12,PASS
대전,after_school_care_supply,2020,구조환경지표_21개_검증본.csv,79,1.5468799326528464,1.5468799326528464,0.0,1e-12,PASS
대전,after_school_care_supply,2021,구조환경지표_21개_검증본.csv,79,1.611759396557282,1.611759396557282,0.0,1e-12,PASS
대전,after_school_care_supply,2022,구조환경지표_21개_검증본.csv,79,1.780836884081722,1.780836884081722,0.0,1e-12,PASS
대전,after_school_care_supply,2023,구조환경지표_21개_검증본.csv,79,1.9034670292318152,1.9034670292318152,0.0,1e-12,PASS
대전,after_school_care_supply,2024,구조환경지표_21개_검증본.csv,79,2.064611602401155,2.064611602401155,0.0,1e-12,PASS
부산,after_school_care_supply,2016,구조환경지표_21개_검증본.csv,75,1.1079610258415615,1.1079610258415615,0.0,1e-12,PASS
부산,after_school_care_supply,2017,구조환경지표_21개_검증본.csv,75,1.1319419879731163,1.1319419879731163,0.0,1e-12,PASS
