지역,지표_id,연도,추정_분자,사업체수_분모,추정_비율,방법,근거
경북,family_friendly_certification_rate,2019,142.46283255086072,104466,0.1363724394069465,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking"
광주,family_friendly_certification_rate,2019,78.9793948878456,64727,0.12201924218308527,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking"
대구,family_friendly_certification_rate,2019,114.47013562858633,98972,0.11565911129267505,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking"
대전,family_friendly_certification_rate,2019,304.92044861763173,59585,0.5117402846649857,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking"
부산,family_friendly_certification_rate,2019,226.44092331768388,147715,0.153295821898713,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking"
서울,family_friendly_certification_rate,2019,1033.7303077725612,455160,0.22711361010909598,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking"
세종,family_friendly_certification_rate,2019,77.97965571205008,10292,0.7576725195496509,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking"
울산,family_friendly_certification_rate,2019,49.98695878977569,42153,0.11858458185603798,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking"
인천,family_friendly_certification_rate,2019,136.9642670839854,104512,0.13105123534520952,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking"
전남,family_friendly_certification_rate,2019,130.96583202921232,73196,0.1789248483922787,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking"
전북,family_friendly_certification_rate,2019,109.97130933750653,71781,0.1532039249070179,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking"
제주,family_friendly_certification_rate,2019,68.4821335419927,31752,0.2156781731607228,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking"
충남,family_friendly_certification_rate,2019,213.94418362023995,86455,0.24746305432911914,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking"
충북,family_friendly_certification_rate,2019,251.43440271257174,65263,0.3852633233418196,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking"
