지역,지표_id,연도,공식_분자,사업체수_분모,측정값,분자_출처,분모_출처,반영유형,관측상태,QA_상태
서울,family_friendly_certification_rate,2021,1375,424695,0.3237617584384088,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
부산,family_friendly_certification_rate,2021,294,132295,0.2222306209607317,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
대구,family_friendly_certification_rate,2021,155,87153,0.1778481521003293,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
인천,family_friendly_certification_rate,2021,187,99121,0.1886583065142603,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
광주,family_friendly_certification_rate,2021,112,55991,0.2000321480237895,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
대전,family_friendly_certification_rate,2021,310,52068,0.5953752784819851,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
울산,family_friendly_certification_rate,2021,66,35947,0.1836036386902940,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
세종,family_friendly_certification_rate,2021,83,11327,0.7327624260616227,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
경기,family_friendly_certification_rate,2021,848,521991,0.1624549082263871,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
강원,family_friendly_certification_rate,2021,131,58927,0.2223089585419248,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
충북,family_friendly_certification_rate,2021,282,61330,0.4598075982390347,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
충남,family_friendly_certification_rate,2021,240,78985,0.3038551623726024,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
전북,family_friendly_certification_rate,2021,147,65608,0.2240580417022315,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
전남,family_friendly_certification_rate,2021,179,67238,0.2662185073916535,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
경북,family_friendly_certification_rate,2021,214,94158,0.2272775547484016,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
경남,family_friendly_certification_rate,2021,203,120511,0.1684493531710798,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
제주,family_friendly_certification_rate,2021,92,28406,0.3238752376258537,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
전국,family_friendly_certification_rate,2024,6502,2105093,0.3088699644148738,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx::열=2024;산업분류별=전체;규모별=전규모,공식 집계 오류 정정,관측,PASS
대구,family_friendly_certification_rate,2024,218,91215,0.2389957792029820,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx::열=2024;산업분류별=전체;규모별=전규모,공식 집계 오류 정정,관측,PASS
광주,family_friendly_certification_rate,2024,140,58140,0.2407980736154111,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx::열=2024;산업분류별=전체;규모별=전규모,공식 집계 오류 정정,관측,PASS
