지역,대분류,중분류,원본_소계값,원본_소계출처,leaf_합계,차이,절대차이,오차율(%),절대오차율(%),QA_병합상태,결과,허용기준결과
강원,Ⅰ. 공통사업,1. 저출산 분야(공통사업),383358.0,별도소계행,383358.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용
강원,Ⅰ. 공통사업,2. 고령사회 분야(공통사업),444342.0,별도소계행,444342.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용
강원,Ⅰ. 공통사업,3.   대응기반 강화분야(공통사업),8914.0,별도소계행,8643.0,-271.0,271.0,-3.04,3.04,양쪽존재,불일치,허용
강원,Ⅱ. 지자체 자체사업,1. 저출산분야(자체사업),47666.0,별도소계행,47667.0,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용
강원,Ⅱ. 지자체 자체사업,2.   고령사회분야(자체사업),80764.0,별도소계행,80765.0,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용
강원,Ⅱ. 지자체 자체사업,3. 대응기반 강화(자체사업),1555.0,별도소계행,1555.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용
경기,Ⅰ. 공통사업,1. 저출산 대책(공통사업),2380762.0,별도소계행,2380762.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용
경기,Ⅰ. 공통사업,2. 고령사회 대책(공통사업),1982922.0,별도소계행,1982922.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용
경기,Ⅰ. 공통사업,3. 저출산･고령사회 대응기반 강화(공통사업),43.0,별도소계행,43.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용
경기,Ⅱ. 지자체 자체사업,1. 저출산 대책(자체사업),190593.0,별도소계행,190593.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용
경기,Ⅱ. 지자체 자체사업,2. 고령사회 대책(자체사업),259969.0,별도소계행,259969.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용
경기,Ⅱ. 지자체 자체사업,3. 저출산･고령사회 대응기반 강화(자체사업),294.0,별도소계행,294.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용
경남,Ⅰ. 공통사업,1. 저출산 대책(공통사업),391442.0,별도소계행,391567.0,125.0,125.0,0.03,0.03,양쪽존재,불일치,허용
경남,Ⅰ. 공통사업,2. 고령화 대책(공통사업),975624.0,별도소계행,975624.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용
경남,Ⅰ. 공통사업,3. 대응기반 강화(공통사업),25210.0,별도소계행,25210.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용
경남,Ⅱ. 지자체 자체사업,1. 저출산 대책(자체사업),68846.0,별도소계행,68847.0,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용
경남,Ⅱ. 지자체 자체사업,2. 고령화 대책(자체사업),19820.0,별도소계행,19821.0,1.0,1.0,0.01,0.01,양쪽존재,불일치,허용
경남,Ⅱ. 지자체 자체사업,3. 대응기반 강화(자체사업),115.0,별도소계행,115.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용
경북,Ⅰ. 공통사업,1. 저출산 대책(공통사업),245026.0,별도소계행,245026.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용
경북,Ⅰ. 공통사업,2. 고령화 대책(공통사업),969328.0,별도소계행,969328.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용
경북,Ⅱ. 지자체 자체사업,1. 저출산 대책(자체사업),392613.0,별도소계행,392618.0,5.0,5.0,0.0,0.0,양쪽존재,불일치,허용
경북,Ⅱ. 지자체 자체사업,2. 고령화 대책(자체사업),51310.0,별도소계행,51311.0,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용
경북,Ⅱ. 지자체 자체사업,3. 대응기반 강화(자체사업),896.0,별도소계행,897.0,1.0,1.0,0.11,0.11,양쪽존재,불일치,허용
광주,Ⅰ. 공통사업,고령화 대책,140494.0,별도소계행,140494.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용
광주,Ⅰ. 공통사업,저출산 고령사회 대응기반 강화,,중분류제목행,129365.0,,,,,양쪽존재,판정불가,판정불가
광주,Ⅰ. 공통사업,저출산 대책,324012.0,중분류제목행,648349.0,324337.0,324337.0,100.1,100.1,양쪽존재,불일치,초과
광주,Ⅱ. 지자체 자체사업,고령화 대책,74704.0,중분류제목행,74858.0,154.0,154.0,0.21,0.21,양쪽존재,불일치,허용
광주,Ⅱ. 지자체 자체사업,저출산 분야,,중분류제목행,109118.9,,,,,양쪽존재,판정불가,판정불가
대구,Ⅰ. 공통사업,1. 저출산 분야(공통사업),38868.0,별도소계행,38913.0,45.0,45.0,0.12,0.12,양쪽존재,불일치,허용
대구,Ⅰ. 공통사업,2. 고령화 대책(공통사업),544902.0,별도소계행,544805.0,-97.0,97.0,-0.02,0.02,양쪽존재,불일치,허용
대구,Ⅰ. 공통사업,3. 대응기반 강화(공통사업),96.0,별도소계행,96.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용
대구,Ⅱ. 지자체 자체사업,1. 저출산 대책(자체사업),104721.0,별도소계행,104722.0,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용
대구,Ⅱ. 지자체 자체사업,2. 고령화 대책(자체사업),86052.0,별도소계행,86053.0,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용
대구,Ⅱ. 지자체 자체사업,3. 대응기반 강화(자체사업),13.0,별도소계행,13.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용
대전,Ⅰ. 공통사업,Ⅰ. 저출산 대책 (55개 과제),362331.0,중분류제목행,362671.0,340.0,340.0,0.09,0.09,양쪽존재,불일치,허용
대전,Ⅰ. 공통사업,Ⅱ. 고령사회 대책 (28개 과제),0.0,중분류제목행,120944.0,120944.0,120944.0,,,양쪽존재,불일치,판정불가
대전,Ⅰ. 공통사업,"Ⅲ. 저출산 ․ 고령화 대응기반
강화 (5개 과제)",463.0,중분류제목행,50.0,-413.0,413.0,-89.2,89.2,양쪽존재,불일치,초과
대전,Ⅱ. 지자체 자체사업,Ⅰ. 출산이 행복한 수범도시 육성(76개 과제),113102.0,중분류제목행,103444.0,-9658.0,9658.0,-8.54,8.54,양쪽존재,불일치,허용
대전,Ⅱ. 지자체 자체사업,"Ⅱ. 안정된 생활, 건강한 노년, 활기찬 노후 (50개 과제)",0.0,중분류제목행,96445.0,96445.0,96445.0,,,양쪽존재,불일치,판정불가
대전,Ⅱ. 지자체 자체사업,Ⅲ. 저출산 ․ 고령사회 대응 기반 강화(16개 과제),107.0,중분류제목행,25993.0,25886.0,25886.0,24192.52,24192.52,양쪽존재,불일치,초과
