검사항목,기대값,실제값,판정
반기 원자료 파일 수,18,18,PASS
연도 수,9,9,PASS
2016 전국값이 17개 시도 값 범위 안에 있음,True,True,PASS
2017 전국값이 17개 시도 값 범위 안에 있음,True,True,PASS
2018 전국값이 17개 시도 값 범위 안에 있음,True,True,PASS
2019 전국값이 17개 시도 값 범위 안에 있음,True,True,PASS
2020 전국값이 17개 시도 값 범위 안에 있음,True,True,PASS
2021 전국값이 17개 시도 값 범위 안에 있음,True,True,PASS
2022 전국값이 17개 시도 값 범위 안에 있음,True,True,PASS
2023 전국값이 17개 시도 값 범위 안에 있음,True,True,PASS
2024 전국값이 17개 시도 값 범위 안에 있음,True,True,PASS
전국 후보 행 수,9,9,PASS
측정값 결측 없음,0,0,PASS
