지표_id,raw_source_order,role,source,file_name,선택필드,선택출처,최종출처포함여부,제외사유,raw_source_json
family_friendly_certification_rate,2,denominator_2017_2023,,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv,file_name,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv,True,,"{""role"": ""denominator_2017_2023"", ""id"": ""1IuQuCJioBhqzFJ3n_HUej1mNzLPGYwls"", ""file_name"": ""2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv""}"
family_friendly_certification_rate,3,denominator_2024,,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv,file_name,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv,True,,"{""role"": ""denominator_2024"", ""id"": ""16ft1CqCCDM5XfoK1DBZN4QKaiZhm8fz1"", ""file_name"": ""2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv""}"
family_friendly_certification_rate,4,numerator_2020,여성가족부·한국건강가정진흥원 가족친화지원사업 2020년 12월 유효 인증기업·기관 명단,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,source,여성가족부·한국건강가정진흥원 가족친화지원사업 2020년 12월 유효 인증기업·기관 명단,True,,"{""role"": ""numerator_2020"", ""source"": ""여성가족부·한국건강가정진흥원 가족친화지원사업 2020년 12월 유효 인증기업·기관 명단"", ""file_name"": ""2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx""}"
family_friendly_certification_rate,5,numerator_2021,여성가족부·한국건강가정진흥원 가족친화지원사업 2021년 12월 유효 인증기업·기관 명단,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",source,여성가족부·한국건강가정진흥원 가족친화지원사업 2021년 12월 유효 인증기업·기관 명단,True,,"{""role"": ""numerator_2021"", ""source"": ""여성가족부·한국건강가정진흥원 가족친화지원사업 2021년 12월 유효 인증기업·기관 명단"", ""file_name"": ""2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx""}"
family_friendly_certification_rate,6,numerator_2018,,가족친화인증기업현황_20181231.csv,file_name,가족친화인증기업현황_20181231.csv,True,,"{""role"": ""numerator_2018"", ""id"": ""1F-CSsJ4NEurkq1hbgM7RBg2UZftJCwc9"", ""file_name"": ""가족친화인증기업현황_20181231.csv""}"
family_friendly_certification_rate,7,numerator_2022,,가족친화인증기업현황_20221231.csv,file_name,가족친화인증기업현황_20221231.csv,True,,"{""role"": ""numerator_2022"", ""id"": ""1jaQeL5eMjvr8XOd-_XOhz8DafvAZHAEG"", ""file_name"": ""가족친화인증기업현황_20221231.csv""}"
family_friendly_certification_rate,8,numerator_2023,,가족친화인증기업현황_20231231.csv,file_name,가족친화인증기업현황_20231231.csv,True,,"{""role"": ""numerator_2023"", ""id"": ""1Dn-Gaay423ffSh73e-evLKQCmPgXLic7"", ""file_name"": ""가족친화인증기업현황_20231231.csv""}"
family_friendly_certification_rate,9,numerator_2024,,가족친화인증기업현황_20241231.csv,file_name,가족친화인증기업현황_20241231.csv,True,,"{""role"": ""numerator_2024"", ""id"": ""1xRQQoql4Cj9hRps8xcnWkjFKaT9YkxYk"", ""file_name"": ""가족친화인증기업현황_20241231.csv""}"
family_friendly_certification_rate,10,numerator_2025,,가족친화인증기업현황_20251201.csv,file_name,가족친화인증기업현황_20251201.csv,True,,"{""role"": ""numerator_2025"", ""id"": ""1NuSkYv79o1dt_gETG5SGIMgAvy57K1Am"", ""file_name"": ""가족친화인증기업현황_20251201.csv""}"
marriage_perception,1,response_distribution,,"2016,2018,2020,2022,2024_결혼에_대한_견해_13세_이상_인구__20260715194527.xlsx",file_name,"2016,2018,2020,2022,2024_결혼에_대한_견해_13세_이상_인구__20260715194527.xlsx",True,,"{""role"": ""response_distribution"", ""id"": ""106qkFUshlb0NdQSxNCKJTIDoqL_icteV"", ""file_name"": ""2016,2018,2020,2022,2024_결혼에_대한_견해_13세_이상_인구__20260715194527.xlsx""}"
childbirth_perception,1,response_distribution,,"2018,2020,2022,2024_결혼문화에_대한_태도__결혼하면_자녀를_가져야_한다__13세_이상_인구__20260715194802.csv",file_name,"2018,2020,2022,2024_결혼문화에_대한_태도__결혼하면_자녀를_가져야_한다__13세_이상_인구__20260715194802.csv",True,,"{""role"": ""response_distribution"", ""id"": ""14V-O1No1-p4-BDejnYCx7O308brzo2hS"", ""file_name"": ""2018,2020,2022,2024_결혼문화에_대한_태도__결혼하면_자녀를_가져야_한다__13세_이상_인구__20260715194802.csv""}"
housework_gender_equality,1,response_distribution,,"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",file_name,"2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv",True,,"{""role"": ""response_distribution"", ""id"": ""1JeHiUpiZQHy_T3Qjb5y89yRIxCRtLT_g"", ""file_name"": ""2016,2018,2020,2022,2024_가사_분담에_대한_견해_13세_이상_인구__20260715194953.csv""}"
youth_regular_employment_rate,1,microdata,통계청 MDIS 지역별고용조사 C형(시도 중분류 부가항목),,source,통계청 MDIS 지역별고용조사 C형(시도 중분류 부가항목),True,,"{""role"": ""microdata"", ""source"": ""통계청 MDIS 지역별고용조사 C형(시도 중분류 부가항목)"", ""survey_name"": ""지역별고용조사"", ""data_type"": ""C형 시도 중분류 부가항목 마이크로데이터 CSV"", ""analysis_years"": ""2016–2024년 상·하반기(18개 시점)"", ""mdis_extract"": ""반기 C형 시도 중분류 부가항목"", ""file_pattern"": ""{연도}_{상반기|하반기}(C형_시도_중분류_부가항목)_*.csv"", ""local_path"": ""data/raw/구조환경지수 원데이터 구축용/지역별고용조사/"", ""auxiliary_materials"": [""지역별고용조사 연도별 파일설계서·코드북"", ""시도 지역코드 매핑 자료"", ""강권오·황은진(2025), 제주지역 출산환경지수 개발 연구 p.87의 2024년 상반기 제주 기준값""], ""note"": ""원자료·MDIS 다운로드 내역은 Git 미포함, 재현 시 MDIS 재다운로드 필요""}"
housing_price,1,microdata,MDIS 주거실태조사 일반가구(제공) 0717 추출본,,source,MDIS 주거실태조사 일반가구(제공) 0717 추출본,True,,"{""role"": ""microdata"", ""source"": ""MDIS 주거실태조사 일반가구(제공) 0717 추출본"", ""survey_name"": ""주거실태조사"", ""data_type"": ""일반가구(제공) 마이크로데이터 CSV"", ""analysis_years"": ""2016–2024년"", ""mdis_extract"": ""0717 추출본(현재 주택가격용)"", ""file_pattern"": ""{연도}_일반가구_*.csv"", ""local_path"": ""data/raw/구조환경지수 원데이터 구축용/주거실태조사/0717/"", ""auxiliary_materials"": [""0717 CSV 헤더의 현재 주택가격(만원) 변수 정의"", ""연도별 지역코드 매핑 자료"", ""제주여성가족연구원(2025), 제주지역 출산환경지수 개발 연구의 1/n 산술평균 정의와 2023년 제주 기준값""]}"
housing_price,2,comparison_series,한국부동산원 월별 중위매매가격(주택종합),,source,한국부동산원 월별 중위매매가격(주택종합),False,QA comparison series,"{""role"": ""comparison_series"", ""source"": ""한국부동산원 월별 중위매매가격(주택종합)"", ""data_type"": ""전국·17개 시도 월별 CSV"", ""analysis_years"": ""2016–2024년(108개월)"", ""file_pattern"": ""(월) 중위매매가격_주택종합.csv"", ""local_path"": ""data/raw/구조환경지수 원데이터 구축용/주거실태조사/"", ""note"": ""현재 주택가격 본계열과의 비교 보조자료로만 사용""}"
household_own_occupancy_rate,1,microdata,MDIS 주거실태조사 일반가구(제공) 0727 추출본,,source,MDIS 주거실태조사 일반가구(제공) 0727 추출본,True,,"{""role"": ""microdata"", ""source"": ""MDIS 주거실태조사 일반가구(제공) 0727 추출본"", ""survey_name"": ""주거실태조사"", ""data_type"": ""일반가구(제공) 마이크로데이터 CSV"", ""analysis_years"": ""2016–2024년"", ""mdis_extract"": ""0727 추출본(점유형태·최종가중치 포함)"", ""file_pattern"": ""{연도}_일반가구_*.csv"", ""local_path"": ""data/raw/구조환경지수 원데이터 구축용/주거실태조사/0727/"", ""auxiliary_materials"": [""2016–2024년 주거실태조사 파일설계서·코드북"", ""전국·17개 시도 지역코드 매핑 자료"", ""제주여성가족연구원(2025), 제주지역 출산환경지수 개발 연구의 2023년 제주 기준값""]}"
renter_household_annual_housing_cost_hcc,1,microdata,MDIS 주거실태조사 일반가구(제공) 0727 추출본,,source,MDIS 주거실태조사 일반가구(제공) 0727 추출본,True,,"{""role"": ""microdata"", ""source"": ""MDIS 주거실태조사 일반가구(제공) 0727 추출본"", ""survey_name"": ""주거실태조사"", ""data_type"": ""일반가구(제공) 마이크로데이터 CSV"", ""analysis_years"": ""2016–2024년"", ""mdis_extract"": ""0727 추출본(점유형태·보증금·월세 포함)"", ""file_pattern"": ""{연도}_일반가구_*.csv"", ""local_path"": ""data/raw/구조환경지수 원데이터 구축용/주거실태조사/0727/"", ""auxiliary_materials"": [""2016–2024년 주거실태조사 파일설계서·코드북"", ""전국·17개 시도 지역코드 매핑 자료"", ""보증금·월세·점유형태 변수 및 HCC 산식 정의 자료""]}"
renter_household_annual_housing_cost_hcc,2,conversion_rate,KOSIS 한국부동산원 지역별 전월세전환율,,source,KOSIS 한국부동산원 지역별 전월세전환율,True,,"{""role"": ""conversion_rate"", ""source"": ""KOSIS 한국부동산원 지역별 전월세전환율"", ""data_type"": ""전국·17개 시도 월별 CSV"", ""analysis_years"": ""2016–2024년(108개월)"", ""file_pattern"": ""*KOSIS*전월세전환율*.csv"", ""local_path"": ""data/raw/구조환경지수 원데이터 구축용/주거실태조사/"", ""note"": ""지역·연도별 월값 12개의 연평균을 HCC 계산에 적용""}"
household_chore_equal_participation,1,microdata,국가데이터처 MDIS 가족실태조사 총괄 원자료,,source,국가데이터처 MDIS 가족실태조사 총괄 원자료,True,,"{""role"": ""microdata"", ""source"": ""국가데이터처 MDIS 가족실태조사 총괄 원자료"", ""survey_name"": ""가족실태조사"", ""data_type"": ""총괄 마이크로데이터 CSV"", ""analysis_years"": ""2020년·2023년"", ""mdis_extract"": ""2020·2023년 총괄, 2026-07-26 추출(88104)"", ""file_pattern"": ""{2020|2023}_총괄_20260726_88104.csv"", ""local_path"": ""data/raw/구조환경지수 원데이터 구축용/가족실태조사/"", ""auxiliary_materials"": [""2020년 가족실태조사 조사표·파일설계서"", ""2023년 제5차 가족실태조사 조사표 부록·파일설계서"", ""전국·17개 시도 지역코드 매핑 자료""]}"
childcare_equal_participation,1,microdata,국가데이터처 MDIS 가족실태조사 총괄 원자료,,source,국가데이터처 MDIS 가족실태조사 총괄 원자료,True,,"{""role"": ""microdata"", ""source"": ""국가데이터처 MDIS 가족실태조사 총괄 원자료"", ""survey_name"": ""가족실태조사"", ""data_type"": ""총괄 마이크로데이터 CSV"", ""analysis_years"": ""2020년·2023년"", ""mdis_extract"": ""2020·2023년 총괄, 2026-07-26 추출(88104)"", ""file_pattern"": ""{2020|2023}_총괄_20260726_88104.csv"", ""local_path"": ""data/raw/구조환경지수 원데이터 구축용/가족실태조사/"", ""auxiliary_materials"": [""2020년 가족실태조사 조사표·파일설계서"", ""2023년 제5차 가족실태조사 조사표 부록·파일설계서"", ""전국·17개 시도 지역코드 매핑 자료""]}"
socioeconomic_status_perception,1,microdata,국가데이터처 MDIS 가족실태조사 총괄 원자료,,source,국가데이터처 MDIS 가족실태조사 총괄 원자료,True,,"{""role"": ""microdata"", ""source"": ""국가데이터처 MDIS 가족실태조사 총괄 원자료"", ""survey_name"": ""가족실태조사"", ""data_type"": ""총괄 마이크로데이터 CSV"", ""analysis_years"": ""2020년·2023년"", ""mdis_extract"": ""2020·2023년 총괄, 2026-07-26 추출(88104)"", ""file_pattern"": ""{2020|2023}_총괄_20260726_88104.csv"", ""local_path"": ""data/raw/구조환경지수 원데이터 구축용/가족실태조사/"", ""auxiliary_materials"": [""2020년 가족실태조사 조사표·파일설계서"", ""2023년 제5차 가족실태조사 조사표 부록·파일설계서"", ""전국·17개 시도 지역코드 매핑 자료""]}"
