지역,원본행,행유형,세부사업명,사업분류재정구분,2021년 예산,2020년 예산,주요내용,앞행_세부사업명,앞행_주요내용,뒷행_세부사업명,뒷행_주요내용,판정,판정근거
강원,5632,주요내용 연속행 후보,,,,,10   강원도,•  362  •,•  362  •,춘천시 청년농업인 영농정착 지원,•  대상 및 내용 : 독립경영 3년차 이하 청년농업인 영농정착 지원금 지원,제외,페이지 상단의 시도명 머리글로 확인되어 제외
강원,5700,주요내용 연속행 후보,,,,,10   강원도,•  364  •,•  364  •,인구인식개선 사업,•  대상 및 내용 : 인구 인식개선 홍보 및 교육 실시,제외,페이지 상단의 시도명 머리글로 확인되어 제외
충북,5753,주요내용 연속행 후보,,,,,11   충청북도,,,(충청북도･충청북도교육청),(충청북도･충청북도교육청),제외,페이지 상단의 시도명 머리글로 확인되어 제외
충북,5807,주요내용 연속행 후보,,,,,11   충청북도,•  380  •,•  380  •,영유아 사전.예방적 건강관리,"•  내용 : 미숙아 및 선천성이상아 의료비지원, 선천성대사이상 검사비 및 환아 지원(특수조제
분유, 저단백식품) 등",제외,페이지 상단의 시도명 머리글로 확인되어 제외
충북,5870,주요내용 연속행 후보,,,,,11   충청북도,•  382  •,•  382  •,농촌신활력 플러스 사업,"•  대상 : 7개 시군
•  내용 : 특화산업고도화, 지역순환경제활성화, 사회적농업활성화, 앵커기업유치, 일자리창출 등
지역산업 육성지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
충북,5936,주요내용 연속행 후보,,,,,11   충청북도,•  384  •,•  384  •,"어린이집 입소아동 간식비
지원","•  내용 : 어린이집 재원 아동 간식비 지원(1일
700원)",제외,페이지 상단의 시도명 머리글로 확인되어 제외
충북,6008,주요내용 연속행 후보,,,,,11   충청북도,•  386  •,•  386  •,"다자녀가족 체험활동 및
부모교육",•  내용 : 다자녀가족 부모교육 및 체험활동 지원,제외,페이지 상단의 시도명 머리글로 확인되어 제외
충북,6077,주요내용 연속행 후보,,,,,11   충청북도,•  388  •,•  388  •,산모신생아건강관리지원,"•  대상 : 관내 출산임산부
•  내용 : 산모･신생아 건강관리 지원사업
본인부담금 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
충북,6141,주요내용 연속행 후보,,,,,11   충청북도,•  390  •,•  390  •,장수수당 지급,"•  내용 : 경로효친의 사회적 분위기를 조성하고 안정된 노후생활 지원을 위해 고령자에 대한
장수수당 지급",제외,페이지 상단의 시도명 머리글로 확인되어 제외
충북,6216,주요내용 연속행 후보,,,,,11   충청북도,•  392  •,•  392  •,노인 여가활동을 위한 인프라 마련,•  내용 : 게이트볼장 신축 및 보수,제외,페이지 상단의 시도명 머리글로 확인되어 제외
충북,6279,주요내용 연속행 후보,,,,,11   충청북도,•  394  •,•  394  •,충북청년희망센터 운영,"•  대상 : 도내청년
•  내용 : 청년의 다양한 활동지원 및 교류활성화",제외,페이지 상단의 시도명 머리글로 확인되어 제외
충북,6347,주요내용 연속행 후보,,,,,11   충청북도,•  396  •,•  396  •,초･중학교 영어캠프 운영,"•  내용 : 관내 6학년, 중학교 2학년 추천을 통한
영어캠프 운영",제외,페이지 상단의 시도명 머리글로 확인되어 제외
충남,6429,주요내용 연속행 후보,,,,,12   충청남도,•  410  •,•  410  •,가정양육수당,•  지원내용 : 양육수당 연령별 월 10~20만원 지원,제외,페이지 상단의 시도명 머리글로 확인되어 제외
충남,6501,주요내용 연속행 후보,,,,,12   충청남도,•  412  •,•  412  •,육아종합지원센터 운영,"•  지원대상 : 신뢰받는 어린이집과 행복한 가정 실현하는 포괄적 육아지원 전문기관
o지원내용 : 보육교직원 및 부모교육, 공통부모
교육비 등",제외,페이지 상단의 시도명 머리글로 확인되어 제외
충남,6569,주요내용 연속행 후보,,,,,12   충청남도,•  414  •,•  414  •,"임산부 친환경농산물
지원사업","•  지원내용 : 임신부터 출산･이유기까지, 건강한 친환경농산물을 꾸러미 형태로 12개월(연
48만원 수준)간 공급",제외,페이지 상단의 시도명 머리글로 확인되어 제외
충남,6637,주요내용 연속행 후보,,,,,12   충청남도,•  416  •,•  416  •,치매치료관리비지원,•  지원내용 : 치매 치료약제비 지원,제외,페이지 상단의 시도명 머리글로 확인되어 제외
충남,6703,주요내용 연속행 후보,,,,,12   충청남도,•  418  •,•  418  •,아동학대예방 지원,"•  지원대상 : 일반아동, 부모, 주민, 관련 기관 종사자 등
•  지원내용 : 신고의무자 교육, 일반인 아동학대
예방교육, 캠페인 및 홍보지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
충남,6772,주요내용 연속행 후보,,,,,12   충청남도,•  420  •,•  420  •,보육교사 처우개선비,"•  지원대상 : 관내 어린이집 보육교직원
•  지원내용 : 처우개선비지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
충남,6849,주요내용 연속행 후보,,,,,12   충청남도,•  422  •,•  422  •,다자녀 가구 세제 지원,•  지원내용 : 만18세 미만의 자녀 3명 이상을 양육하는 가구에 대하여 자동차 취득세 면제,제외,페이지 상단의 시도명 머리글로 확인되어 제외
충남,6918,주요내용 연속행 후보,,,,,12   충청남도,•  424  •,•  424  •,농가도우미 지원사업,"•  지원내용 : 출산(예정) 여성농업인 대상
농가도우미 이용일수 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
충남,6991,주요내용 연속행 후보,,,,,12   충청남도,•  426  •,•  426  •,노인회 취업지원센터 운영 지원,"•  지원내용 : 취업 업체 개발, 알선 등 일자리 연계",제외,페이지 상단의 시도명 머리글로 확인되어 제외
충남,7064,주요내용 연속행 후보,,,,,12   충청남도,•  428  •,•  428  •,노인종합복지관 운영,•  지원내용 : 어르신의 사회참여확대와 여가 선용 활동 공간마련,제외,페이지 상단의 시도명 머리글로 확인되어 제외
충남,7130,주요내용 연속행 후보,,,,,12   충청남도,•  430  •,•  430  •,인생이모작지원센터 운영,"•  사회공헌활동, 제2인생설계교육 등",제외,페이지 상단의 시도명 머리글로 확인되어 제외
충남,7202,주요내용 연속행 후보,,,,,12   충청남도,•  432  •,•  432  •,청년 행복 주거비 지원,"•  지원내용 : 전월세 거주 또는 관내 소재
주택구입하는 청년에게 월 최대 29만원 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
충남,7274,주요내용 연속행 후보,,,,,12   충청남도,•  434  •,•  434  •,미혼자 국제결혼 지원사업,"•  지원내용 : 미혼자 국제결혼 지원사업으로
인구유입 도모 및 원만한 가정생활 영위",제외,페이지 상단의 시도명 머리글로 확인되어 제외
전북,7337,주요내용 연속행 후보,,,,,13   전라북도,•  462  •,•  462  •,공동생활가정 그룹홈운영,"• 내용: 공동생활가정 인건비, 운영비 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
전북,7411,주요내용 연속행 후보,,,,,13   전라북도,•  464  •,•  464  •,청년나래 일자리 지원사업,"• 내용:  청년의  지역정착을  위해  일자리,  일경험  등  제공으로
취･창업지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
전북,7454,구분행사업명 연속 후보,행사지원,,,,,제4차 저출산･고령사회기본계획 2021년도 지방자치단체 시행계획(총괄),제4차 저출산･고령사회기본계획 2021년도 지방자치단체 시행계획(총괄),지역아동센터 급식도우미 인건비 지원사업,• 내용: 인건비 상향조정(1인당300천원에서 400천원으로 변경),제외,예산과 공통/자체 값이 없는 표 내부 구분행으로 확인되어 제외
전북,7491,주요내용 연속행 후보,,,,,13   전라북도,•  466  •,•  466  •,"친환경 농산물 학교급식
지원",• 내용: 학교무상급식 및 친환경농산물 지원,제외,페이지 상단의 시도명 머리글로 확인되어 제외
전북,7567,주요내용 연속행 후보,,,,,13   전라북도,•  468  •,•  468  •,청소년 범죄예방 사업,"• 내용: 청소년 범죄예방 캠페인 및 선도활동, 청소년 진로직업
체험 박람회, 학교폭력 예방사업 추진",제외,페이지 상단의 시도명 머리글로 확인되어 제외
전북,7639,주요내용 연속행 후보,,,,,13   전라북도,•  470  •,•  470  •,운영지원),,제외,페이지 상단의 시도명 머리글로 확인되어 제외
전북,7643,구분행사업명 연속 후보,운영지원),,,,,,13   전라북도,전북노인일자리센터 운영 지원,• 내용: 취업희망 노인들에게 맞춤형 일자리 제공,제외,예산과 공통/자체 값이 없는 표 내부 구분행으로 확인되어 제외
전북,7717,주요내용 연속행 후보,,,,,13   전라북도,•  472  •,•  472  •,경로당 지원,"• 내용: 경로당 운영비, 간식비, 부식비, 냉난방비, 양곡 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
전북,7760,구분행사업명 연속 후보,운영,,,,,제4차 저출산･고령사회기본계획 2021년도 지방자치단체 시행계획(총괄),제4차 저출산･고령사회기본계획 2021년도 지방자치단체 시행계획(총괄),경로당 기능보강 및 개보수 사업,• 내용: 경로당 개보수 및 기능보강사업 지원,제외,예산과 공통/자체 값이 없는 표 내부 구분행으로 확인되어 제외
전북,7795,주요내용 연속행 후보,,,,,13   전라북도,•  474  •,•  474  •,"성인학습자 학력보완
지원사업 운영",• 내용: 성인 학습자 학력 보완 교육 지원(검정고시),제외,페이지 상단의 시도명 머리글로 확인되어 제외
전북,7868,주요내용 연속행 후보,,,,,13   전라북도,•  476  •,•  476  •,청년거점공간 조성사업,"• 내용:  청년거점공간  조성을  위한  사업비  지원,  청년네트워크 활성화 등",제외,페이지 상단의 시도명 머리글로 확인되어 제외
전북,7945,주요내용 연속행 후보,,,,,13   전라북도,•  478  •,•  478  •,추진,,제외,페이지 상단의 시도명 머리글로 확인되어 제외
전북,7949,구분행사업명 연속 후보,추진,,,,,,13   전라북도,인구정책 홍보 리플릿 제작 배부,• 내용: 인구정책 홍보 리플릿 제작 배포,제외,예산과 공통/자체 값이 없는 표 내부 구분행으로 확인되어 제외
전남,8001,주요내용 연속행 후보,,,,,14   전라남도,•  496  •,•  496  •,고령자 정신건강관리 강화,"• 내용:  고위험군  조기발견,  노인  우울  선별검사,  정신건강  및 자살예방 프로그램 운영 및 상담 등",제외,페이지 상단의 시도명 머리글로 확인되어 제외
전남,8073,주요내용 연속행 후보,,,,,14   전라남도,•  498  •,•  498  •,공립유치원 확대,"• 내용: 유아교육 진흥을 위한 공립유치원 신설
- 단설 1원, 병설 3원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
전남,8146,주요내용 연속행 후보,,,,,14   전라남도,•  500  •,•  500  •,임신부 건강관리 교통비 지원사업,• 내용: 관내 등록 임신부 산전검진을 위한 교통비 지원,제외,페이지 상단의 시도명 머리글로 확인되어 제외
전남,8224,주요내용 연속행 후보,,,,,14   전라남도,•  502  •,•  502  •,우리아기 EQ･IQ 쑥쑥 오감발달 교실 운영,• 내용: 상･하반기 프로그램 운영: 8회,제외,페이지 상단의 시도명 머리글로 확인되어 제외
전남,8307,주요내용 연속행 후보,,,,,14   전라남도,•  504  •,•  504  •,"외래산부인과 임산부
초음파 무료",• 내용: 임산부 초음파 무료 검사,제외,페이지 상단의 시도명 머리글로 확인되어 제외
전남,8385,주요내용 연속행 후보,,,,,14   전라남도,•  506  •,•  506  •,노인 성인용보행기 지원,"• 내용:  거동이  불편한  어르신에게  성인용  보행기  지원(소득수
준에 따라 보행기 구입비용 20만원이내 차등지원)",제외,페이지 상단의 시도명 머리글로 확인되어 제외
전남,8459,주요내용 연속행 후보,,,,,14   전라남도,•  508  •,•  508  •,홀로사는 노인 만남의 날 행사,"• 내용: 경로의 달 10월을 맞이하여 홀로사는 어르신과 자원봉
사자 1:1 결연을 통해 위문품 전달 및 가정방문",제외,페이지 상단의 시도명 머리글로 확인되어 제외
전남,8537,주요내용 연속행 후보,,,,,14   전라남도,•  510  •,•  510  •,신중년 잡매칭 지원,• 내용: 신중년 재취업 지원 및 취업 장려금 지급,제외,페이지 상단의 시도명 머리글로 확인되어 제외
전남,8612,주요내용 연속행 후보,,,,,14   전라남도,•  512  •,•  512  •,전라남도 인구정책 종합계획 수립,• 내용: 인구정책 종합계획 수립(5년마다 수립),제외,페이지 상단의 시도명 머리글로 확인되어 제외
전남,8684,주요내용 연속행 후보,,,,,14   전라남도,•  514  •,•  514  •,"인구 인식변화 비대면
청소년 백일장 대회",• 내용: 비대면 대회 개최 및 시상,제외,페이지 상단의 시도명 머리글로 확인되어 제외
경북,8703,주요내용 연속행 후보,,,,,15   경상북도,,,(경상북도･경상북도교육청),(경상북도･경상북도교육청),제외,페이지 상단의 시도명 머리글로 확인되어 제외
경북,8769,주요내용 연속행 후보,,,,,15   경상북도,•  532  •,•  532  •,미숙아 및 선천성 이상아 의료비 지원,"•  지원대상 : 미숙아 및 선천성 이상아(기준 중위소득 180% 이하 가구)
•  지원내용 : 입원치료 등에 따른 의료비지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경북,8837,주요내용 연속행 후보,,,,,15   경상북도,•  534  •,•  534  •,공동육아 인식활성화,"•  지원내용 : 결혼･출산･육아 관련 인식개선, 일･가정양립 등을 위한 참여형･교육형 인식개선
프로그램 운영 및 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경북,8904,주요내용 연속행 후보,,,,,15   경상북도,•  536  •,•  536  •,공공산후조리원 설치지원,"•  지원대상 : 2개소(분만산부인과 있으나 산후조리원이 없는 시군)
•  지원내용 : 공공산후조리원 설치운영 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경북,8969,주요내용 연속행 후보,,,,,15   경상북도,•  538  •,•  538  •,"임산부의 날 기념 아카데미
운영","•  지원대상 : 관내 임산부 부부 및 가족
•  지원내용 : 가족과함께하는태료교실,캠페인등",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경북,9039,주요내용 연속행 후보,,,,,15   경상북도,•  540  •,•  540  •,홍삼간식 지원,•  지원내용 : 고등학교 대상 홍삼간식 지원,제외,페이지 상단의 시도명 머리글로 확인되어 제외
경북,9114,주요내용 연속행 후보,,,,,15   경상북도,•  542  •,•  542  •,공무원 유연근무제 활성화,"•  지원내용 : 보건휴가,모성보호,육아,돌봄휴가 활성화",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경북,9189,주요내용 연속행 후보,,,,,15   경상북도,•  544  •,•  544  •,임신출산 축하용품지원,"•  지원내용 : 출산축하용품 지원(기저귀 1팩), 영아유아
영양제 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경북,9264,주요내용 연속행 후보,,,,,15   경상북도,•  546  •,•  546  •,"경로당 손해배상책임보험
가입","•  지원내용 : 등록경로당(523개소) 화재 및 배상보험
가입",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경남,9330,주요내용 연속행 후보,,,,,16   경상남도,,,(경상남도･경상남도교육청),(경상남도･경상남도교육청),제외,페이지 상단의 시도명 머리글로 확인되어 제외
경남,9386,주요내용 연속행 후보,,,,,16   경상남도,•  562  •,•  562  •,지역아동보호전문기관 운영,"•  지원대상 : 아동보호전문기관(도내 6개소)
•  지원내용 : 종사자인건비,운영비,사업비지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경남,9453,주요내용 연속행 후보,,,,,16   경상남도,•  564  •,•  564  •,청소년한부모 아동양육 및 자립지원,"•  지원대상 : 기준 중위소득 60% 이하인 청소년 한부모가구
•  지원내용 : 아동양육비,검정고시학습비, 자립활동
촉진수당",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경남,9518,주요내용 연속행 후보,,,,,16   경상남도,•  566  •,•  566  •,"저출산 인식개선 교육 및
홍보","•  지원내용 : 저출산 극복 캠페인, 찾아가는 인구교육 등",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경남,9586,주요내용 연속행 후보,,,,,16   경상남도,•  568  •,•  568  •,어린이집 취사부 인건비 지원,"•  지원대상 : 평가인증받은(A~C등급) 정부 미지원 어린이집
•  지원내용 : 취사부 인건비 월20만원 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경남,9660,주요내용 연속행 후보,,,,,16   경상남도,•  570  •,•  570  •,가정위탁지원센터 운영비(도),"•  지원내용 : 보호아동 가정위탁사업 활성화 도모 및
아동복지 증진 기여",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경남,9725,주요내용 연속행 후보,,,,,16   경상남도,•  572  •,•  572  •,"임산부･다자녀가족 할인점
운영","•  지원내용 : 임산부 및 다자녀 가족 대상 협약업체
이용액 할인",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경남,9798,주요내용 연속행 후보,,,,,16   경상남도,•  574  •,•  574  •,임산부 건강교실 운영,"•  지원내용 : 임산부 건강교실 운영(진주시 보건소에 등록된 임신 12주이상 임산부를 대상으로 임산부
건강교육 및 건강한 출산 태교요가 운영)",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경남,9863,주요내용 연속행 후보,,,,,16   경상남도,•  576  •,•  576  •,어르신 인공관절 수술비 등 지원사업,•  지원내용 : 60세이상 노인 인공관절 수술 및 의료비 지원,제외,페이지 상단의 시도명 머리글로 확인되어 제외
경남,9932,주요내용 연속행 후보,,,,,16   경상남도,•  578  •,•  578  •,노인여가 프로그램 행사 운영,"•  지원내용 : 평생학습, 취미여가 프로그램 및 행사 운영",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경남,10006,주요내용 연속행 후보,,,,,16   경상남도,•  580  •,•  580  •,"종합복지관 취미건강프로그램
운영",•  지원내용 : 성인대상 취미교실 운영,제외,페이지 상단의 시도명 머리글로 확인되어 제외
경남,10076,주요내용 연속행 후보,,,,,16   경상남도,•  582  •,•  582  •,"2021년 따오기 창녕
행복교육지구 운영","•  지원내용 : 마을학교(교사) 양성 등 마을교육
인프라 구축 및 학생 동아리 활동 지원 등",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경남,10143,주요내용 연속행 후보,,,,,16   경상남도,•  584  •,•  584  •,경남형 트랙사업 활성화 지원,"•  지원내용 : 협약 기업에 채용장려금,
환경개선금지원, 청년에게 주거정착금 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경남,10210,주요내용 연속행 후보,,,,,16   경상남도,•  586  •,•  586  •,여성 창업지원 서비스,"•  지원내용 : 창업상담, 창업교육, 창업컨설팅, 창업네트워크 활성화, 창업사업비 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경남,10276,주요내용 연속행 후보,,,,,16   경상남도,•  588  •,•  588  •,"저소득 노동자 생활안정자금
이자지원","•  지원내용 : 저소득 노동자 생활안정자금 이자지원
(연 최대 1인 15만원)",제외,페이지 상단의 시도명 머리글로 확인되어 제외
제주,10361,주요내용 연속행 후보,,,,,17   제주특별자치도,•  618  •,•  618  •,"난임(불임)부부 시술비
지원","•  내용 : 체외수정시술 등 보조생식술을 받는 난임부부
의료비 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
제주,10429,주요내용 연속행 후보,,,,,17   제주특별자치도,•  620  •,•  620  •,출산 농어가 도우미 사업,•  내용 : 출산(예정) 여성농어업인 대상 농어가도우미 지원,제외,페이지 상단의 시도명 머리글로 확인되어 제외
제주,10496,주요내용 연속행 후보,,,,,17   제주특별자치도,•  622  •,•  622  •,"홀로사는노인지원센터
설립･운영","•  내용 : 홀로사는노인지원센터 운영으로 홀로사는 어르신의
안정적인 노후 생활 향상 도모(인건비, 운영비)",제외,페이지 상단의 시도명 머리글로 확인되어 제외
