지역,원본행,행유형,세부사업명,사업분류재정구분,2021년 예산,2020년 예산,주요내용,앞행_세부사업명,앞행_주요내용,뒷행_세부사업명,뒷행_주요내용,판정,판정근거
서울,67,주요내용 연속행 후보,,,,,1    서울특별시,•  64  •,•  64  •,노인보호전문기관 및 전용쉼터 운영,"•  노인학대 예방 및 피해자 지원활동
•  노인보호전문기관(3개소)
•  학대피해노인전용쉼터(1개소)",제외,페이지 상단의 시도명 머리글로 확인되어 제외
서울,136,주요내용 연속행 후보,,,,,1    서울특별시,•  66  •,•  66  •,"아동 건강 및 의료 지원
(찾아가는 눈 건강교실 운영)",•  유치원 대상 찾아가는 눈 건강 교실 운영,제외,페이지 상단의 시도명 머리글로 확인되어 제외
서울,175,구분행사업명 연속 후보,지원서비스 강화,,,,어르신에게 돌봄서비스 제공,제4차 저출산･고령사회기본계획 2021년도 지방자치단체 시행계획(총괄),제4차 저출산･고령사회기본계획 2021년도 지방자치단체 시행계획(총괄),재가노인지원서비스센터 운영,•  28개 재가노인지원서비스센터 운영,제외,예산과 공통/자체 값이 없는 표 내부 구분행으로 확인되어 제외
서울,205,주요내용 연속행 후보,,,,,1    서울특별시,•  68  •,•  68  •,재활용자원수집어르신지원사업,"•  관내 재활용수집 어르신들에게 안전교육 실시 및
안전용품 지급",제외,페이지 상단의 시도명 머리글로 확인되어 제외
서울,273,주요내용 연속행 후보,,,,,1    서울특별시,•  70  •,•  70  •,시니어클럽 운영 지원,"•  지원대상 : 19개 자치구(기존16, 신규3)
•  지원내용 : 노인 일자리 지원기관 시니어클럽 운영지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,376,주요내용 연속행 후보,,,,,2    부산광역시,•  86  •,•  86  •,시간제보육서비스 제공지원,"•  지원대상 : 시간제보육 제공기관 65개소 (가정양육수당 지원받는 6~36개월 미만 아동)
•  지원내용 : 보육료, 인건비, 운영비지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,446,주요내용 연속행 후보,,,,,2    부산광역시,•  88  •,•  88  •,학대피해노인전용쉼터 운영,"•  학대피해 노인쉼터 운영지원(1개소), 학대피해 노인 보호조치 및 심신치유 프로그램 제공, 전문상담 및
복지 서비스 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,482,구분행사업명 연속 후보,일반산업단지 조성,,,,,제4차 저출산･고령사회기본계획 2021년도 지방자치단체 시행계획(총괄),제4차 저출산･고령사회기본계획 2021년도 지방자치단체 시행계획(총괄),센텀2지구 도시첨단산업단지 조성,•  첨단 ICT 융복합 지식기반서비스산업 밸리 조성(’21. 사업단지계획 승인),제외,예산과 공통/자체 값이 없는 표 내부 구분행으로 확인되어 제외
부산,518,주요내용 연속행 후보,,,,,2    부산광역시,•  90  •,•  90  •,보육교직원 맞춤형교육,"•  지원대상 : 어린이집 보육교직원 6,390명
•  지원내용 : 맞춤형 교육 및 평가제 교육 실시",제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,584,주요내용 연속행 후보,,,,,2    부산광역시,•  92  •,•  92  •,"모자보건센터 및 임산부
건강관리 지원","•  무료분만, 임산부 및 육아맘 교실운영 등, 임산부
건강지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,662,주요내용 연속행 후보,,,,,2    부산광역시,•  94  •,•  94  •,출산축하용품 지원,•  출산용품(기저귀) 지원,제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,742,주요내용 연속행 후보,,,,,2    부산광역시,•  96  •,•  96  •,예비부모 무료 건강검진,•  예비부모 무료 건강검진 운영,제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,822,주요내용 연속행 후보,,,,,2    부산광역시,•  98  •,•  98  •,임산부 전용 창구 운영,•  임산부 우선 전용 창구 운영,제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,896,주요내용 연속행 후보,,,,,2    부산광역시,•  100  •,•  100  •,안심보육도우미 지원,•  보육도우미 지원하,제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,970,주요내용 연속행 후보,,,,,2    부산광역시,•  102  •,•  102  •,무등록 경로당 지원,•  무등록 경로당 지원을 통한 어르신 쉼터 제공,제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,1049,주요내용 연속행 후보,,,,,2    부산광역시,•  104  •,•  104  •,기장군민 건강증진사업,"•  지원대상 : 기장군에 연속해서 3년 이상 거주하고 있는 만40세이상 기장군민
•  지원내용 : 암종합검진 및 뇌혈관 검진비용 지원
•",제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,1112,주요내용 연속행 후보,,,,,2    부산광역시,•  106  •,•  106  •,"평생학습관 운영을 통한 생애주기별 맞춤형 학습
운영",•  다양한 분야별 프로그램 운영(40개 강좌),제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,1191,주요내용 연속행 후보,,,,,2    부산광역시,•  108  •,•  108  •,"고등학교 입학생 교복 지원
사업","•  주민등록지인 교복입는 고등학교 입학생에게 1인
300천원 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,1271,주요내용 연속행 후보,,,,,2    부산광역시,•  110  •,•  110  •,금정 책 읽는 가족,•  금정 책 읽는 가족,제외,페이지 상단의 시도명 머리글로 확인되어 제외
대구,1335,주요내용 연속행 후보,,,,,3    대구광역시,•  128  •,•  128  •,아동복지교사 파견지원,•  지역아동센터 이용아동들에게 분야별 교육프로그램 지원을 위한 전문교사 파견,제외,페이지 상단의 시도명 머리글로 확인되어 제외
대구,1407,주요내용 연속행 후보,,,,,3    대구광역시,•  130  •,•  130  •,영유아 건강검진 사업,"•  만 6세 미만 의료급여 수급권자 총 8회 (생후14일~35일, 4개월, 9개월, 18개월, 30개월, 42개월, 54개월, 66개월) 건강검진비 및 발달장애
정밀 검사비 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
대구,1477,주요내용 연속행 후보,,,,,3    대구광역시,•  132  •,•  132  •,유아보육료 차액지원,"•  지원대상 : 정부미지원시설 이용 만 3~5세 유아
•  지원내용 : 정부지원 보육료 단가와 민간어린이집의
보육료 수납한도액 차액지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
대구,1552,주요내용 연속행 후보,,,,,3    대구광역시,•  134  •,•  134  •,건강한 달구벌둥이 육성,"•  임산부, 육아부부, 조부모 등 모든 육아가정 대상으로
분야별 육아정보, 모유수유 행사, 체험부스 등 운영",제외,페이지 상단의 시도명 머리글로 확인되어 제외
대구,1634,주요내용 연속행 후보,,,,,3    대구광역시,•  136  •,•  136  •,시민맞춤형 평생학습,"•  지역적 특성과 수요를 반영한 시민맞춤형 특화과정
공모",제외,페이지 상단의 시도명 머리글로 확인되어 제외
대구,1693,주요내용 연속행 후보,,,,,4    인천광역시,•  138  •,•  138  •,,,제외,페이지 상단의 시도명 머리글로 확인되어 제외
인천,1756,주요내용 연속행 후보,,,,,4    인천광역시,•  164  •,•  164  •,아동수당 지원,"•  지원대상 : 만 7세 미만 모든 아동
•  지원내용 : 월100천원지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
인천,1821,주요내용 연속행 후보,,,,,4    인천광역시,•  166  •,•  166  •,중장년 기술창업센터 운영 및 교육,"•  지원대상 : 중장년 (예비)창업자
•  지원내용 : 창업공간및창업교육제공",제외,페이지 상단의 시도명 머리글로 확인되어 제외
인천,1883,주요내용 연속행 후보,,,,,4    인천광역시,•  168  •,•  168  •,인천시 자살예방센터 운영,"•  지원대상 : 광역자살예방센터
•  지원내용 : 센터인건비 및 자살예방 사업비",제외,페이지 상단의 시도명 머리글로 확인되어 제외
인천,1946,주요내용 연속행 후보,,,,,4    인천광역시,•  170  •,•  170  •,"어린이집 보육장비비
지원(남동구)","•  지원대상 : 관내 평가인증 어린이집(314개소)
•  지원내용 : 보육장비비 구입비용지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
인천,2011,주요내용 연속행 후보,,,,,4    인천광역시,•  172  •,•  172  •,우아한(우리와아이가행복한) 출산문화 만들기(미추홀구),"•  지원대상 : 관내주민
•  지원내용 : 출산친화 분위기 조성을 위한 인식개선
캠페인 및 프로그램 진행",제외,페이지 상단의 시도명 머리글로 확인되어 제외
인천,2073,주요내용 연속행 후보,,,,,4    인천광역시,•  174  •,•  174  •,노인요양시설 지원 및 관리(등급자),"•  지원대상 : 노인의료복지시설 입소자 중 기초수급자, 기타의료수급자의 장기요양등급자(1~5등급자), 인지지원등급자
•  지원내용 : 장기요양급여비용, 의사소견서, 의료급여수급권자를 위해 투입되는 국민건강보험공단의
관리운영비 등 부담금 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
인천,2134,주요내용 연속행 후보,,,,,4    인천광역시,•  176  •,•  176  •,경로당 개보수,"•  지원대상 : 관내 경로당 154개소
•  지원내용 : 경로당 창호교체, 도배･장판 등 환경개선, 보일러, 싱크대, LED 조명 교체 등 노후시설 환경정비,
경로당 방수공사 등 노후시설 개보수",제외,페이지 상단의 시도명 머리글로 확인되어 제외
인천,2195,주요내용 연속행 후보,,,,,4    인천광역시,•  178  •,•  178  •,창업마을 드림촌 조성(재추진),"•  지원대상 : 창업마을 드림촌 조성
•  지원내용 : 2021.10월 착공을 위한 행정절차 및
실시설계, 사업승인, 착공 등 절차이행",제외,페이지 상단의 시도명 머리글로 확인되어 제외
광주,2252,주요내용 연속행 후보,,,,,5    광주광역시,,,(광주광역시･광주광역시교육청),(광주광역시･광주광역시교육청),제외,페이지 상단의 시도명 머리글로 확인되어 제외
광주,2321,주요내용 연속행 후보,,,,,5    광주광역시,•  194  •,•  194  •,영유아 건강수당 지원,•  저소득층 아동의 건강수당 3만원 지원,제외,페이지 상단의 시도명 머리글로 확인되어 제외
광주,2391,주요내용 연속행 후보,,,,,5    광주광역시,•  196  •,•  196  •,"일과 삶이 균형을 이루는
공직문화 조성","•  프리데이 및 자기계발의 날 추진으로 일과 삶의 균형
지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
광주,2472,주요내용 연속행 후보,,,,,5    광주광역시,•  198  •,•  198  •,공립치매전담형 장기요양기관 확충,"•  지원대상 : 1개소(치매전담형 복합요양시설)
•  지원내용 : 70인시설(요양시설50인+주야간 보호시설
20인)신축",제외,페이지 상단의 시도명 머리글로 확인되어 제외
대전,2537,주요내용 연속행 후보,,,,,6    대전광역시,,,(대전광역시･대전광역시교육청),(대전광역시･대전광역시교육청),제외,페이지 상단의 시도명 머리글로 확인되어 제외
대전,2616,주요내용 연속행 후보,,,,,6    대전광역시,•  212  •,•  212  •,"대덕구 온종일
돌봄(다함께돌봄센터)",•  다함께돌봄센터 신규1개소 설치,제외,페이지 상단의 시도명 머리글로 확인되어 제외
대전,2690,주요내용 연속행 후보,,,,,6    대전광역시,•  214  •,•  214  •,남성 육아참여 확대,"•  출산휴가, 육아휴직 대상자 대체인력 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
대전,2773,주요내용 연속행 후보,,,,,6    대전광역시,•  216  •,•  216  •,"장애인•노인•임신부 전용
엘리베이터 운행","•  사회적 약자인 장애인, 노인, 임신부들을 위해 청사 내 미운행 중인 엘리베이터 운행",제외,페이지 상단의 시도명 머리글로 확인되어 제외
대전,2851,주요내용 연속행 후보,,,,,6    대전광역시,•  218  •,•  218  •,도서관 실버사서 양성,"•  은퇴자를 대상으로 도서관 (명예)사서 양성 후 도서관 배치(활동)/2020 코로나19로 실버사서 양성심화과정
비대면 진행함",제외,페이지 상단의 시도명 머리글로 확인되어 제외
대전,2928,주요내용 연속행 후보,,,,,6    대전광역시,•  220  •,•  220  •,맞춤형 인구교육 추진,•  인구위기 대응을 위한 맞춤형 인구교육 추진,제외,페이지 상단의 시도명 머리글로 확인되어 제외
울산,2980,주요내용 연속행 후보,,,,,7    울산광역시,•  240  •,•  240  •,아동발달지원계좌 지원,"•  지원대상 및 내용 : 만18세 미만 보호대상아동에게
월5만원내에서 1:1매칭 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
울산,3050,주요내용 연속행 후보,,,,,7    울산광역시,•  242  •,•  242  •,노인요양시설 확충,"•  지원대상 및 내용 : 노인복지시설 수요확충에 따른
기능보강사업 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
울산,3120,주요내용 연속행 후보,,,,,7    울산광역시,•  244  •,•  244  •,울산양육원 운영,"•  입양 대리양육 가정위탁 및 아동을 시설에 입소시켜
건전한 사회인으로 육성",제외,페이지 상단의 시도명 머리글로 확인되어 제외
울산,3192,주요내용 연속행 후보,,,,,7    울산광역시,•  246  •,•  246  •,(동구)어르신 복지카드제운영,"•  지원대상 및 내용 : 복지카드제 홍보물 제작 및
복지카드제 참여업소 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
울산,3264,주요내용 연속행 후보,,,,,7    울산광역시,•  248  •,•  248  •,"청년 주택임차 보증금
이자지원(신규)","•  지원대상 및 내용 : 청년의 사회진입초기 정주여건
개선조성",제외,페이지 상단의 시도명 머리글로 확인되어 제외
세종,3356,주요내용 연속행 후보,,,,,8    세종특별자치시,•  264  •,•  264  •,국공립어린이집 확충,"•  대상 및 내용 : 국공립어린이집 확충에 따른 신축 또는
리모델링 공사비 및 기자재 구입비",제외,페이지 상단의 시도명 머리글로 확인되어 제외
세종,3435,주요내용 연속행 후보,,,,,8    세종특별자치시,•  266  •,•  266  •,"세종형 쉐어하우스
청년임대주택 보급",•  대상 및 내용 : 세종형 쉐어하우스 운영 및 관리(추후 3개동 공급확대),제외,페이지 상단의 시도명 머리글로 확인되어 제외
경기,3465,주요내용 연속행 후보,,,,,9    경기도,,,(경기도･경기도교육청),(경기도･경기도교육청),제외,페이지 상단의 시도명 머리글로 확인되어 제외
경기,3529,주요내용 연속행 후보,,,,,9    경기도,•  282  •,•  282  •,"3. 모두의 역량이 고루
발휘되는 사회(공통)",,제외,페이지 상단의 시도명 머리글로 확인되어 제외
경기,3597,주요내용 연속행 후보,,,,,9    경기도,•  284  •,•  284  •,"수원시 출산･입양지원금
지급","•  지원내용 : 수원시 출산,입양 지원금 지급",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경기,3672,주요내용 연속행 후보,,,,,9    경기도,•  286  •,•  286  •,육아종합지원센터 운영 지원,"•  지원내용 : 보육에 관한 정보의 수집･제공 및
상담영유아 보육프로그램 개발",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경기,3742,주요내용 연속행 후보,,,,,9    경기도,•  288  •,•  288  •,성별영향평가 및 성인지력 향상 교육,•  지원내용 : 시민 대상 찾아가는 성인지 교육 실시,제외,페이지 상단의 시도명 머리글로 확인되어 제외
경기,3815,주요내용 연속행 후보,,,,,9    경기도,•  290  •,•  290  •,여성장애인 출산지원금 지원,"•  지원내용 : 출산전 남양주시 6개월 이상 거주 중증
여성장애인 500천원 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경기,3878,주요내용 연속행 후보,,,,,9    경기도,•  292  •,•  292  •,아이누리 돌봄나눔터,"•  지원내용 : 돌봄이 필요한 아동을 위해 마을이 주체적
으로 돌봄에 참여할 수 있는 마을돌봄 공동체 운영",제외,페이지 상단의 시도명 머리글로 확인되어 제외
경기,3951,주요내용 연속행 후보,,,,,9    경기도,•  294  •,•  294  •,"어린이집
안전검사비(전기,가스) 지원",•  지원내용 : 어린이집 전기 및 가스 안전검사비 지원,제외,페이지 상단의 시도명 머리글로 확인되어 제외
경기,4017,주요내용 연속행 후보,,,,,9    경기도,•  296  •,•  296  •,산후우울증 관리사업,•  지원내용 : 출산 후 산모에게 우울증검사 실시,제외,페이지 상단의 시도명 머리글로 확인되어 제외
경기,4086,주요내용 연속행 후보,,,,,9    경기도,•  298  •,•  298  •,산모신생아건강관리사 지원확대,"•  지원대상 : 정부지원 산모신생아건강관리사 지원 대상 외 소득초과 가정
•  지원내용 : 소득초과 지원가정에 산모신생아 건강관리사
지원확대(예외지원)",제외,페이지 상단의 시도명 머리글로 확인되어 제외
