,변수,VIF
0,가사수행 격차,2.250468772962567
1,경제적 여건,7.526856977209282
2,고용여건,1.2777281222665169
3,돌봄여건,4.067259910161389
4,사회적 가치관,3.2655660945957887
5,산후조리 여건,2.278118085017656
6,아동안전 수준,2.1297340993259457
7,여가 인프라,3.5745775437771714
8,의료서비스 여건,2.0663688914687954
9,일·가정 양립 여건,6.651400177264809
10,주거 안정성,3.0156322617856928
